split,h,1 Month Anomaly Rainfalls (%),Day,FCG,Fatalities,Month,NDVI Anomaly,Rainfalls (mm),Ramadan,Year,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,rCSI,reg_alpha,reg_lambda,subsample,attempt,r2_train,r2_val,shape_train,shape_val,r2_difference,loss_to_minimize
3,9,0,1,1,1,1,1,1,1,1,1.0,0.515,0.299,3,8.6,61,1,0.5750000000000001,0.58,0.9,478,0.8755872878009862,0.8595052956162075,"(9160, 30)","(2300, 30)",0.016081992184778682,0.04858120818904923
3,10,0,1,1,1,1,1,0,1,1,0.9,0.84,0.292,3,3.8,62,0,0.37,0.51,0.8,506,0.8631522016743133,0.843525087947848,"(9140, 22)","(2300, 22)",0.019627113726465303,0.05479331910623173
3,11,0,1,1,1,1,1,0,1,1,1.0,0.705,0.265,3,2.1,63,1,0.715,0.685,0.65,378,0.852478673826691,0.8292703079155621,"(9120, 29)","(2300, 29)",0.023208365911128848,0.0605022539897829
3,12,0,1,1,1,1,1,1,1,1,0.95,0.555,0.257,3,8.6,63,1,0.63,0.385,0.95,592,0.8396418340471328,0.8136226146544654,"(9120, 30)","(2280, 30)",0.02601921939266738,0.06632090336072732
3,13,0,1,1,1,1,1,0,1,1,0.9,0.66,0.3,3,4.0,61,1,0.675,0.5750000000000001,0.75,411,0.8235063298095122,0.7991098012756566,"(9100, 29)","(2280, 29)",0.024396528533855655,0.07002567103084527
3,14,1,1,1,1,1,1,0,1,1,0.6000000000000001,0.14,0.262,3,6.1000000000000005,65,0,0.605,0.63,0.8,352,0.8234464207057457,0.7919488749644044,"(9080, 23)","(2280, 23)",0.03149754574134134,0.07501435580721523
3,15,0,1,1,1,1,1,0,1,1,0.65,0.56,0.3,3,4.7,60,0,0.475,0.0,0.6000000000000001,589,0.7878921241351091,0.7724110113600691,"(9060, 22)","(2280, 22)",0.015481112775040162,0.07446914170199538
3,16,0,1,1,1,1,1,0,1,1,0.95,0.92,0.248,3,8.6,64,0,0.91,0.615,0.65,274,0.7939479051622534,0.7656915430242041,"(9040, 22)","(2280, 22)",0.028256362138049492,0.08159508194795861
3,17,0,1,1,0,1,1,0,1,1,0.8500000000000001,0.77,0.159,3,2.6,72,0,0.92,0.275,0.6000000000000001,441,0.7743240222908743,0.7476302814046882,"(9040, 17)","(2260, 17)",0.02669374088618604,0.08638841193306794
3,18,0,1,1,1,1,0,0,1,1,0.8500000000000001,0.61,0.271,3,4.2,64,0,0.45,0.125,0.75,494,0.7746779015111835,0.7451606243187867,"(9020, 21)","(2260, 21)",0.029517277192396833,0.08825872358132271
3,19,0,1,1,1,1,1,0,1,1,0.6000000000000001,0.96,0.258,3,1.1,63,1,0.055,0.835,0.75,415,0.7547674032907483,0.7293200304541319,"(9000, 29)","(2260, 29)",0.025447372836616463,0.09138293999840703
3,20,0,1,1,1,1,1,0,1,1,0.75,0.105,0.22399999999999998,3,1.3,67,0,1.0,0.08,0.95,434,0.7582083664468022,0.7225263818347204,"(8980, 22)","(2260, 22)",0.03568198461208183,0.0975148792944166
3,21,0,1,1,1,1,1,0,1,1,0.6000000000000001,0.15,0.259,3,4.4,63,0,0.88,0.93,0.7000000000000001,464,0.7365608616158543,0.7088549315222293,"(8960, 22)","(2260, 22)",0.027705930093624983,0.0984258925807812
3,22,1,1,1,1,1,1,0,1,1,0.9,0.425,0.281,3,8.3,61,0,0.34,0.76,0.8500000000000001,348,0.7238301904995881,0.693448589689859,"(8960, 23)","(2240, 23)",0.03038160080972907,0.10411806341693393
3,23,0,1,1,0,1,0,0,1,1,0.6000000000000001,0.8200000000000001,0.271,3,7.4,62,0,0.55,0.18,0.9,150,0.6966484451697357,0.6696958385552432,"(8940, 16)","(2240, 16)",0.026952606614492503,0.10987229107922404
3,24,1,1,1,1,1,0,1,1,1,0.75,0.63,0.215,3,6.1000000000000005,67,1,0.5750000000000001,0.5750000000000001,0.75,595,0.7277922187261483,0.6809928092562358,"(8920, 30)","(2240, 30)",0.046799409469912456,0.11442192101109422
3,25,1,1,1,1,1,1,0,1,1,1.0,0.675,0.209,3,4.800000000000002,65,1,0.32,0.24,0.65,274,0.7078052540705378,0.6638254564234108,"(8900, 30)","(2240, 30)",0.043979797647127006,0.11844428213182755
3,26,1,1,1,1,1,1,0,1,1,0.8500000000000001,0.995,0.26,3,5.0,63,0,0.45,0.55,0.8500000000000001,404,0.7003468654981797,0.6607313763753383,"(8880, 23)","(2240, 23)",0.039615489122841414,0.11762678273653507
3,27,0,1,1,1,1,0,0,1,1,0.65,0.17,0.292,3,3.7,60,0,0.995,0.185,1.0,486,0.6664511846449874,0.6349296842460701,"(8880, 21)","(2220, 21)",0.031521500398917324,0.1221296948857459
