AdminStrata,Al-Hasakeh,Al-Hasakeh,Aleppo,Aleppo,Ar-Raqqa,Ar-Raqqa,As-Sweida,As-Sweida,Damascus,Damascus,Dar'a,Dar'a,Deir-ez-Zor,Deir-ez-Zor,Hama,Hama,Homs,Homs,Lattakia,Lattakia,Rural Damascus,Rural Damascus,Tartous,Tartous
2020-03-09,0.3232753387096775,135.88648276720082,0.3368079293548387,110.10369343369321,0.2517191574193548,131.31160774064804,0.19740765580645162,112.69926684892005,0.2477761935483871,114.9989904444778,0.3121211177419354,112.39426869222478,0.16848526612903225,114.6498214491322,0.34480318451612907,111.63812302647345,0.17670202999999998,111.89180449346948,0.572806610967742,108.29451156502512,0.15970586129032258,114.37958276871213,0.5526110022580645,108.83849692595892
2020-03-10,0.32682330322580655,136.0302753686023,0.33907798290322577,109.97154648117954,0.2537784729032258,131.59097540920513,0.19864505193548385,112.90486989522786,0.2491488387096774,115.22463212252953,0.3162443306451613,112.79097240129423,0.16890913387096773,114.68813364842354,0.34640527870967747,111.51338755535889,0.176779774516129,111.78388158347175,0.5725491896774195,108.20832453365209,0.1602356774193548,114.57237668366953,0.5529590093548388,108.77134636461636
2020-03-11,0.3304619670967742,136.18822486177024,0.3414130509677419,109.85408051771468,0.2559032061290322,131.8935394865543,0.1999153564516129,113.11775735306122,0.2505251612903226,115.45547796027637,0.3204196948387097,113.1909391394465,0.16934482741935483,114.7342824675435,0.34804185225806455,111.39918084015159,0.17687445354838707,111.68473632876902,0.5723177248387096,108.12389886398307,0.16077977000000002,114.77178109295264,0.5533412012903226,108.7079528318534
2020-03-12,0.3341913303225807,136.3603312467046,0.34381313354838705,109.75129554329864,0.25809335709677417,132.2192999726956,0.20121856935483873,113.33792922242016,0.2519051612903226,115.69152795771831,0.32464721032258065,113.5941689066816,0.16979234677419353,114.78826790649202,0.34971290516129033,111.29550288085154,0.17698606709677417,111.5943687293613,0.572112216451613,108.04123455601808,0.16133813903225808,114.97779599656144,0.5537575780645161,108.64831632767002
2020-03-13,0.3379937570967742,136.5438843967595,0.3462738848387096,109.6646693637189,0.2603367996774194,132.5657790310605,0.20255332129032258,113.56579736195248,0.25328232258064515,115.93113090781789,0.3289112506451613,113.99872565588716,0.1702518232258064,114.8503332792944,0.35142178806451624,111.20446237243466,0.17711950903225807,111.51536649732442,0.5719352290322582,107.96116196747384,0.16191009741935486,115.19008740983207,0.554204193548387,108.59247958809767
2020-03-14,0.3418692474193548,136.73888431193498,0.3487953048387096,109.59420197897549,0.2626335338709678,132.93297666164895,0.20391961225806454,113.80136177165826,0.2546566451612903,116.17428681057513,0.33321181580645165,114.40460938706313,0.17072325677419353,114.92047858595062,0.353168500967742,111.12605931490094,0.17727477935483874,111.44772963265828,0.5717867625806451,107.88368109835025,0.16249564516129034,115.40865533276457,0.5546810477419355,108.5404426131363
2020-03-15,0.3458178012903226,136.94533099223102,0.35137739354838693,109.53989338906842,0.2649835596774194,133.32089286446094,0.20531744225806453,114.04462245153744,0.256028129032258,116.42099566598999,0.33754890580645164,114.81182010020959,0.17120664741935485,114.99870382646068,0.35495304387096777,111.06029370825037,0.17745187806451615,111.39145813536294,0.5716668170967741,107.80879194864742,0.16309478225806454,115.63349976535885,0.5551881406451613,108.49220540278594
2020-03-16,0.34983941870967744,137.1632244376476,0.3540201509677418,109.50174359399769,0.26738687709677417,133.72952763949655,0.2067468112903226,114.29557940159003,0.25739677419354834,116.67125747406253,0.34192252064516127,115.22035779532648,0.17170199516129028,115.08500900082457,0.35677541677419355,111.00716555248296,0.1776508051612904,111.3465520054384,0.571575392580645,107.73649451836528,0.16370750870967743,115.86462070761499,0.5557254722580645,108.44776795704657
2020-03-17,0.35393409967741934,137.39256464818476,0.35672357709677416,109.47975259376327,0.26984348612903225,134.15888098675575,0.20820771935483873,114.55423262181607,0.2587625806451612,116.9250722347927,0.34633266032258064,115.63022247241379,0.17220930000000004,115.17939410904229,0.3586356196774194,110.96667484759871,0.17787156064516135,111.31301124288467,0.571512489032258,107.66678880750386,0.16433382451612905,116.10201815953296,0.5562930425806452,108.40713027591819
2020-03-18,0.35810184419354835,137.6333516238425,0.3594876719354839,109.47392038836517,0.2723533867741935,134.60895290623847,0.20970016645161293,114.82058211221553,0.26012554838709673,117.18243994818052,0.3507793248387097,116.0414141314716,0.17272856193548392,115.28185915111389,0.3605336525806452,110.93882159359762,0.17811414451612909,111.2908358477017,0.571478106451613,107.59967481606313,0.16497372967741936,116.34569212111273,0.5568908516129033,108.37029235940082
