Split,,Split 1,Split 1,Split 10,Split 10,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7,Split 8,Split 8,Split 9,Split 9
Type,,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive,mse_model,mse_naive
Country,Prediction horizon,,,,,,,,,,,,,,,,,,,,
Yemen,9,14.043162187065281,12.707675411999999,8.764206327923816,6.603569682500004,17.79789647504017,18.978196935999996,8.389609407738917,7.035103710000006,7.48243822054547,16.150793445,23.36335752636593,15.447167488999991,10.209258209670047,10.192728904000003,11.30662384969939,13.808018765999995,11.326636938832959,10.366807920000001,5.969767134865761,5.388809683999999
Yemen,10,17.346665820601565,14.340071518000006,8.13105349803232,6.206500097000001,19.39158007904784,20.584065495999987,10.039978928047883,8.405163191999998,8.249343828400862,18.83784459850001,27.547530342119224,16.918310375,12.193053933328788,12.311172263500003,12.302105988221921,13.898463613500008,12.042514671312158,11.328493608,7.385853511902043,7.680645858000001
Yemen,11,21.579950694337736,17.041973171000002,10.13480248815455,8.415825956000008,20.08079964100307,22.17334692849999,13.195741874365936,11.022524120500002,9.683229180247992,22.034483753000004,30.406193166957745,19.4226562875,12.984359677127324,13.877127218500002,11.384175988802937,13.14744672,14.061979569351172,13.089811670999996,6.887303745815087,7.994727982000005
Yemen,12,23.810881414650225,18.781035714,10.593048463294531,8.761936519499997,17.98133274788371,19.288053798999993,14.473664374755648,11.777409441000003,11.908017612094849,27.4111853785,30.2329039354368,18.802811746999993,15.45092247618054,14.953249428000001,11.056885740138872,12.206442670500003,13.947628659815882,13.471587375500002,6.7147842897411065,8.558742235500006
Yemen,13,23.80288090912672,19.958803998500006,12.790632406759435,11.561749307999998,17.63769101657641,19.610234037999994,15.861540430673077,13.113264791000002,14.677468830254563,30.670843600500007,30.359623767231447,21.604289096999985,15.759844171180967,14.525766391499994,10.74047696908264,11.923179565499996,14.273265074807725,14.239836114,7.774601869572028,9.262035513500003
Yemen,14,19.79501366656629,13.829373794000002,10.822406742036437,9.580166374000003,17.36913459679844,19.821601223999995,15.766873449326933,12.560882492500001,16.147706200422782,33.657068313500005,31.99427062896637,23.832931904500004,19.3350191156239,16.094840197,10.118191633797668,11.588937105000007,15.826629318248512,14.206592399500002,8.413471850364814,9.878006635000002
Yemen,15,20.957677900403915,15.563861455500009,10.618332948477747,9.493043717,22.31594147406044,24.075317665499988,16.608581320995906,14.015612626499998,22.51287964992101,41.639256633500004,37.0058079948405,28.57902109399999,16.300023996628475,15.068119089499993,11.081185073800286,11.663092635000002,17.632053232240843,15.929086406000001,9.02395314860443,11.902241942500002
Yemen,16,20.358937335129134,15.334792400000001,14.97132282500598,13.238062575500006,18.10745721127996,19.50862027099999,16.254893563602437,12.881247028499995,24.13622991996912,43.47571145749999,35.91210182791782,30.051350915999997,16.478065548941327,14.892434868999995,13.872547568314115,13.836762243000006,21.907287072855283,20.090558907500004,8.898642713423408,14.0729652815
Yemen,17,19.344341118044106,14.605266045500006,15.666344855255678,14.299393268500001,22.07638057716585,23.654947127999996,22.307444626588836,17.237843766500003,26.995771101408742,46.99352246599999,42.42380493601579,35.02091071049999,14.873915464658808,17.07426617449999,16.8987548123279,14.453113313500008,19.50583808172613,18.434653067000006,7.223149654644223,12.980773007000005
Yemen,18,24.703519726990326,18.2732406665,18.160141462972373,16.608118708500005,21.37241139620102,21.238841628499994,20.91522842672814,14.701707835000008,28.373089917309365,50.269519836499995,41.58603740076904,35.734225656499994,16.21030225010032,21.6204420815,21.435352529919854,15.180191685500006,20.004705047593447,19.372240553999994,8.148069709452681,14.866323355999995
