AdminStrata,Agadez,Agadez,Agadez,Agadez,Agadez,Diffa,Diffa,Diffa,Diffa,Diffa,Dosso,Dosso,Dosso,Dosso,Dosso,Dosso,Maradi,Maradi,Maradi,Maradi,Maradi,Maradi,Niamey,Niamey,Niamey,Niamey,Niamey,Tahoua,Tahoua,Tahoua,Tahoua,Tahoua,Tillaberi,Tillaberi,Tillaberi,Tillaberi,Tillaberi,Tillaberi,Zinder,Zinder,Zinder,Zinder,Zinder,Zinder
Food Group,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers
Commodity,Maize (KG),Millet (KG),Rice (imported) (KG),Sorghum (KG),Sorghum (local) (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Sorghum (local) (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Sorghum (local) (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Sorghum (KG),Sorghum (local) (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Sorghum (local) (KG),Maize (KG),Millet (KG),Rice (imported) (KG),Rice (local) (KG),Sorghum (KG),Sorghum (local) (KG)
2020-02-29,0.41797500000000004,0.4080004,0.8166278,0.375725,0.343067,0.3927333333333334,0.3887,0.8631000000000001,,0.35772499999999996,0.3189285714285714,0.321104,0.764154875,,0.34725,0.35143500000000005,0.30141000000000007,0.32632727272727274,0.7792335454545455,,0.2794777777777778,0.30123,0.32264,0.38630000000000003,0.7419389999999999,0.37385999999999997,0.3347,0.3578,0.3762272727272727,0.806309090909091,,0.30356,0.32535,0.3850411538461538,0.7331230000000001,,0.3465583333333333,0.3347,0.33887500000000004,0.338415,0.7761154444444447,,0.2932875,0.317965
2020-03-31,0.407525,0.40530039999999995,0.8166278,0.399125,0.3347,0.42255,0.394125,0.868125,,0.34304999999999997,0.3072142857142857,0.3426577499999999,0.765208625,,0.33838,0.317965,0.3148,0.34257000000000004,0.7861933999999999,,0.29397777777777784,0.26776,0.32005,0.387234,0.7430538,0.39787500000000003,0.3347,0.3631333333333333,0.3856818181818182,0.803409090909091,,0.3333363636363636,0.332325,0.38696423076923075,0.7387922307692307,,0.35561666666666664,0.317965,0.3512142857142857,0.3512557777777778,0.7744487777777779,,0.311275,0.317965
2020-04-30,0.39495,0.42069399999999996,0.8534548000000001,0.4053999999999999,0.36817,0.43410000000000004,0.4169,0.8914500000000001,0.9217,0.36282500000000006,0.2975,0.36035666666666666,0.719613,0.6276,0.3414,0.3347,0.34014999999999995,0.3560385714285714,0.7811434285714286,,0.32005,0.326332,0.328125,0.405401,0.7639538,0.397875,0.30123,0.37977500000000003,0.4025,0.773975,,0.346425,0.3413181818181818,0.3995391666666667,0.7455249166666666,0.6437999999999999,0.36158181818181817,0.326332,0.37398571428571437,0.36388911111111116,0.762171,,0.3216375,0.317965
2020-05-31,0.396625,0.4317539999999999,0.8534548000000001,0.40874999999999995,0.36817,0.42005000000000003,0.413375,0.863925,0.8602,0.38072500000000004,0.3082,0.37031000000000003,0.7554727142857143,0.6276,0.36082,0.3347,0.3488444444444444,0.35343700000000006,0.8059339000000001,,0.32428888888888885,0.326332,0.331775,0.40698100000000004,0.8132878,0.39787500000000003,0.284495,0.3867875,0.42105000000000004,0.80393,0.6493,0.36482000000000003,0.3390166666666667,0.40987976923076924,0.7501230000000001,0.6419142857142857,0.35684999999999995,0.326332,0.38799999999999996,0.36073,0.7669932222222222,,0.3183875,0.3347
2020-06-30,0.4033,0.43947400000000003,0.8501078,0.40205,0.35143500000000005,0.4,0.42380000000000007,0.855975,0.5715,0.3669,0.3377833333333333,0.39708142857142853,0.7554727142857143,0.6276,0.36448,0.36817,0.3727750000000001,0.3783888888888889,0.795271,,0.35856250000000006,0.284495,0.329675,0.41301440000000006,0.8166278,0.39995,0.292862,0.4144125000000001,0.44286250000000005,0.8051375000000001,0.6845,0.39287500000000003,0.3385916666666666,0.4161773076923077,0.7498691538461538,0.6528555555555555,0.3705416666666666,0.326332,0.40443333333333337,0.37737149999999997,0.7879923750000001,,0.33708571428571427,0.3347
2020-07-31,0.41979999999999995,0.48573500000000003,0.8568017999999998,0.4347,0.39327199999999995,0.4416,0.451625,0.855775,,0.3895,0.37175,0.4360628571428572,0.7459098571428572,0.6276,0.39946000000000004,0.418375,0.3782333333333333,0.45725750000000004,0.8062639,,0.4339375,0.36817,0.3454,0.44597500000000007,0.8166278,0.42800000000000005,0.30123,0.4411222222222222,0.49872222222222223,0.8029777777777779,0.6778,0.44532222222222223,0.3677833333333333,0.46514692307692296,0.7660691538461539,0.6798875000000001,0.42040909090909095,0.35143500000000005,0.44239999999999996,0.43650937500000003,0.7908842500000001,,0.4086,0.384905
2020-08-31,0.458125,0.5102220000000001,0.8300218000000001,0.5175,0.418375,0.5385,0.5154249999999999,0.8498000000000001,0.743,0.47895,0.38965000000000005,0.48024857142857147,0.753082,0.6661,0.43818,0.418375,0.4033333333333333,0.4731007000000001,0.8056739,,0.4380124999999999,0.317965,0.36265000000000003,0.5104960000000001,0.8166278,0.46907499999999996,0.36817,0.4533625,0.5430444444444444,0.8157333333333333,0.7096,0.4878666666666667,0.3880333333333333,0.5158446153846153,0.7640768461538461,0.6939142857142857,0.45474545454545456,0.43511000000000005,0.4540666666666667,0.46990149999999997,0.78369675,,0.42758571428571424,0.418375
2020-09-30,0.5012,0.5150954000000001,0.8300158,0.527575,0.460212,0.5405500000000001,0.4987,0.8744,,0.5192,0.3785,0.46403999999999995,0.7418484285714284,0.6677,0.45118,0.40164,0.3973666666666667,0.3988015,0.8178109000000001,,0.44905555555555554,0.418375,0.35605,0.500723,0.8166278,0.467325,0.376537,0.44389999999999996,0.46244444444444455,0.8131333333333333,0.6493,0.42803333333333327,0.3847749999999999,0.4974165384615385,0.762979923076923,0.7357833333333333,0.44257272727272723,0.418375,0.44236666666666674,0.44495625000000005,0.786513625,,0.44994285714285714,0.43511000000000005
2020-10-31,0.496625,0.433428,0.8300158,0.49870000000000003,0.43511000000000005,0.51965,0.42674999999999996,0.853475,,0.46019999999999994,0.34445,0.3653064285714286,0.7626441428571428,0.6694,0.4073399999999999,0.36817,0.3674333333333333,0.299887,0.8151309000000001,,0.39244999999999997,0.39327199999999995,0.33719999999999994,0.410014,0.8166278,0.4485,0.326332,0.4239444444444444,0.36284545454545447,0.8093454545454545,0.6443,0.36549,0.3617583333333334,0.4187726923076924,0.759503,0.6814,0.39343999999999996,0.384905,0.4155285714285715,0.36799333333333334,0.7816898888888889,,0.42315714285714284,0.343067
2020-11-30,0.461875,0.40765399999999996,0.8300158,0.44807500000000006,0.36817,0.31465,0.36357500000000004,0.8978250000000001,,0.41,0.3095833333333333,0.34618571428571426,0.7674298571428572,0.6694,0.39494999999999997,0.35143500000000005,0.3503111111111111,0.2955462,0.8258309000000003,,0.31295,0.276127,0.317525,0.380227,0.8166278,0.400375,0.317965,0.4175375,0.34698888888888885,0.7867222222222221,0.5272,0.3181333333333334,0.33409999999999995,0.35386961538461537,0.7390514615384615,0.6275499999999999,0.3453625,0.384905,0.38630000000000003,0.31567062500000004,0.7817136250000001,,0.28568571428571427,0.3347
