alpha,beta,bxcx,damped_factor,gamma,s,season,stationary,loss
0.6751698985674073,0.6419175125879026,True,0.852667044908682,0.4702208987842387,223,multiplicative,False,48.778315370473074
0.7625559016398629,0.4986186224637468,True,0.4294614231942406,0.9987462139202349,219,multiplicative,False,37.07141601028962
0.5180204816091286,0.6777068977485959,False,0.46294297515616745,0.5474514053825432,81,additive,False,43.85808928671802
0.4858690601304161,0.7873467577963215,True,0.343262119952782,0.2825832096346515,92,multiplicative,False,53.05915830778455
0.361324733667788,0.9167703900370879,True,0.5059550701949251,0.3078078807094568,123,multiplicative,False,13.916825222196005
0.558138774060733,0.46609035357058953,True,0.05764640325736059,0.4263464372064141,124,multiplicative,False,9.112699632682999
0.8458630522353769,0.3550123719097279,False,0.4222645765516558,0.05747292037237439,86,additive,False,5.776964309806675
0.9406675683316362,0.9848465225204849,False,0.02160873830063259,0.39580612241473456,41,multiplicative,False,31.240462020727637
0.6692324700987401,0.40038462461354296,True,0.8120468601774822,0.2551603601244232,217,multiplicative,False,15.889484956698508
0.7027220147944702,0.21800011351666818,True,0.37060479955325315,0.6557533340225068,65,multiplicative,False,45.85896007681472
0.7445002672460606,0.2593940742762185,False,0.1823805808959676,0.14728284044245193,225,multiplicative,False,49.95250326917196
0.9726803233379238,0.17320581433694315,True,0.7667642796312559,0.22287748570699178,163,additive,False,34.86838477342484
0.7231651446672034,0.8196614583653621,False,0.5779952755530423,0.11693577365731506,218,multiplicative,False,36.839934681470126
0.9993374085086881,0.43752593386681216,True,0.3538590035212969,0.5654726598758749,48,additive,False,26.896130333005576
0.1162155806799634,0.7752324226290987,True,0.4976600559052437,0.20986527404207211,7,multiplicative,False,8.287689198178803
0.7769724465095323,0.9518846108437753,False,0.15621605782207548,0.0927264710550475,148,multiplicative,False,76.33282888941382
0.4647044354417227,0.6452289986576206,True,0.09173341252224038,0.37640958520709644,118,multiplicative,False,44.57451823274639
0.8094206043348003,0.7420187634629929,True,0.28435999823304614,0.29085201183480774,24,additive,False,15.922815552458431
0.913654473270633,0.8355728077049988,True,0.6851587153087448,0.04129040006646162,15,multiplicative,False,8.193537352750681
0.6545078632194021,0.9353633292162711,True,0.44147645902779115,0.6307750562588628,198,multiplicative,False,25.215879696386093
0.5849367932122691,0.860099104661842,False,0.6118672756769069,0.48587994039738636,204,multiplicative,False,35.636874289155976
0.9364291162368581,0.3472385983536468,True,0.6578478346127615,0.33494479693503926,107,additive,False,5.712825357779406
0.14689790180757933,0.4769082806524837,True,0.7213163107885275,0.2694891254051126,222,multiplicative,False,79.57087335818437
0.42694797186647643,0.8071305871201266,True,0.24291378172883432,0.8048114894392404,87,multiplicative,False,74.19060174586873
0.5095866127448527,0.6933719282661193,True,0.38450791092270903,0.002497664596436395,121,additive,False,40.67216689314876
0.9530894367977213,0.890466942234259,True,0.49266121780742583,0.12878124679078756,34,multiplicative,False,19.79340664764917
0.6932551184535977,0.9093901756043901,True,0.20555517127082046,0.5908184562461516,202,multiplicative,False,33.317250707574594
0.7924011841078333,0.9995653620398657,False,0.3347536356487455,0.9035596884398671,56,multiplicative,False,132.1611912205817
0.2921096646480227,0.2005960021968456,True,0.7392381721080796,0.2439936966169649,141,additive,False,10.6840420373367
0.7406839124288698,0.9687074248556374,True,0.4161164860813246,0.31451087553208446,42,multiplicative,False,33.083055034692286
0.2120922764871923,0.08182419954990983,True,0.8774356581479373,0.3507405417609132,187,multiplicative,False,19.001432998386694
0.005567083091362834,0.3792984104525049,False,0.474402169698978,0.5124067602247389,12,multiplicative,False,4.772866878966511
0.5580198072347196,0.24812343858022465,True,0.5804554897135004,0.39460546867174034,14,additive,False,11.11353966263241
0.024542195171400712,0.1722331628584869,False,0.5182686338699612,0.544852969528322,158,multiplicative,False,10.347653689171445
0.003952473934172891,0.1041366789093428,False,0.6342002021559168,0.6409202327884281,151,multiplicative,False,13.809534213392803
0.3915535403113569,0.29070680894746526,False,0.3687412790875078,0.690043908765888,94,multiplicative,False,40.1963724737596
0.48853519139355345,0.3197223181572269,False,0.5549477057434172,0.4253278983082306,119,multiplicative,False,41.299669545766804
