alpha,beta,bxcx,damped_factor,gamma,s,season,stationary,loss
0.7562813283391658,0.5671944011105503,False,0.3812325361052079,0.32149156586016714,219,additive,False,33.34425730597703
0.5717705555657804,0.6940200608187141,False,0.42370603472778373,0.5252877233729122,50,additive,False,51.86423905164211
0.8260303963714872,0.08047490965518694,False,0.3241254149735158,0.3621510709686019,164,additive,True,123624.52589190837
0.4487383536023098,0.4914168291927388,False,0.49154518221013765,0.152546533890918,180,additive,False,38.349130080634346
0.32295239960643124,0.33499889039854974,False,0.2373793449191307,0.2994055215326551,86,additive,False,33.40403740122394
0.9711359069631933,0.5441291481670949,True,0.92950159913046,0.23986514345931892,6,additive,True,28879.883499923264
0.7013760828798535,0.8753309604765234,False,0.19258768997632947,0.873287421698538,33,additive,False,21.008551563527703
0.6516574941044453,0.6492675393160278,True,0.036647463219064036,0.4359826603596736,90,additive,False,26.270627631267768
0.12626918424037198,0.7322520948686541,False,0.7536517594461275,0.19511763887481992,19,additive,True,111141.31844090403
0.35943370585281853,0.2612196654756393,False,0.27109394615546023,0.8130718083568014,9,additive,False,10.870926569519161
0.37568912273100563,0.27577171123825106,False,0.27248162276149285,0.9463759165814135,138,additive,False,32.97466149586705
0.27918259138057,0.11265735995613343,False,0.5470088691461563,0.9548110503217931,216,additive,False,54.181910602143496
0.45466421326646905,0.32292600874934063,False,0.22344178457046243,0.9095171453916452,153,additive,False,53.49384097345045
0.22601763363196906,0.20178929088848196,False,0.36465193348467484,0.716247892139094,66,additive,False,35.33557881979243
0.13931894799518174,0.2311654842320543,False,0.4488686640003997,0.5616695418746402,177,additive,False,20.592823823658236
0.00386462114773356,0.528690879418699,False,0.40885543957612325,0.8690907494239485,161,additive,False,98.72383526111996
0.346727868620056,0.39734125982941515,False,0.31305771635347257,0.832268101664468,96,multiplicative,False,72.89089165573556
0.6185481447181123,0.45370254505622354,False,0.1586243852224698,0.9956310446803046,9,additive,False,8.392906781285939
0.3028592774845626,0.03508732046767507,False,0.03853254278831794,0.6159656545643879,9,additive,False,13.30553939270933
0.5515910125906043,0.10412395421768011,False,0.17012858058564534,0.9334447994306099,8,additive,True,127037.58107540444
0.4860469702919348,0.6265425374545406,False,0.002727282356990074,0.7259037000600779,9,additive,False,9.49324375399369
0.6724581781183241,0.7723988542160634,True,0.059378860383049216,0.7313756474028976,64,additive,False,26.973362973099825
0.4769373593553697,0.6799121679038402,False,0.11125175237967888,0.7819755218076153,47,additive,True,133420.25907042986
0.5725536544739936,0.8136923534439371,False,0.020542940110776647,0.4999709306945458,10,additive,False,8.590911015576696
0.6326998399650653,0.9404825374991299,False,0.08330362004767411,0.4159164151458953,186,additive,False,36.503637015843104
0.5749223567328845,0.9740660635748342,False,0.5990467272394692,0.2240911173293581,6,additive,False,6.693051318156905
0.5199976624949365,0.8208816020447318,False,0.798392424037165,0.031040773695325263,25,additive,False,33.89406952711102
0.7078738738495761,0.9600982990261591,False,0.8600345867464256,0.2177368934130785,10,additive,False,8985.264643437498
0.6140058642716406,0.8976875757101935,False,0.5437650640629623,0.12520480564041303,32,additive,True,120627.51942551136
0.670878019090587,0.8226507233760596,False,0.65485852890102,0.3334252395484324,210,additive,False,45.630820359745236
0.7938834119108888,0.8508645767511932,False,0.6255603110104321,0.11316705410570214,131,additive,False,48.23874966861245
0.5718104676131158,0.9953978068722611,False,0.7892378139601364,0.04903540422745878,133,additive,False,17.98274486939015
0.3951071251518857,0.7586498807200267,True,0.5740147573653944,0.2553814380056534,220,additive,False,29.512407711518435
0.6542265206463813,0.6749399668527438,False,0.48433349908169054,0.5189301662804355,196,additive,False,36.77503916997417
0.5360260915260918,0.940187853181527,True,0.6888901885126162,0.26922283775589684,22,additive,False,23.86763999486186
0.46683840203579385,0.5478517731178293,False,0.7287272410714812,0.1676485117707997,49,additive,True,139058.5162917479
0.6946921133493074,0.5193154518525878,False,0.9598909225612458,0.38925875578329994,224,additive,False,90.57084360958224
0.6385793599203987,0.9718008103717374,True,0.023970325341782606,0.29489191175082163,144,additive,False,23.864852678529797
0.5893007969886512,0.8428550571901684,False,0.5082876583100817,0.41441532293532585,72,additive,False,40.71539498174293
0.7267643239961359,0.4781603205475926,False,0.3433521841386628,0.09528118456867207,14,additive,True,135418.09053092354
0.7796575518213732,0.4441346633762198,False,0.6457018085124692,0.5486209809763289,36,additive,False,39.71650427818175
0.43716409260212696,0.5012563379867389,False,0.8260537102062946,0.020868174457614852,45,additive,False,43.28017729815292
0.3948203883370666,0.6935569027398083,False,0.4608373041122198,0.6361441303941762,201,multiplicative,False,21.29189500002619
0.5606642335023982,0.380139609717163,False,0.6779066550436504,0.24480960346303002,27,additive,False,23.624902446504397
0.2703932833780542,0.8851069378368,False,0.14862162059112127,0.661106773331044,28,additive,False,18.011383888042918
0.3246433807488759,0.9218185617094072,True,0.37234771417917534,0.3215074906508437,10,additive,False,10.661135315733153
0.5340980422288915,0.5605820056023276,False,0.5338063541441724,0.69017004802136,231,additive,True,140739.0391381294
0.7495240759356548,0.4041486849909929,False,0.3982922347924188,0.3711846475336505,118,additive,False,165.24364671350216
0.7101748338784702,0.3128032961902565,True,0.059808086597118226,0.12405625074385414,145,additive,False,30.72968846684306
0.8442019241334242,0.7551724220927847,False,0.22876061148680982,0.7735080306571376,5,multiplicative,True,132854.34883130548
0.9178062965381101,0.6612709498848408,False,0.2868201221807755,0.03969178593273992,193,additive,False,56.86793111221837
0.8664409389261671,0.7767281205545671,False,0.43687045017126125,0.8098505088483394,37,additive,False,77.07158748914263
0.4729292598577445,0.4570392978154811,True,0.85944190907987,0.6097128405338113,168,additive,False,24.298960781351457
0.5855058048499101,0.5820800220195357,False,0.4785803405057174,0.19029286945353996,126,additive,False,52.72106839451266
0.7706383708076763,0.8283047887908701,False,0.026592609694949837,0.34155887871347046,152,additive,False,45.006157070264635
0.36851684013580194,0.7178116129284706,False,0.5947945793707134,0.28167929693391586,121,additive,False,65.84935290482619
0.6259802406373329,0.7411895540240958,False,0.18933336705330486,0.5796175941889086,199,multiplicative,True,84115.0710277674
0.6570002137713398,0.5075491548346789,False,0.31978103427778876,0.14282815012222094,58,additive,False,35.84001412217335
0.44965248780023226,0.37299620173176506,False,0.3555006122997807,0.5107901250208573,65,additive,False,46.31428886509976
0.6089626409119627,0.9668090352834783,False,0.09819388987265544,0.3950571916247242,110,multiplicative,True,146886.46663099228
0.5173623208848045,0.1623768505117832,False,0.9383101659192623,0.17295315068745695,71,additive,False,92.38693931036039
0.5647088878348272,0.20963599412409184,False,0.30115028872584093,0.31257654607178975,214,additive,False,35.232440215433925
0.7245068171957859,0.48010872092867873,False,0.7928276294010314,0.9710343688839325,114,additive,False,44.82401558203221
0.6484315403813613,0.24359300760262048,True,0.5597466239979901,0.7511425547138534,6,additive,False,11.337992277629986
