Country,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria
Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7
Type,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive
Prediction horizon,,,,,,,,,,,,,,
10,-0.07469863912299468,-0.05731934992805843,0.1678082449552144,0.20507779144002813,0.7125405802374948,0.7126574763509581,0.5644162942023095,0.252172928607585,0.07454579024320862,0.21562679637233073,0.3593871698051939,-0.13056743258937953,0.8129078989654526,0.8903620324098356
11,-0.2321616412192058,-0.19502918915524825,0.1475686722080075,0.1631611247260295,0.6160815543791869,0.6323238148260777,0.5199117181167519,0.11119460243527035,-0.03191341536088532,0.1451146295392597,0.2640205740003104,-0.35023399757971063,0.795593987396016,0.881249116827966
12,-0.28165906253846074,-0.19502918915524825,0.2967026406274299,0.3293370875233693,0.6522239074957817,0.6826812873367558,0.5453199652223548,0.18443319537189107,-0.14353739597749926,0.022545164671764928,0.5023604219578126,-0.05856429413203257,0.757126054056749,0.8665418420908486
13,-0.2519648522292697,-0.19502918915524825,0.17813182610266742,0.18944129760083317,0.5457877908245452,0.5178821357805639,0.486711022848363,0.11984416710805468,-0.19675399161321283,-0.01662670040132408,0.5094744240574618,-0.13782520493070827,0.7369279675718308,0.8643556860357376
14,-0.23106180717517555,-0.19502918915524825,0.2180515134129547,0.22106823978347756,0.4735453260938933,0.4683672816994754,0.5954372563204613,0.145360672615799,-0.4619018517043867,-0.2305271701693914,0.4241366300863513,-0.32637949349267004,0.7149042662557994,0.8434530289330233
15,-0.22049978779531543,-0.19502918915524825,0.24108519220542612,0.24100373867678293,0.39156898466948664,0.35612845467821885,0.5086942506819281,-0.046656531750081776,-0.36783157060103155,-0.19950722573844937,0.3003758276142553,-0.6111405435740251,0.6793842388918034,0.8173441487250193
16,-0.16142452601579094,-0.19502918915524825,0.26614283641516834,0.2676584495322757,0.35472944315370847,0.3071710189807473,0.47664584118678266,-0.023722247748379832,-0.4259602894851715,-0.28450790029315387,0.11908676854885214,-1.0445841879467976,0.6913017887979225,0.830806535238605
17,-0.1235058848707169,-0.19502918915524825,0.3003988533395221,0.3184483616626004,0.38566105569101317,0.4254895465538314,0.5426729564673751,-0.04776013957569658,-0.6862471136380799,-0.5293171856012873,0.11010143813077966,-1.1488926638388106,0.6620663830931794,0.8195166900731519
18,-0.037531521901998266,-0.19502918915524825,0.23357242372385034,0.2679490102637675,0.4740147087327895,0.49511145246070754,0.5377222838753744,-0.10794481585598281,-0.6776942906572756,-0.4410394397390791,0.31440639445258833,-0.5461164050611611,0.6640440706656336,0.8249361542415274
19,0.0010787192857342198,-0.19502918915524825,0.23061641985198678,0.2728103230542144,0.37466182705494977,0.4270764245029828,0.49545374269861353,-0.06923108692718083,-1.0981119682128897,-0.8338596824029572,0.1439302845276862,-0.5801236711151405,0.640595583585574,0.8123903822734315
