n,loss
306,63.686195470327355
140,69.7417407425224
114,60.80184086261655
125,54.988909784934314
179,58.17808612762025
11,49.165455459290264
185,38.569720364343524
97,89.76865653004734
162,83.4844937789486
196,14.29031659874382
323,87.52857528039355
89,97.78339194271285
221,67.8750015530032
131,63.06442529917009
7,41.67133943768372
5,31.104992319224124
196,14.29031659874382
189,25.235233993991244
12,50.11108089015426
237,34.9143183133016
321,83.33869146758816
354,124.6136314939709
72,75.76121722149965
68,63.56446670276267
51,50.738795870586536
349,124.08992547946876
105,67.91196963556871
157,76.48891121243072
344,126.15983905728426
58,40.06429638844423
10,52.967211686540416
94,94.69794053081144
357,133.08468680637245
55,43.14802341795655
226,59.8835275873009
328,99.68459287486355
278,50.59133143695596
19,52.418812249411445
215,65.90378492963983
155,73.02401105995466
318,76.96240082908476
233,42.67999908432605
317,75.71530212530071
350,123.55850854782238
304,60.95924817248933
73,77.68583970156423
311,66.82946079697496
340,126.0824846214919
225,61.81492933598624
139,69.24368842104474
351,123.81023982265997
239,33.44404058819364
196,14.29031659874382
129,59.732043876016434
206,36.92178049522054
263,64.24603432208016
184,41.789963233753404
119,55.4675193750741
220,69.2922503676063
243,34.702803993420694
95,93.17982248487344
273,56.39906495357778
260,63.820088378536774
212,54.88796163981283
265,64.35142212491102
364,151.60617914587678
271,61.92268811045397
331,111.41735285151498
156,74.74063073150946
93,95.45971245593948
217,69.26590314402343
207,39.56243150039011
178,59.960511385345676
137,68.22645521553157
39,66.09604962805399
23,56.451591728929884
320,81.12023500262931
24,58.13437534263844
272,59.07841311288487
83,95.8046341912865
61,40.311259413414895
6,33.80953445362709
216,68.2974614173662
100,81.9797498219044
213,59.340749175911725
336,126.89912968256743
259,63.39662773316841
107,61.42961585145947
135,66.85280320377052
358,137.8670330727069
275,52.91293607192201
154,71.10042972663027
333,120.23054258740137
286,54.71693519012063
231,47.305743278478
269,63.55033567698292
310,66.50257787202075
288,55.29698688839982
196,14.29031659874382
111,58.64541857531939
109,59.243706389388144
62,42.95506012199422
151,69.98066404979086
43,63.09726925995397
248,39.1879311226822
302,57.826433792973994
232,44.87091683124661
343,126.42716884458537
130,61.567819291546506
152,70.49551000824981
183,44.63871573225296
47,61.772601008706374
2,24.31128567309736
176,63.437580913537396
198,16.597182840613385
26,68.03125147829121
104,71.1258939149591
322,85.51757619832723
52,49.46851388703803
78,87.65710125862297
