,Al-Hasakeh,Aleppo,As-Sweida,Damascus,Dar'a,Hama,Homs,Lattakia,Rural Damascus,Tartous
,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS,FCS
2019-01-19,38.37523689072508,37.03974211827233,19.530746045265637,25.856788360060676,27.1297270683031,33.020664278827624,32.788189227016204,21.2557789888827,34.1030459639181,20.265434163644905
2019-01-20,38.33532925227665,36.71838395786073,18.90696390634105,25.712973666001943,26.96076465427035,33.141046250928184,33.0701728451317,20.836301576171373,34.077804138885256,20.490289550419757
2019-01-21,38.33285016435627,36.42183476049466,18.30106143254787,25.523247172369476,26.661164269658062,33.20169936912004,33.412955848502165,20.6727888328265,34.05883362995577,20.622932612036177
2019-01-22,38.33751483502782,36.17776105159659,17.739360574366525,25.29525360505865,26.312930082893125,33.19241230449474,33.77850277695291,20.71422751197083,34.048980536785976,20.692587995799343
2019-01-23,38.319038472355146,36.013829356589014,17.248183282277452,25.03663768996481,25.9980662624024,33.102973728143894,34.128778170309225,20.909604366727123,34.05109095903229,20.72848034901444
2019-01-24,38.24713628440211,35.95770620089443,16.853851506761085,24.75504415298334,25.798576976612758,32.92317231115908,34.4257465683964,21.207906150218122,34.068010996351035,20.75983431898664
2019-01-25,38.091523479232556,36.03705810993531,16.582687198297855,24.45811772000959,25.796466393951068,32.64279672463188,34.63137251103972,21.558119615566586,34.10258674839863,20.81587455302113
2019-01-26,37.827879149455036,36.26559301840876,16.45112079408897,24.152290463422684,26.050532412253215,32.25843737712899,34.71658804149643,21.91514508770942,34.154962069323105,20.92022346186948
2019-01-27,37.455737925856766,36.60118449811044,16.436016678218728,23.839143841536636,26.526747846991196,31.793891627117592,34.688195216751346,22.257537178840195,34.214471831239386,21.074094510068768
2019-01-28,36.980598323769634,36.98774753011065,16.504347721492206,23.519046659149204,27.16787924304601,31.27975857053994,34.561963597221215,22.569764072966642,34.26774866075407,21.27309892560246
2019-01-29,36.407958858525554,37.369197095479635,16.623086794714467,23.192367721058147,27.91669314529868,30.746637303338307,34.35366274332284,22.836293954096497,34.30142518447376,21.512847936454037
2019-01-30,35.7433180454564,37.68944817528768,16.7592067686906,22.85947583206122,28.715956098630205,30.22512692145497,34.07906221547293,23.041595006237493,34.302134029005046,21.788952770606954
2019-01-31,34.99217439989409,37.89241575060506,16.87968051422567,22.5207397969562,29.50843464792161,29.7458265208322,33.75393157408827,23.17013541339736,34.25650782095456,22.0970246560447
2019-02-01,34.160026437170515,37.922014802502076,16.95148090212474,22.176528420540826,30.236895338053895,29.339335197412268,33.3940403795856,23.206383359583825,34.15117918692887,22.43267482075072
2019-02-02,33.252372672617554,37.72216031204897,16.941580803192895,21.827210507612868,30.84410471390807,29.03625204713744,33.01515819238167,23.134807028804627,33.9727807535346,22.791514492708483
2019-02-03,32.277582125730895,37.26263488667428,16.826442148511145,21.47315486297008,31.286195614813224,28.858857316020348,32.63305457289326,22.948191107129364,33.71278904990466,23.16915489990148
2019-02-04,31.25550583266125,36.61669163923939,16.62048311026425,21.11473029141022,31.57276605789071,28.796155850354985,32.2634990815371,22.672586288875134,33.382056215277196,23.561207270313165
2019-02-05,30.208865333723097,35.88345130896396,16.34761092091292,20.752305597731052,31.726780354709973,28.828833646505714,31.922261278729962,22.342359770420906,32.99627829141668,23.963282831927
2019-02-06,29.160382169230903,35.16203463506764,16.03173281291784,20.38624958673033,31.771202816840432,28.93757670083689,31.6251107248886,21.991878748145645,32.57115132008755,24.370992812726463
2019-02-07,28.132777879499184,34.53408234021252,15.696756018739741,20.01693106320582,31.728997755851534,29.103071009712863,31.38781698042977,21.655510418428317,32.1223713430543,24.779948440695023
