AdminStrata,Al-Hasakeh,Aleppo,Ar-Raqqa,As-Sweida,Damascus,Dar'a,Deir-ez-Zor,Hama,Homs,Lattakia,Quneitra,Rural Damascus,Tartous
Indicator,FCG,FCG,FCG,FCG,FCG,FCG,FCG,FCG,FCG,FCG,FCG,FCG,FCG
2019-02-01,36.7783,37.0709,22.2036,15.1638,22.5911,28.569000000000003,22.2036,30.5993,33.2815,21.9735,,34.4935,21.8982
2019-02-02,32.5121,39.1785,22.7761,17.1788,22.929000000000002,31.9563,22.7761,30.7074,34.0706,22.3601,,36.4933,22.7237
2019-02-03,30.3339,37.7756,22.4862,17.8862,23.3232,30.3235,22.4862,29.1845,33.264,25.1079,,35.2628,21.3098
2019-02-04,30.7572,36.5393,24.4104,17.4102,22.7241,30.7033,24.4104,28.6987,32.0955,24.3124,,33.7329,23.9456
2019-02-05,28.9395,36.6492,24.4104,16.4035,21.6401,31.3602,24.4104,27.6226,31.308000000000003,22.5946,,33.3512,24.1558
2019-02-06,28.146,36.0167,24.4104,17.1594,19.8962,32.6034,24.4104,28.0595,31.8275,21.4103,,33.2246,24.6303
2019-02-07,26.7276,33.2354,24.6961,18.5261,19.6622,32.4859,24.6961,27.4641,30.9274,21.784000000000002,,32.9818,24.7998
2019-02-08,26.848000000000003,32.3031,25.8964,16.8731,19.5323,32.0005,25.8964,27.9471,30.9965,21.7493,,31.4798,26.0988
2019-02-09,25.9334,31.8412,21.7035,15.2178,18.8497,32.086,21.7035,26.3704,29.566999999999997,22.4352,,29.151999999999997,24.3557
2019-02-10,26.0252,34.4517,21.3108,14.8557,17.9067,32.1324,21.3108,28.4958,31.1357,21.8875,,28.6627,25.4367
2019-02-11,24.9909,34.2247,20.8088,14.6528,18.4173,30.53,20.8088,30.3716,32.1725,20.4501,,29.1422,25.908
2019-02-12,23.9225,34.2792,20.3779,14.2281,18.2515,30.3436,20.3779,31.2102,31.8125,20.436,,29.863000000000003,26.2858
2019-02-13,24.8894,33.7215,22.601,13.4538,16.3618,31.2127,22.601,31.0053,33.5325,19.6709,,30.0491,27.3766
2019-02-14,22.3417,32.1116,25.4888,13.963,16.7979,31.1073,25.4888,30.6189,32.2854,20.8975,,28.9753,28.0778
2019-02-15,22.9008,32.1071,26.0342,14.3158,16.7735,30.7182,26.0342,31.6491,33.3767,21.7,,29.9199,28.545
2019-02-16,22.9008,32.3616,33.3222,14.0933,16.7909,30.1604,27.7637,31.2688,33.2445,23.6913,,29.069000000000003,28.3802
2019-02-17,22.9008,32.3616,35.9384,13.7374,16.8383,29.1875,29.5094,32.123000000000005,33.527,23.6913,,29.1889,28.3802
2019-02-18,22.9008,34.5876,36.1142,13.7374,16.8383,28.8233,29.1014,32.1997,32.5827,23.6913,,29.1517,27.7435
2019-02-19,22.0487,33.5361,40.0254,14.7826,16.6274,29.2415,32.5045,32.0518,31.8894,23.7452,,28.6533,28.8076
2019-02-20,22.5141,33.3804,42.8793,14.7826,16.9307,30.1454,34.6528,31.8496,31.4945,23.9972,,28.7499,29.3622
2019-02-21,22.5141,33.109,43.1244,15.1786,16.9345,29.9749,35.17,31.7496,31.2382,22.4839,,28.7163,29.6596
2019-02-22,22.5141,33.1542,44.0043,14.6067,16.8425,30.1024,35.7785,31.8496,31.3792,24.0853,,28.7163,29.6559
2019-02-23,22.6736,34.1909,42.9037,16.1491,17.3033,29.5827,37.0428,31.5326,30.8044,24.4718,,28.7064,30.666999999999998
2019-02-24,22.6736,33.5518,40.82,15.3299,16.3789,29.3417,37.7172,31.3727,30.8512,24.2532,,28.8509,28.8638
2019-02-25,22.6736,33.2355,41.6024,15.3299,16.3789,29.4423,37.9908,31.5252,30.6936,24.2532,,28.7867,28.8638
2019-02-26,22.6736,33.6936,40.4351,15.4568,16.1045,31.2255,38.0285,31.75,31.5305,24.2532,,28.4445,28.8638
2019-02-27,21.7181,35.071,39.0533,15.3804,16.1045,30.011999999999997,37.732,31.4993,32.1709,22.9869,,28.3669,29.0928
2019-02-28,21.7181,34.9056,38.9612,15.3804,16.1045,28.5896,37.5376,31.3544,31.7777,22.9869,,28.3278,29.0928
2019-03-01,21.7181,35.4165,39.2424,15.3804,16.1045,28.5896,38.1309,31.5491,31.7777,22.9869,,28.2329,29.0928
2019-03-02,23.7436,34.0231,38.6259,16.3737,18.1366,29.4452,38.4066,32.5032,33.0119,23.8764,,30.4749,30.8955
2019-03-03,24.2469,35.1883,37.131,16.118,17.6129,30.4906,35.787,31.7824,31.346999999999998,22.3097,,29.5164,29.7761
2019-03-04,25.2013,35.5034,35.8277,15.0106,18.2769,29.9053,34.3203,32.3324,31.1651,23.4589,,31.0379,28.6731
2019-03-05,24.4507,35.866,36.269,12.5831,17.9287,27.0564,33.5228,31.0065,29.2286,24.3154,,28.7714,29.5176
2019-03-06,25.8167,34.2218,36.8704,12.4853,18.3232,28.0507,33.3971,33.1906,31.4635,20.2625,,29.8174,30.2849
2019-03-07,24.8604,34.4271,36.6419,13.0841,19.6319,27.2902,32.2388,32.6893,32.0851,20.7108,,30.185,27.9136
2019-03-08,26.7152,33.824,36.6419,14.007,20.5946,27.2559,32.2388,34.4576,33.446,21.896,,30.434,27.875999999999998
2019-03-09,25.7456,32.6101,36.0101,12.1353,22.4752,26.6549,32.9764,33.6958,32.3384,22.6016,,30.6052,27.4483
2019-03-10,24.6886,33.5488,36.6579,11.0005,25.0649,25.9485,32.2725,34.8765,33.3116,22.4304,,30.4517,28.6313
2019-03-11,24.0893,33.1648,36.1941,10.5847,24.8947,26.9373,31.294,34.1745,32.8615,23.4924,,30.4977,27.502
2019-03-12,23.6721,33.7354,36.129,11.9314,25.1617,28.1024,31.8328,34.9624,33.2094,24.024,,32.946999999999996,28.5342
2019-03-13,24.1052,33.6058,36.0903,14.4945,26.8523,27.8485,32.0697,32.9384,30.9978,27.1777,,33.0745,28.9956
2019-03-14,24.3431,33.2429,36.0281,14.3982,25.624000000000002,28.8391,32.6338,31.090999999999998,30.1671,29.2771,,32.396,29.1689
2019-03-15,25.4751,33.2429,35.4191,14.7877,26.3724,29.4034,33.4729,29.919,29.2839,30.2119,,32.2667,30.0974
2019-03-16,25.8621,34.0758,37.6439,16.590999999999998,28.6797,27.6394,33.3642,30.1693,28.9068,32.8298,,31.6035,27.2256
2019-03-17,25.8621,34.0758,38.8874,15.7216,28.1176,27.5409,32.4805,29.8959,29.8562,30.9517,,31.5012,24.4189
2019-03-18,25.8621,34.1635,39.5765,19.6959,28.6798,27.8053,32.4278,29.7839,30.2263,30.9517,29.9727,31.7043,24.3117
2019-03-19,25.8621,34.5802,40.5791,20.4496,27.8426,25.8111,32.4902,30.0147,29.7317,29.7321,32.1637,31.8162,24.0999
2019-03-20,25.8621,34.2959,37.7773,20.7726,26.5517,26.6979,30.2582,29.0134,28.999000000000002,29.7321,31.25,31.6665,24.0999
