split,h,1 Month Anomaly Rainfalls (%),Code,Day,FCG,Fatalities,Month,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,Year,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,rCSI,reg_alpha,reg_lambda,subsample,attempt,r2_train,r2_val,shape_train,shape_val,r2_difference,loss_to_minimize
3,23,0,1,1,1,1,1,0,1,0,1,1,1,0.7000000000000001,0.175,0.266,3,4.9,65,0,0.405,0.795,0.65,508,0.7782057605244834,0.7369090629945593,"(8940, 24)","(2240, 24)",0.0412966975299241,0.0954459601136018
3,24,1,1,1,1,1,1,0,1,1,1,1,1,0.9,0.35,0.286,3,2.9000000000000004,62,1,0.0,0.675,0.95,399,0.7676211244233957,0.7229698749082123,"(8920, 33)","(2240, 33)",0.0446512495151834,0.1009695373336096
3,25,0,1,1,1,1,1,0,1,0,1,1,1,0.8500000000000001,0.97,0.298,3,5.2,61,0,0.915,0.195,0.65,599,0.7526152219852473,0.7178482214931401,"(8900, 24)","(2240, 24)",0.0347670004921072,0.0985523337489008
3,26,0,1,1,1,1,1,0,1,0,0,1,1,0.6000000000000001,0.585,0.108,3,7.0,89,0,0.35,0.32,0.7000000000000001,422,0.763227125332938,0.7151010418469809,"(8880, 23)","(2240, 23)",0.0481260834859571,0.1047201208402885
3,27,0,1,1,1,1,1,0,1,0,0,1,1,0.6000000000000001,0.145,0.276,3,1.5,64,0,0.13,0.1,0.95,601,0.7508433174150492,0.7085682012669512,"(8880, 23)","(2220, 23)",0.0422751161480979,0.1043395860791538
3,28,0,1,1,1,1,1,1,1,0,1,1,1,0.8,0.595,0.274,3,1.4,61,0,0.79,0.835,0.6000000000000001,423,0.7233947798761781,0.6928642688372126,"(8860, 25)","(2220, 25)",0.0305305110389654,0.1043529237644223
3,29,0,1,1,1,0,1,0,1,0,1,1,1,0.8,0.96,0.271,3,2.2,62,0,0.5750000000000001,0.47,0.65,404,0.7355916207618836,0.6949683395450803,"(8840, 19)","(2220, 19)",0.0406232812168032,0.1077588106231972
3,30,0,1,1,1,1,1,0,1,0,0,1,1,0.6000000000000001,0.47,0.281,3,6.2,64,0,0.375,0.26,0.95,602,0.740315867138515,0.7006558243831846,"(8820, 23)","(2220, 23)",0.0396600427553304,0.1056672697871767
4,1,0,1,1,1,1,1,0,1,0,1,1,1,1.0,0.775,0.03,4,6.6000000000000005,310,1,0.65,0.5650000000000001,0.6000000000000001,595,0.9867088616709592,0.9866944217374578,"(9760, 31)","(2460, 31)",1.4439933501475544e-05,0.0039974494521632
4,2,0,1,1,1,1,1,0,1,0,0,1,1,0.95,0.085,0.034,3,6.1000000000000005,312,1,0.68,0.535,0.7000000000000001,316,0.9741861028866272,0.9741890162106038,"(9760, 30)","(2440, 30)",2.9133239765055663e-06,0.0077462084607953
4,3,1,1,1,1,0,1,1,1,0,1,1,1,1.0,0.525,0.077,3,4.3,130,0,0.135,0.29,0.75,144,0.9617087729717462,0.9617107633466444,"(9740, 21)","(2440, 21)",1.99037489823084e-06,0.0114887613709049
4,4,0,1,1,1,1,1,1,1,1,0,1,1,0.95,0.075,0.127,3,7.7,106,0,0.095,0.02,0.95,292,0.9506139072263388,0.9505745087441468,"(9720, 25)","(2440, 25)",3.939848219203235e-05,0.0148434067696327
4,5,0,1,1,1,1,1,1,1,1,0,1,1,0.95,0.22,0.126,3,4.3,98,1,0.86,0.665,1.0,522,0.9387205707381056,0.9386302526474192,"(9700, 32)","(2440, 32)",9.031809068626996e-05,0.0184470514420487
4,6,0,1,1,1,1,1,1,1,0,0,1,1,0.8,1.0,0.263,3,6.800000000000001,73,0,0.22,0.535,0.65,592,0.9264749071160844,0.9266633132364234,"(9680, 24)","(2440, 24)",0.0001884061203389,0.0221894121494119
4,7,0,1,1,1,1,1,1,1,0,0,1,1,0.7000000000000001,0.54,0.275,3,9.3,71,1,0.015,0.745,0.6000000000000001,422,0.9134083246097264,0.9129596323590656,"(9680, 31)","(2420, 31)",0.0004486922506607,0.0262915871925446
