AdminStrata,Damascus,Aleppo,Rural Damascus,Homs,Hama,Lattakia,Idleb,Al-Hasakeh,Deir-ez-Zor,Tartous,Ar-Raqqa,Dar'a,As-Sweida,Quneitra
Indicator,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code,Code
2018-04-18,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-19,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-20,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-21,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-22,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-23,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-24,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-25,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-26,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-27,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-28,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-29,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-04-30,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-01,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-02,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-03,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-04,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-05,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-06,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-07,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-08,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-09,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-10,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-11,50,51,52,53,54,55,56,57,58,59,60,61,62,63
2018-05-12,50,51,52,53,54,55,56,57,58,59,60,61,62,63
