,Adamawa Central,Adamawa North,Adamawa South,Borno Central,Borno North,Borno South,Yobe East,Yobe North,Yobe South
,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI,rCSI
2019-06-29,26.16649089858277,16.663514673838563,11.94250172907738,35.79873362443313,19.71522621033785,17.83264859903779,28.30710084451657,27.66265010054738,21.99113298116805
2019-06-30,26.113761633639587,15.580591143460635,11.415703457828279,35.59709446853136,20.306871784871372,16.921412515781228,27.445751888935373,27.3426024559142,21.746684895014415
2019-07-01,24.81351767080463,13.500454550640464,10.59166407102692,35.54176617326357,20.826478507515368,15.616365840247449,26.023519365745553,27.5407450213134,20.758654256066176
2019-07-02,23.633556065670035,12.647015997518343,10.361750319921866,35.39735860804716,21.57900751847491,14.993730064993997,25.27291160610899,27.29103914047147,19.84005793625373
2019-07-03,23.0288653719084,11.950559646202128,10.069858848060292,36.27593114996619,21.678426264522198,14.76277374354371,24.987396925785703,28.1369697680221,19.559014344700042
2019-07-04,22.92006424569827,12.923841812695677,10.667038653489527,36.32172096864522,21.361479745414087,15.280927958834033,24.369185245117773,27.55155313267387,19.361137256158408
2019-07-05,22.556486537472455,13.354623559640158,11.5086796254043,36.67014663347711,21.391880654560477,15.71847098360267,23.270065981376316,27.64788265752348,19.494724598377633
2019-07-06,22.282223504321834,13.447799775282448,12.136974979950642,37.247484062755184,22.00391886735189,16.488408324987663,23.051900991775423,27.443095997797986,19.85030501498552
2019-07-07,22.70324513398317,13.400733249795048,12.369841246173062,37.66538992812492,23.082620369995567,17.750168248944544,23.71500572351036,28.336475997119397,21.254497652245714
2019-07-08,22.48073823378873,12.452651960441097,12.139768734659834,37.439279290817346,23.016837092989505,18.30509880521684,23.936680173172373,28.580736031548494,21.693111271780555
2019-07-09,22.095853015964135,11.816860311334118,11.81616521842691,36.81016382050668,21.891731232934315,18.49429116239594,23.366336348860298,29.022121126608635,21.266244817297263
2019-07-10,21.89412634243986,11.124720302089088,11.902642207069539,36.848342337961235,21.14636666007356,17.760021743112162,22.63480075534157,28.95111844207401,19.959887571990112
2019-07-11,21.656659609085537,11.279261746280213,12.470988410137196,36.2734524289372,20.68352702190056,17.435274975080862,21.7246172272509,28.63035265628477,19.004167234483003
2019-07-12,21.04782677850987,11.373557697759482,12.876385776698212,35.372617821457155,21.199896633833312,17.52909645011647,20.711089805272774,27.249872010531703,18.63345487454721
2019-07-13,19.59582897079854,11.202413448749232,13.012764441013838,34.392396245380944,20.917133066411093,18.26629534061952,20.04367252882119,26.669824185680426,18.033839170478505
2019-07-14,18.329064507831543,11.104577683317066,12.917745400424158,34.1427392208079,21.02244024128576,18.66159558008956,18.80896635763155,25.87540162411092,17.73892106123978
2019-07-15,17.9066624472586,11.223028149189645,13.014662659351828,33.83120095880082,21.588996896951326,19.325872816504056,18.67725013436603,26.573778370052782,17.825157036574794
2019-07-16,18.288969972928708,11.902067059046225,13.544251723709102,33.115990576518215,22.594227428012346,19.731335328903725,18.898644039722267,26.92967595124706,18.591133389658747
2019-07-17,18.67493890639622,12.59922562336663,13.90624506514545,31.79781556902645,23.544521518428542,20.48202797021793,20.165302510899185,27.815701908189357,19.138600462024467
2019-07-18,19.626227653313716,13.153825659271371,13.677483404290902,30.29025756911439,24.080207580826908,21.688756010249346,20.637795170457213,27.236856059856876,20.263331943471197
2019-07-19,20.133403505563617,12.990924210078255,12.723769495705689,28.949586387345207,24.30597918440107,23.426188936104342,21.301488657262073,26.128327616592614,20.515297649321667
2019-07-20,21.756944149846134,13.320052996558855,12.596222505843377,28.84624667046839,24.923096467173952,25.006899203267242,21.90282430584331,25.159113788201292,21.628033695272705
2019-07-21,22.013198241039905,13.88685463798078,12.406774587707742,28.53725974073939,25.621322254063074,25.586644170851017,22.70681957700207,25.20385211453082,22.33538160953982
