Country,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria,Syria
Split,Split 1,Split 1,Split 2,Split 2,Split 3,Split 3,Split 4,Split 4,Split 5,Split 5,Split 6,Split 6,Split 7,Split 7
Type,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive,r2_model,r2_naive
Prediction horizon,,,,,,,,,,,,,,
10,0.18531097118598805,-0.05731934992805843,0.186403638624013,0.20507779144002813,0.658311797373818,0.7126574763509581,0.524359045974523,0.2521729286075848,0.07793402769678559,0.21562679637233073,0.36010871155519497,-0.13056743258937953,0.7852450625864554,0.8903620324098356
11,0.08071414943262589,-0.19502918915524825,0.1386018264307174,0.1631611247260295,0.5759141878730245,0.6323238148260777,0.4527375575260555,0.11119460243527035,0.039369230221308116,0.1451146295392597,0.20233671689844313,-0.35023399757971063,0.7835783769172969,0.881249116827966
12,0.0877488821006257,-0.19502918915524825,0.27570953881125515,0.3293370875233693,0.5940248788599216,0.6826812873367557,0.5219310738992131,0.18443319537189107,-0.024367793293430307,0.022545164671764928,0.41632726532175135,-0.05856429413203257,0.770886878854524,0.8665418420908486
13,0.12783587842009225,-0.19502918915524825,0.17323473649723042,0.18944129760083317,0.49205634300088263,0.5178821357805639,0.5252272562803975,0.11984416710805468,-0.0727356370799499,-0.01662670040132408,0.43580814516972155,-0.13782520493070805,0.7617135552485732,0.8643556860357376
14,0.14264259809135693,-0.19502918915524825,0.21542696213491141,0.22106823978347756,0.4104938237866629,0.4683672816994754,0.5476010429051785,0.14536067261579888,-0.23394726531740084,-0.2305271701693914,0.27358241543307793,-0.32637949349267004,0.7426069192224531,0.8434530289330233
15,0.10806097458709274,-0.19502918915524825,0.24421776721630983,0.24100373867678293,0.315572686486287,0.35612845467821885,0.4516816476635548,-0.046656531750081776,-0.12494557531030459,-0.19950722573844937,0.1532759183676794,-0.6111405435740234,0.7123502611070471,0.8173441487250193
16,0.10891501752392163,-0.19502918915524825,0.26084131417275747,0.2676584495322757,0.2759545922728486,0.3071710189807473,0.4169199944385862,-0.023722247748379832,-0.06880718887948412,-0.28450790029315387,-0.09234077097123294,-1.0445841879467976,0.7157519254744715,0.830806535238605
17,0.10573411710957392,-0.19502918915524825,0.28195266449450185,0.3184483616626004,0.2842219316223614,0.4254895465538314,0.45359681125225226,-0.04776013957569658,-0.1474720792354769,-0.5293171856012873,-0.15007486118839974,-1.1488926638388106,0.7083938887852119,0.8195166900731519
18,0.07875999272865497,-0.19502918915524825,0.20288914751617537,0.2679490102637675,0.3551134760883531,0.49511145246070754,0.4377286871232955,-0.10794481585598281,-0.07520993614720561,-0.4410394397390791,-0.018300931492369443,-0.5461164050611611,0.701461669658922,0.8249361542415274
19,0.06067215335377574,-0.19502918915524825,0.1740661487719689,0.2728103230542144,0.2175078129739113,0.4270764245029828,0.47084709629470367,-0.06923108692718083,-0.27817872369137775,-0.8338596824029572,-0.12159675710302409,-0.5801236711151405,0.6915099136061129,0.8123903822734315
