bxcx,p,stationary,loss
False,136,True,25.993820278798253
False,61,True,5.034935672284745
True,135,True,41.280972025830245
False,49,False,9.028128331369603
False,220,True,204.91814075932908
False,119,True,3.678354237947142
True,33,True,4.3210661636901335
False,11,False,5.70994371713991
False,44,True,3.5572353678560034
False,225,True,159.52435778599624
False,233,False,544.2509691255283
False,199,True,57.04527874851623
True,183,True,59.1384205353284
False,207,False,111.8297560699164
False,227,True,217.96974491470806
False,153,True,35.86163195882365
True,185,True,57.759524594183944
False,211,True,121.29234046646737
False,120,False,18.12527062708827
False,13,True,5.326925443293756
False,160,True,29.44361683699627
False,69,True,5.250052682956219
False,121,True,3.942788302056661
False,163,True,36.33610675354374
False,170,False,53.53933177486845
False,45,True,3.6140293782391235
False,177,True,35.599238793791656
False,18,True,5.155898169542385
False,88,False,10.122148443097503
False,85,True,6.544261600023198
True,186,True,57.597209724215475
False,134,True,27.90694681164452
False,118,False,16.812528405248006
False,173,True,38.332528067848266
False,107,True,3.732660464810589
False,29,True,4.15024937485562
False,114,True,3.239829775562283
False,154,True,32.82708948113251
False,48,True,3.0966314119467495
False,37,True,3.903500902042134
False,14,True,5.311209214190311
False,152,True,38.57065474768431
False,138,True,34.53978760369258
False,48,True,3.0966314119467495
False,56,True,4.675504307284492
False,8,True,5.234354913857276
False,197,True,45.01136602237012
False,112,True,3.2787405943842365
False,187,True,35.23957437855385
False,147,False,51.2447349354342
False,106,True,3.8237931011116135
False,105,True,4.1026022709513645
True,35,True,4.356826603974224
False,212,True,147.26453201842392
True,10,True,5.143597128940363
False,91,True,4.924985235195089
False,41,False,7.284486346529299
False,21,True,5.042721891201691
True,66,True,4.375789763352855
False,148,True,39.9123222032682
False,48,False,8.844188668245218
False,16,True,5.209678456891314
False,151,True,36.372125991481205
True,192,True,51.39952498295989
False,28,True,4.173930323339484
False,30,False,8.001388106145521
False,126,True,4.8922126154018555
False,86,True,5.593723041199844
False,102,True,5.384493321455743
True,208,True,94.03266439391614
False,179,True,36.38079243789718
False,182,False,60.16338624431179
False,48,True,3.0966314119467495
False,145,True,42.38827089742677
False,48,True,3.0966314119467495
False,131,True,14.175910157757867
True,217,True,131.68736230504246
False,48,True,3.0966314119467495
False,231,True,235.12341251938733
False,48,True,3.0966314119467495
False,230,True,143.21078542381704
False,27,True,4.331278348299708
True,48,True,3.1653437421206
False,48,True,3.0966314119467495
False,2,True,5.039386661065971
False,101,False,12.510687141501514
False,221,True,209.77351296407485
False,24,True,4.576269584493782
False,150,True,32.2812632356602
False,130,True,12.886752813679635
False,48,True,3.0966314119467495
False,218,True,179.4567320637519
False,214,True,157.38045426234908
False,100,False,12.11415372880513
False,48,True,3.0966314119467495
False,215,True,164.50629463780038
False,53,True,3.9915573933011337
True,149,True,54.07783139868385
False,79,True,5.297533944052041
False,54,True,3.8316513358063795
False,51,False,8.798914906936194
False,165,True,36.39652927956531
False,234,True,712289388896.0331
False,198,True,48.06814573779122
False,222,True,195.83525891089778
True,200,True,68.74031058221372
False,142,True,34.01289144134164
False,89,True,5.2647342987466885
True,67,True,4.543383952077346
False,46,True,3.510239700277136
False,128,True,6.9536982557002025
False,95,True,4.22504256316041
True,213,True,144.69590521789158
False,194,True,42.034960582947164
False,50,False,8.59264291658811
False,224,True,171.32461326267244
False,97,True,4.416913797555037
False,146,True,41.99846514732062
False,72,True,5.09735389486159
False,141,True,35.00581571218411
False,87,True,6.029445125155142
False,48,True,3.0966314119467495
False,178,True,35.307581047435136
False,19,False,6.963588163782217
False,168,True,35.913249099557916
False,164,True,36.00998434346616
False,48,True,3.0966314119467495
False,82,True,5.822047468153561
False,64,True,4.223900964755416
False,116,True,3.551435768161871
False,184,True,39.3343921583345
False,129,True,10.779631497031192
False,4,True,4.812241350517744
False,48,True,3.0966314119467495
False,65,True,4.211250897859895
False,20,True,4.909361936146233
False,48,True,3.0966314119467495
False,81,True,5.666335968992655
False,90,True,4.775130429941566
False,180,True,36.58802318011926
