bxcx,p,stationary,loss
False,4,True,298387.7131632037
True,170,False,47.627536181568665
False,223,True,190615.0319176578
False,126,False,7.259827779007487
False,113,False,5.66670584057024
False,122,False,7.438105350975639
True,172,False,47.823485243639
False,168,False,56.93438768492171
False,62,False,7.219215337307863
False,118,False,7.19414887581798
False,54,False,6.437977439031211
False,99,True,286233.4576323475
False,200,False,147.9794270077485
False,100,False,4.771211236126574
False,29,False,8.719879560653709
False,221,True,196666.64774150474
False,64,False,6.484425028707118
False,112,False,5.773449054958507
False,12,False,11.402319453108584
True,79,False,7.376568138745788
False,224,False,813.4849791096372
False,212,True,209554.04131403592
False,5,False,11.491994515012488
False,11,False,11.278080257347424
False,6,False,11.572620525443005
False,61,False,6.767794419107974
False,124,True,291785.844431793
False,136,False,17.216711716357416
False,96,False,5.950402781481714
True,102,False,5.838827566457738
False,234,False,538658789.3785816
False,24,False,9.038598593047796
False,103,False,5.646680022347994
False,115,False,6.274888495166102
True,202,False,147.38370165386945
False,123,False,8.01961413778077
False,167,False,48.668621610422065
