AdminStrata,Adamawa,Central,East,Far-North,Littoral,North,North-West,South,South-West,West
Indicator,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange,SvyDateRange
2019-11-05,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-06,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-07,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-08,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-09,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-10,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-11,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-12,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-13,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-14,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-15,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-16,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-17,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-18,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-19,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-20,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-21,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-22,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-23,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-24,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-25,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-26,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-27,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-28,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-29,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-11-30,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-01,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-02,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-03,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-04,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-05,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-06,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-07,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-08,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-09,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-10,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-11,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-12,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-13,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-14,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-15,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-16,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-17,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-18,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-19,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-20,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-21,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-22,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-23,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-24,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-25,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-26,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-27,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-28,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-29,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-30,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2019-12-31,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-01,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-02,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-03,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-04,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-05,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-06,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-07,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-08,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-09,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-10,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-11,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-12,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-13,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-14,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-15,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-16,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-17,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-18,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
2020-01-19,90.0,90.0,90.0,90.0,90.0,90.0,30.0,90.0,30.0,90.0
