1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Exchange rate (USD/LCU),FCS,Fatality,Lat,Lon,NDVI Anomaly,Population,Rainfall (mm),Ramadan,colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,rCSI,subsample,h,r2,val_loss,train_loss
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,23,0.9999241228564123,28.672205,0.0079471655
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,24,0.99992544037425,30.373856,0.007801837
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,25,0.9999133474157443,29.573488,0.009062751
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,26,0.9999117763184842,26.54405,0.009225445
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,27,0.9999250457438285,34.02019,0.007838366
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,28,0.999925580560879,34.760452,0.0077846544
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,29,0.9999340648245434,39.40888,0.0069005005
81,71,61,71,31,51,0,0,41,0,51,1,0.9400000000000001,0.07,0.32,27,8.0,55,61,0.88,30,0.999918956704199,35.576893,0.008487846
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,1,0.9996945178942769,0.4606973,0.035057127
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,2,0.999679353705343,1.2442876,0.036663305
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,3,0.999549499560697,3.477428,0.051325362
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,4,0.9994731424331729,4.552551,0.059810597
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,5,0.9994172374070153,8.298457,0.06592016
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,6,0.9993271980511994,9.837365,0.07583185
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,7,0.9993083336289569,13.390866,0.077674165
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,8,0.9993429891912087,14.343678,0.073509365
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,9,0.9992769590139999,14.677756,0.08060031
31,61,21,71,21,21,0,0,31,0,11,31,0.73,0.31,0.29,24,9.0,60,21,0.39,10,0.9992900681787968,14.981412,0.078856654
