AdminStrata,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Borno,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe,Yobe
2018-09-30,375.0,,36200.0,,26550.0,,11015.0,90.76100000000001,,13280.0,,16160.0,236.5285,,16240.0,,15795.0,491.315,156.75,,12184.0,,10622.0,,10027.5,,10830.0,334.375,113.39285714285714,12050.0,428.57142857142856,16725.0,294.6428571428571,29015.0,27350.0,,11400.0,,10982.5,115.625,286.9922441176471,187.85,,22625.0,,19250.0,,9900.0,,9350.0,184.54545454545453,106.81818181818184,9975.0,347.4025974025975,16350.0,253.24675324675326,30425.0,,8950.0,,9725.0,107.34265734265732,149.70939702233255
2018-10-31,375.0,,36040.0,,26220.0,,10852.0,83.9124,,13020.0,,16020.0,233.1284,,16196.0,,15692.0,499.996,157.6,,11531.6,,10808.8,114.4,9594.0,,9332.0,331.25,151.3392857142857,10238.0,455.35714285714283,16280.96,329.6428571428571,24818.0,26040.0,,10980.0,,10984.0,101.96428571428572,272.8792847058823,202.07999999999998,,20900.0,,18660.0,,9120.0,91.734,9000.0,172.72727272727272,94.80519480519483,8790.0,345.7792207792208,16260.0,249.18831168831173,29600.0,,8400.0,,8720.0,101.22377622377621,172.84603870967743
2018-11-30,375.0,,35750.0,,26100.0,,9345.0,79.6918,,12170.0,,15540.0,206.56099999999998,,14775.0,,14540.0,513.885,153.0,,10685.75,,9593.75,102.0,7722.5,,7795.0,337.5,143.30357142857144,10472.25,428.57142857142856,16041.5,328.125,24310.0,25450.0,,10288.75,,10290.0,112.50000000000001,262.91368529411767,195.625,,20625.0,,18750.0,,8087.5,81.48,8000.0,159.54545454545453,92.20779220779224,9125.0,347.4025974025975,16287.5,241.23376623376623,29500.0,,6787.5,,7142.5,94.4055944055944,157.66919975186104
2018-12-31,375.0,,34925.0,,25650.0,,7225.0,75.47120000000001,,10945.0,,15050.0,180.0995,,12640.0,,12605.0,496.5225,151.0,,10578.75,,9031.25,103.0,7582.5,,7652.5,293.875,148.39285714285714,9750.0,473.30357142857144,15895.0,332.5892857142857,24125.0,24900.0,,8165.0,,8060.0,155.17857142857144,211.66204117647058,201.05,,20500.0,,18500.0,,7650.0,69.207,7125.0,154.54545454545453,89.61038961038963,8525.0,326.29870129870136,15962.5,246.42857142857144,29525.0,,6812.5,,7515.0,87.76223776223777,147.19426302729528
2019-01-31,375.0,,32862.5,,24375.0,,7057.5,71.2506,,11072.5,,14675.0,186.51225,,11832.5,,11802.5,485.2335,162.0,318.0664,11512.0,240.5316,9042.0,73.6368,7260.0,74.818,5950.0,282.375,126.84617777777778,9482.0,411.97227301587304,15896.4,307.94638095238093,23596.0,24780.0,95.4324,6212.0,86.4408,7434.0,101.25,285.91658039215685,271.25,289.42,21000.0,262.702,20000.0,83.67399999999999,7360.0,76.07,6340.0,155.0,86.28630952380955,8300.0,327.30553333333336,16460.0,241.97726190476192,24000.0,62.766000000000005,5424.0,68.862,5936.0,77.97202797202797,123.93342043010752
2019-02-28,375.0,218.34,30800.0,199.0,23100.0,65.21,6890.0,67.03,87.9725,11200.0,300.0,14300.0,192.925,75.435,11025.0,73.1555,11000.0,473.9445,154.0,284.672,10620.0,270.039,9070.0,86.711,7397.5,83.70835,7242.5,256.25,111.55387142857144,9345.83335,411.87469999999996,15980.5,267.46260714285717,24650.0,25700.0,84.72125,7885.0,83.649,7952.5,98.6607142857143,272.03156470588226,195.625,356.142,20500.0,322.755,18500.0,78.1786,7687.5,66.2025,7187.5,161.5909090909091,87.71779670329671,7687.5,324.8507967032966,16087.5,240.12153846153845,29500.0,58.939,6250.0,66.3625,6437.5,85.13986013986015,156.64274937965257
2019-03-31,375.0,218.34,29700.0,199.0,23000.0,68.63,7975.0,71.555,93.03,11800.0,300.0,14240.0,200.5015,78.0425,11680.0,79.0375,11580.0,479.161,167.25,284.747,10615.0,270.049,9195.0,91.64425,7670.0,94.703,7420.0,250.0,127.44484285714285,9390.0,416.8756928571429,15818.0,266.3681142857143,25667.5,26300.0,90.6465,7367.5,85.39725,7855.83335,99.10714285714286,276.5074647058823,195.625,348.68989999999997,20250.0,322.83225000000004,18500.0,81.40825000000001,8462.5,78.305,8000.0,153.4090909090909,84.77736263736264,8262.5,327.46068681318684,16025.0,244.8359065934066,29575.0,65.7575,6525.0,69.05499999999999,6900.0,80.41958041958043,153.0252977667494
2019-04-30,375.0,218.34,28800.0,199.0,21800.0,68.44,7200.0,71.193,102.44,10275.0,300.0,14025.0,194.7765,86.4865,10200.0,91.3245,10350.0,473.7035,159.25,286.32725,10790.0,268.97524999999996,9255.0,90.50175,7567.5,96.28399999999999,7607.5,250.0,128.17319285714285,9822.5,417.94199285714285,16048.0,269.8569642857143,26575.0,26350.0,88.8845,7510.0,88.795,7507.5,99.10714285714286,277.46221470588233,201.05,339.915,20050.0,322.75575000000003,18500.0,79.112,8319.16665,73.775,7687.5,150.5,83.50324404761906,8137.5,319.54120238095237,15875.0,246.75461309523806,29575.0,62.72,6150.0,62.677,6437.5,79.23076923076921,156.06667607526882
2019-05-31,375.0,201.41750000000002,25687.5,186.5625,20350.0,65.82575,7105.0,68.06824999999999,97.17824999999999,10100.0,300.0,13768.75,198.817125,77.452,9325.0,81.9575,9475.0,471.161625,162.0,322.65,9940.0,333.52,9852.0,70.38,5972.0,97.213,7830.625,209.375,103.02968253968254,9928.0,416.8444444444444,15808.0,267.08857142857147,26640.0,26060.0,68.14,5672.0,68.02,5632.0,104.46428571428572,313.7466888888889,251.72,212.68,20000.0,232.65,20000.0,96.15,7900.0,87.32,7500.0,134.3181818181818,83.16130952380954,8000.0,318.63464285714286,16640.0,248.97380952380956,24000.0,60.96,5000.0,57.68,5136.0,80.76923076923077,140.5090053763441
2019-06-30,375.0,184.495,22575.0,174.125,18900.0,63.2115,7010.0,64.9435,91.9165,9925.0,300.0,13512.5,202.85775,68.4175,8450.0,72.59049999999999,8600.0,468.61975,162.0,322.28,9950.0,318.39,9210.0,63.95,5830.0,98.142,8053.75,221.0,109.36873015873016,9830.0,418.66888888888883,15872.0,269.4409523809524,26500.0,25770.0,67.27,5430.0,65.36,5580.0,101.7857142857143,317.18320261437907,260.4,263.16,20000.0,263.16,20000.0,74.07,7166.6684,74.07,6833.3317,133.4090909090909,75.38702380952382,7000.0,319.7120238095238,16700.0,234.4739285714286,24000.0,57.69,5000.0,57.69,5200.0,71.15384615384615,137.94140430107527
2019-07-31,375.0,167.5725,19462.5,161.6875,17450.0,60.59725,6915.0,61.818749999999994,86.65475,9750.0,300.0,13256.25,206.89837500000002,59.383,7575.0,63.2235,7725.0,466.077875,162.0,300.652375,10200.0,278.652,8550.0,74.51150000000001,7440.0,99.071,8276.875,218.375,115.4464285714286,8246.66665,425.89285714285717,16000.66665,266.16071428571433,26000.0,25480.0,72.64512500000001,5860.0,71.96950000000001,6690.0,99.82142857142858,321.80654967320265,289.3333,281.435,19333.3333,272.41,19333.3333,75.88825,7500.0,75.7435,7013.3333,134.54545454545453,77.92207792207795,8000.0,324.3506493506494,16733.3333,236.20129870129875,22560.0,56.79125,5066.6667,56.79125,5386.6667,80.06993006993007,132.7476505376344
2019-08-31,375.0,150.65,16350.0,149.25,16000.0,57.983000000000004,6820.0,58.693999999999996,81.393,9575.0,300.0,13000.0,210.93900000000002,50.3485,6700.0,53.8565,6850.0,463.536,171.0,279.02475,10517.5,238.914,8275.0,85.07300000000001,7422.5,100.0,8500.0,211.625,112.52792142857143,7937.5,404.90465714285716,15949.0,266.977,25570.0,26600.0,78.02025,6937.5,78.57900000000001,6832.5,102.32142857142858,316.3940411764705,211.375,299.71,18000.0,281.66,17000.0,77.7065,7875.0,77.417,7479.16665,134.77272727272728,74.84615384615384,7312.5,323.97945604395613,16362.5,234.29428571428573,30000.0,55.8925,5250.0,55.8925,5500.0,73.77622377622377,163.71935732009928
2019-09-30,375.0,155.454,16425.0,149.25,16000.0,65.98,8355.0,67.2095,102.25200000000001,10875.0,307.464,14075.0,224.9115,55.7885,7025.0,59.62,7440.0,512.1475,166.0,265.01775,10562.5,234.159,8175.0,100.43025,8300.0,110.0,9625.0,207.125,113.65209285714286,8280.0,411.01810000000006,16582.0,264.9542871428572,25670.0,26900.0,87.469,7045.0,88.375,7025.0,103.75000000000001,300.3132676470588,206.475,299.70775,17625.0,281.735,16625.0,76.78075,8012.5,75.6965,7762.5,149.0,76.83958333333332,7287.5,353.54765476190477,16987.5,247.62978571428573,29875.0,59.1685,5475.0,58.3495,5572.5,73.65384615384616,159.1999569892473
2019-10-31,375.0,168.55599999999998,16450.0,149.25,16000.0,76.995,9600.0,80.072,129.888,12150.0,316.66,16050.0,253.7425,64.5545,7800.0,68.0105,8150.0,497.6987,171.0,268.4532,10786.0,242.8266,8636.0,92.3218,8594.0,100.0,9000.0,204.875,112.69806285714284,8172.0,438.47399428571435,18910.0,279.25505142857145,28040.0,28000.0,82.0858,8302.0,81.6614,8254.0,104.10714285714286,279.8271970588236,201.05,299.7055,18000.0,281.735,17000.0,80.4845,8875.0,79.271,8375.0,144.77272727272728,75.10596813186815,7362.5,384.8336373626374,17050.0,267.2481263736264,30400.0,60.685,5835.0,59.044000000000004,5800.0,72.37762237762236,159.34362282878413
2019-11-30,375.0,163.8964,16200.0,149.25,15350.0,71.914,9475.0,75.0244,123.74106666666667,13600.0,312.21733333333333,15525.0,227.6,62.35633333333334,8050.0,64.45633333333333,8450.0,477.4385,171.0,261.6633,10115.0,238.51673333333335,8797.5,88.96928333333334,7960.0,100.0,9625.0,204.875,118.75,8545.0,444.46428571428567,19668.5,281.3392857142857,27387.5,27100.0,80.18178333333334,7685.0,79.20768333333334,7695.0,105.80357142857144,269.17336764705885,201.05,295.3188333333333,17800.0,277.34833333333336,17000.0,81.40966666666667,8675.0,79.68066666666667,8575.0,138.86363636363637,77.92207792207793,7450.0,394.48051948051943,17862.5,265.2597402597403,29850.0,61.01083333333333,6062.5,61.82783333333334,6257.5,72.72727272727272,155.66684491315138
2019-12-31,375.0,159.2368,14800.0,149.25,14050.0,66.833,8100.0,69.9768,117.59413333333333,12875.0,307.7746666666667,14125.0,226.7962,60.158166666666666,7100.0,60.902166666666666,7450.0,475.6885,171.0,254.87339999999998,10285.0,234.20686666666668,8820.0,85.61676666666666,7462.5,100.0,8375.0,203.625,117.85714285714288,9065.0,456.25,19248.0,282.85714285714283,26520.0,26850.0,78.27776666666666,7487.5,76.75396666666667,7497.5,105.08928571428572,268.3606176470588,190.95,290.93216666666666,18000.0,272.96166666666664,17000.0,82.33483333333334,8300.0,80.09033333333333,8225.0,142.72727272727272,76.29870129870132,7712.5,383.9285714285714,18525.0,249.83766233766235,29600.0,61.336666666666666,5982.5,64.61166666666666,6600.0,74.12587412587412,151.22333498759306
2020-01-31,375.0,154.5772,14800.0,149.25,14000.0,61.751999999999995,8172.0,64.9292,111.4472,13000.0,303.332,14800.0,225.9924,57.96,7000.0,57.348,7260.0,468.0496,171.0,248.0835,10640.0,229.89700000000002,9082.5,82.26425,7730.0,100.0,8975.0,201.375,112.50184285714286,9270.0,463.36383571428576,19199.5,275.62312142857144,27112.5,26700.0,76.37375,6875.0,74.30025,6562.5,105.08928571428572,264.21811176470584,190.2,286.5455,18000.0,268.575,17000.0,83.26,8500.0,80.5,8337.5,139.0909090909091,75.67565934065935,8212.5,381.5618367346939,18375.0,255.49225274725273,29525.0,61.662499999999994,6375.0,67.3955,6687.5,72.72727272727273,152.94403846153844
2020-02-29,375.0,152.83,14650.0,149.25,14000.0,60.076,8265.0,62.678999999999995,106.012,13325.0,300.0,14875.0,227.942,57.0125,8125.0,59.739,8450.0,473.9525,179.5,256.58774999999997,10950.0,234.98274999999998,9412.5,85.02674999999999,7737.5,100.0,8625.0,192.125,104.00815714285716,9267.5,514.2519214285714,18992.5,314.77652857142857,25942.5,26250.0,77.4305,6957.5,78.0395,6995.0,97.5,224.85158529411765,178.075,244.8825,17000.0,224.45749999999998,16250.0,83.7225,8762.5,83.7225,8500.0,141.1818181818182,80.97667582417581,8600.0,383.0924489795919,18400.0,242.124478021978,29750.0,65.27625,6650.0,67.32374999999999,6850.0,73.42657342657343,149.40846153846152
2020-03-31,375.0,152.83,14600.0,149.25,14000.0,78.48,8800.0,81.1955,119.623,14300.0,311.331,14625.0,246.226,71.45025,9050.0,75.2945,9425.0,473.95,207.0,284.0415,11345.0,268.477875,9902.5,104.99487500000001,8272.5,125.2,9350.0,175.0,107.14285714285714,10285.0,533.6607142857143,18350.0,306.25000000000006,27787.5,29500.0,95.47625,6845.0,96.13875,6850.0,97.94642857142858,224.12817647058824,186.0,250.21925,16500.0,226.90625,16000.0,91.57675,8882.5,90.08825,8762.5,147.75757575757575,89.37733791208791,8977.5,395.85472448979596,18275.0,260.744739010989,29375.0,70.286125,7075.0,74.62187499999999,7250.0,80.36130536130536,342.31
2020-04-30,375.0,152.83,14420.0,149.25,14000.0,96.884,11080.0,99.712,133.234,16320.0,322.66200000000003,16260.0,264.51,85.88799999999999,11540.0,90.85,11940.0,684.1339999999999,207.0,311.49525,13958.75,301.973,11842.0,124.96300000000001,9718.0,150.4,10900.0,182.0,114.05139999999999,12370.0,547.2337785714286,20620.0,312.6680857142857,30270.0,32750.0,113.52199999999999,9234.0,114.238,9226.0,103.66071428571428,247.82251764705887,165.16,255.556,17110.0,229.355,16640.0,99.431,10720.0,96.45400000000001,10510.0,154.33333333333334,97.77799999999999,10820.0,408.617,19000.0,279.365,31940.0,75.29599999999999,7854.0,81.92,8650.0,87.2960372960373,410.001
2020-05-31,375.05,152.8375,14300.0,149.25,14000.0,96.2,11125.0,104.8935,146.2435,16370.0,371.661,17975.0,289.892,102.101,13300.0,113.5975,13825.0,758.6765,207.0,343.56135,14480.0,310.221,12580.0,145.07575,10405.0,180.0,11750.0,193.625,125.78340714285714,13845.0,563.1426714285715,20463.33335,345.41717142857146,32800.0,37000.0,134.64600000000002,10112.5,135.24075,10127.5,107.58928571428572,266.32017058823527,129.0,271.93,18000.0,244.825,17500.0,100.4625,11075.0,98.5925,10862.5,160.9090909090909,104.19203296703297,11300.0,431.8390476190477,19687.5,317.5626758241758,33250.0,74.41075000000001,8245.0,83.6525,9225.0,94.23076923076923,164.442270471464
2020-06-30,375.0,168.5544,14640.0,163.178,14280.0,126.24600000000001,13850.0,120.48,154.8885,16650.0,404.9985,18550.0,301.513,117.8905,14525.0,132.7445,15375.0,543.0975,207.0,339.43859999999995,16178.0,309.6906,12998.0,167.3025,12962.5,195.0,14125.0,205.625,133.35878571428572,14325.0,590.3051142857144,20830.0,371.44185,33837.5,,136.59949999999998,11027.5,135.99225,10952.5,111.1607142857143,318.8486852941176,130.0,250.46300000000002,17760.0,229.412,17200.0,126.85249999999999,14312.5,120.86625,13500.0,195.22727272727272,120.84829670329674,13650.0,445.3217261904762,20712.5,340.21995604395613,33500.0,94.35374999999999,10282.5,104.9175,11658.125,113.46153846153847,164.45602977667494
2020-07-31,431.25,186.6765,14850.0,182.58,14500.0,154.563,16925.0,157.97,170.674,18525.0,448.3285,21025.0,328.111,148.24,16950.0,156.076,17750.0,944.4653,214.5,373.969,16540.0,317.6325,13770.0,188.78375,15662.5,203.0,16625.0,200.875,136.54285000000002,16992.5,577.6428428571429,22057.5,368.79557857142856,40375.0,,161.76975,14082.5,160.64,14110.0,112.14285714285715,317.7036235294117,129.75,258.77,18000.0,239.16500000000002,17500.0,149.95875,16937.5,140.81375,16187.5,241.07142857142858,161.137753968254,15500.0,464.3600714285714,21125.0,367.29457142857143,34375.0,121.16225,13687.5,133.63625,14812.5,146.15384615384616,174.5571845878136
2020-08-31,437.5,223.5764,15520.0,215.9156,14960.0,168.9404,19040.0,167.9688,173.68200000000002,19980.0,475.9944,23380.0,375.7568,146.6616,18340.0,163.6588,19220.0,1059.7156,211.6,372.88120000000004,16998.0,332.3212,14498.0,199.6062,17682.0,216.872,18200.0,206.75,143.35083428571426,18392.0,588.00616,24478.0,377.1395371428572,42634.0,,193.27859999999998,17266.0,196.2252,17458.0,117.85714285714288,254.74415764705887,137.6,277.1916,18700.0,247.584,18200.0,172.2354,18750.0,156.5482,18220.0,271.1363636363636,178.50736703296704,17650.0,528.4574612244899,22480.0,419.91224175824175,37160.0,142.721,16170.0,162.6926,17150.0,175.00000000000003,170.5942719602978
2020-09-30,437.5,286.02299999999997,17925.0,272.38599999999997,16800.0,183.6915,20425.0,184.78400000000002,179.173,20150.0,501.6645,25450.0,446.1275,169.4675,20900.0,182.35,21350.0,755.8265,227.5,381.00975,17100.0,343.15999999999997,15065.0,206.71775,18280.0,215.0,18125.0,211.875,145.0995,17915.0,603.980392857143,26837.5,387.82106428571433,41842.5,,212.84275,19002.5,215.00625,19030.0,125.625,254.5480794117647,152.0,350.875,21500.0,331.27,21000.0,190.24124999999998,19750.0,185.61075,19625.0,268.1818181818182,164.3210989010989,18125.0,533.2504285714286,25500.0,430.49563186813185,39750.0,155.76999999999998,16250.0,156.73125,17250.0,180.4195804195804,161.90855459057073
2020-10-31,437.5,283.84,18000.0,273.63,17000.0,173.1935,19025.0,181.3405,192.67,21450.0,501.6655,26300.0,425.9255,199.99599999999998,24000.0,222.421,25225.0,902.7719999999999,230.75,378.34000000000003,16930.0,332.83775,15157.5,149.06,13397.5,170.0,15750.0,204.875,127.56129285714287,14940.0,484.72926428571435,27592.5,291.8369714285714,34502.5,,218.37075,18622.5,219.59125,18610.0,104.10714285714286,289.0062970588235,145.5,337.79375,20500.0,318.11375,20000.0,151.9755,16625.0,152.8475,16250.0,144.77272727272728,84.30013736263737,14187.5,403.27782967032965,25500.0,282.73824175824177,35700.0,117.30824999999999,12237.5,120.6725,12750.0,72.37762237762237,132.42054590570723
2020-11-30,437.5,283.836,18000.0,273.63,17000.0,139.31799999999998,16040.0,149.4212,189.47400000000002,20240.0,459.994,25960.0,339.3936,228.7652,27140.0,254.4232,28740.0,773.6068,223.4,382.6872,17452.0,340.0628,15120.0,145.7874,13268.0,175.8,14900.0,216.875,150.14797142857145,15070.0,622.6006342857142,28070.0,373.64959999999996,32456.0,,211.6406,19544.0,213.03879999999998,19088.0,135.5357142857143,250.96983999999998,131.6,341.228,19500.0,322.601,19200.0,129.66,13950.0,125.571,13490.0,235.45454545454547,134.15147252747255,13320.0,512.8901904761905,25800.0,345.3392747252747,35100.0,126.915,12170.0,126.785,12600.0,135.3146853146853,165.83057071960295
2020-12-31,437.5,322.99,18150.0,313.6865,17150.0,123.3865,15475.0,132.97,202.07,18475.0,466.66,25550.0,336.7,168.415,22100.0,193.01,23700.0,920.1195,220.25,368.827,17142.5,336.0635,15132.5,141.7755,13700.0,165.0,15000.0,219.875,148.54947142857145,14735.0,631.5038000000001,28290.0,377.36041428571434,34150.0,,156.168,13992.5,157.97449999999998,14100.0,138.92857142857142,259.70368529411763,130.75,352.34000000000003,19875.0,334.365,19500.0,127.78,14137.5,127.77250000000001,14062.5,225.45454545454547,140.30763736263737,14187.5,492.1739285714286,24750.0,345.8783351648353,37875.0,133.785,13687.5,133.785,13687.5,134.96503496503493,164.12951612903225
