"SvyDate","Date","Dmgrph","DmgrphCode","Mean_crrnt","Pop","PopNmbr"
"2018-8-12_2018-9-11","2018-09-11",Dar'a,900223,47.8179,984057,470555
"2018-8-12_2018-9-11","2018-09-11",Al-Hasakeh,900218,41.0378,1010783,414803
"2018-8-12_2018-9-11","2018-09-11",Tartous,900231,29.4518,813169,239493
"2018-8-12_2018-9-11","2018-09-11",Hama,900225,27.4444,1538162,422138
"2018-8-12_2018-9-11","2018-09-11",Aleppo,900219,20.6,2852310,587574
"2018-8-13_2018-9-12","2018-09-12",Hama,900225,28.1993,1538162,433750
"2018-8-13_2018-9-12","2018-09-12",Aleppo,900219,20.6297,2852310,588422
"2018-8-13_2018-9-12","2018-09-12",Homs,900226,29.729,884578,262976
"2018-8-13_2018-9-12","2018-09-12",As-Sweida,900221,24.6443,363882,89676
"2018-8-13_2018-9-12","2018-09-12",Lattakia,900228,32.3777,1163263,376638
"2018-8-13_2018-9-12","2018-09-12",Damascus,900222,32.9637,1812164,597357
"2018-8-13_2018-9-12","2018-09-12",Rural Damascus,900230,29.6055,3177441,940697
"2018-8-13_2018-9-12","2018-09-12",Dar'a,900223,48.2617,984057,474923
"2018-8-13_2018-9-12","2018-09-12",Al-Hasakeh,900218,39.3723,1010783,397968
"2018-8-13_2018-9-12","2018-09-12",Tartous,900231,31.8392,813169,258906
"2018-8-14_2018-9-13","2018-09-13",Rural Damascus,900230,29.0946,3177441,924464
"2018-8-14_2018-9-13","2018-09-13",Dar'a,900223,45.6336,984057,449060
"2018-8-14_2018-9-13","2018-09-13",Al-Hasakeh,900218,38.1558,1010783,385672
"2018-8-14_2018-9-13","2018-09-13",Tartous,900231,30.0289,813169,244185
"2018-8-14_2018-9-13","2018-09-13",Hama,900225,28.7272,1538162,441871
"2018-8-14_2018-9-13","2018-09-13",Aleppo,900219,20.0318,2852310,571370
"2018-8-14_2018-9-13","2018-09-13",Homs,900226,30.4,884578,268911
"2018-8-14_2018-9-13","2018-09-13",As-Sweida,900221,24.4455,363882,88952
"2018-8-14_2018-9-13","2018-09-13",Lattakia,900228,33.6465,1163263,391396
"2018-8-14_2018-9-13","2018-09-13",Damascus,900222,34.2486,1812164,620640
