AdminStrata,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Cascades,Cascades,Centre,Centre,Centre-Est,Centre-Est,Centre-Nord,Centre-Nord,Centre-Ouest,Centre-Ouest,Centre-Sud,Centre-Sud,Est,Est,Hauts-Bassins,Hauts-Bassins,Nord,Nord,Plateau-Central,Plateau-Central,Sahel,Sahel,Sud-Ouest,Sud-Ouest
Food Group,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers,Exchange rate,Price cereals and tubers
2019-09-29,0.853890744101083,0.08344989854453391,0.853890744101083,0.3405514190293425,0.853890744101083,0.5138775965893381,0.853890744101083,0.21111491681477326,0.853890744101083,0.3687881632603136,0.853890744101083,0.21558646480946445,0.853890744101083,0.2633549211369945,0.853890744101083,0.23899319596135626,0.853890744101083,0.10497620239142498,0.853890744101083,0.3261238796800972,0.853890744101083,0.26103272199628846,0.853890744101083,0.600607209128991,0.853890744101083,0.2669173213328775
2019-09-30,0.8551557151474805,0.08389740784009085,0.8551557151474805,0.34162771565077793,0.8551557151474805,0.5133129938867205,0.8551557151474805,0.2107900758417411,0.8551557151474805,0.3677100418134835,0.8551557151474805,0.21524778782174694,0.8551557151474805,0.26372926934381746,0.8551557151474805,0.23851057858383723,0.8551557151474805,0.10535195935980522,0.8551557151474805,0.32592494099063474,0.8551557151474805,0.26100646929893895,0.8551557151474805,0.5995946704110082,0.8551557151474805,0.26557821100973183
2019-10-01,0.8558004249781528,0.08381660179374051,0.8558004249781528,0.34235329375159107,0.8558004249781528,0.512275358649062,0.8558004249781528,0.20992645794856987,0.8558004249781528,0.3666213588109125,0.8558004249781528,0.2147973749570215,0.8558004249781528,0.26346023564310367,0.8558004249781528,0.23720188117956859,0.8558004249781528,0.10538512711851541,0.8558004249781528,0.3254635997954149,0.8558004249781528,0.26054824874032007,0.8558004249781528,0.5976552298447764,0.8558004249781528,0.26433106557365954
2019-10-02,0.8564451348088252,0.08373579574739017,0.8564451348088252,0.34307887185240427,0.8564451348088252,0.5112377234114035,0.8564451348088252,0.20906284005539866,0.8564451348088252,0.3655326758083416,0.8564451348088252,0.21434696209229603,0.8564451348088252,0.26319120194238993,0.8564451348088252,0.23589318377529991,0.8564451348088252,0.10541829487722561,0.8564451348088252,0.32500225860019505,0.8564451348088252,0.2600900281817012,0.8564451348088252,0.5957157892785444,0.8564451348088252,0.26308392013758725
2019-10-03,0.8570898446394976,0.08365498970103981,0.8570898446394976,0.34380444995321746,0.8570898446394976,0.5102000881737451,0.8570898446394976,0.20819922216222744,0.8570898446394976,0.36444399280577067,0.8570898446394976,0.21389654922757062,0.8570898446394976,0.26292216824167614,0.8570898446394976,0.23458448637103121,0.8570898446394976,0.10545146263593581,0.8570898446394976,0.32454091740497526,0.8570898446394976,0.25963180762308224,0.8570898446394976,0.5937763487123124,0.8570898446394976,0.26183677470151495
2019-10-04,0.85773455447017,0.08357418365468947,0.85773455447017,0.3445300280540306,0.85773455447017,0.5091624529360865,0.85773455447017,0.20733560426905623,0.85773455447017,0.36335530980319974,0.85773455447017,0.21344613636284512,0.85773455447017,0.26265313454096234,0.85773455447017,0.23327578896676254,0.85773455447017,0.10548463039464599,0.85773455447017,0.3240795762097554,0.85773455447017,0.2591735870644633,0.85773455447017,0.5918369081460805,0.85773455447017,0.26058962926544266
2019-10-05,0.8583792643008424,0.0834933776083391,0.8583792643008424,0.3452556061548438,0.8583792643008424,0.508124817698428,0.8583792643008424,0.20647198637588504,0.8583792643008424,0.36226662680062877,0.8583792643008424,0.2129957234981197,0.8583792643008424,0.2623841008402486,0.8583792643008424,0.23196709156249387,0.8583792643008424,0.10551779815335618,0.8583792643008424,0.32361823501453557,0.8583792643008424,0.2587153665058444,0.8583792643008424,0.5898974675798485,0.8583792643008424,0.25934248382937036
2019-10-06,0.8590239741315148,0.08341257156198875,0.8590239741315148,0.34598118425565694,0.8590239741315148,0.5070871824607696,0.8590239741315148,0.20560836848271385,0.8590239741315148,0.3611779437980579,0.8590239741315148,0.2125453106333943,0.8590239741315148,0.2621150671395348,0.8590239741315148,0.2306583941582252,0.8590239741315148,0.10555096591206638,0.8590239741315148,0.3231568938193158,0.8590239741315148,0.2582571459472255,0.8590239741315148,0.5879580270136167,0.8590239741315148,0.25809533839329807
2019-10-07,0.8596686839621872,0.0833317655156384,0.8596686839621872,0.34670676235647013,0.8596686839621872,0.506049547223111,0.8596686839621872,0.2047447505895426,0.8596686839621872,0.360089260795487,0.8596686839621872,0.21209489776866883,0.8596686839621872,0.261846033438821,0.8596686839621872,0.22934969675395656,0.8596686839621872,0.10558413367077657,0.8596686839621872,0.32269555262409594,0.8596686839621872,0.25779892538860655,0.8596686839621872,0.5860185864473847,0.8596686839621872,0.2568481929572258
2019-10-08,0.8603133937928595,0.08325095946928804,0.8603133937928595,0.34743234045728333,0.8603133937928595,0.5050119119854525,0.8603133937928595,0.2038811326963714,0.8603133937928595,0.359000577792916,0.8603133937928595,0.2116444849039434,0.8603133937928595,0.2615769997381073,0.8603133937928595,0.22804099934968788,0.8603133937928595,0.10561730142948678,0.8603133937928595,0.32223421142887615,0.8603133937928595,0.25734070482998767,0.8603133937928595,0.5840791458811526,0.8603133937928595,0.2556010475211535
