AdminStrata,Abia,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,Federal Capital Territory,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nasarawa,Niger,Ogun,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara
2016-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-31,0.0,33.8,0.0,0.0,0.0,2.0,34.0,216.66666666666666,1.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,4.5,0.0,0.0,1.3333333333333333,27.799999999999997,0.0,4.0,2.0,0.0,1.0,24.75,24.0,1.0,43.73333333333333,0.0,3.0
2018-02-28,0.0,58.0,3.0,0.0,0.0,2.0,13.5,135.0,3.0,5.5,7.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,4.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,5.0,12.0,41.0
2018-03-31,0.0,1.0,2.0,0.0,4.0,0.0,36.5,48.0,19.0,8.0,20.0,7.5,0.0,5.0,1.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,93.0,0.0,0.0,21.166666666666668,1.0,63.0
2018-04-30,14.0,5.0,0.0,2.0,0.0,0.0,134.16666666666669,139.5,5.5,7.0,1.0,4.0,1.0,3.0,5.0,0.0,0.0,0.0,17.333333333333332,1.0,0.0,0.0,26.0,1.0,16.0,63.6,1.0,5.0,1.0,0.0,2.0,9.0,8.0,0.0,61.0,0.0,56.5
2018-05-31,12.0,52.5,30.0,1.0,0.0,10.0,29.583333333333332,80.25,12.0,5.0,0.0,0.0,3.0,2.0,0.0,1.0,3.0,0.0,81.0,0.0,0.0,0.0,12.0,0.0,6.0,31.333333333333332,1.0,1.0,0.0,0.0,1.0,13.333333333333334,4.0,3.0,38.5,0.0,52.666666666666664
2018-06-30,3.0,23.0,0.0,0.0,0.0,14.0,43.0,167.6,7.0,4.0,11.0,0.0,4.0,6.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,5.0,1.0,1.0,34.0,0.0,1.0,5.0,0.0,5.0,46.833333333333336,1.0,8.0,10.0,0.0,59.0
2018-07-31,0.0,14.733333333333334,8.0,3.0,0.0,0.0,3.0,165.0,0.0,1.0,0.0,4.0,1.0,0.0,8.0,1.0,2.0,0.0,12.5,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,5.0,4.0,25.0,10.0,68.0
2018-08-31,38.0,15.0,1.0,0.0,0.0,3.0,23.5,177.0,0.0,7.5,0.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,10.0,0.0,34.333333333333336
2018-09-30,10.0,3.6,0.0,1.0,0.0,0.0,17.0,115.83333333333334,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,1.0,1.0,6.0
2018-10-31,0.0,5.5,3.0,0.0,0.0,0.0,3.0,189.5,0.0,2.0,5.0,1.0,1.0,0.0,42.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0,15.0,0.0,0.0
2018-11-30,0.0,3.0,0.0,1.0,4.0,0.0,13.0,132.33333333333334,15.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,58.333333333333336
2018-12-31,0.0,0.0,0.0,2.0,0.0,0.0,7.0,105.83333333333334,8.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,0.0,0.0,1.0,0.0,14.0,10.0,0.0,0.0,42.0,73.5
2019-01-31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,169.40476190476193,0.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,18.0,0.0,2.0,2.0,4.0,3.0,0.0,1.0,2.0,0.0,0.0,4.0,4.0,8.333333333333334,0.0,32.0,68.0
2019-02-28,0.0,13.833333333333332,3.0,0.0,0.0,3.0,18.0,113.33333333333334,4.0,16.0,2.0,8.0,1.0,2.0,0.0,0.0,4.0,0.0,36.25,5.0,10.333333333333332,0.0,1.0,2.0,2.0,0.0,0.29411764705882354,2.0,1.0,0.0,2.0,0.0,5.666666666666666,5.333333333333333,7.0,3.0,82.84444444444445
2019-03-31,0.0,18.0,6.266666666666666,2.0,1.0,4.0,33.0,112.0,4.0,4.25,3.0,6.0,0.0,3.0,1.0,0.0,11.0,0.0,74.5,0.0,0.5,0.0,24.0,1.0,8.0,8.0,0.0,5.0,2.0,0.0,2.5,0.0,6.5,4.0,14.0,0.0,133.16666666666666
2019-04-30,0.0,4.75,4.0,7.0,0.0,2.0,36.0,151.25,8.0,5.0,11.0,0.0,2.0,0.0,1.0,10.0,0.0,2.0,44.0,0.0,59.83333333333333,0.0,6.0,0.0,5.0,20.0,10.0,11.0,0.0,0.0,0.0,2.5,15.5,5.0,19.0,0.0,99.66666666666666
2019-05-31,0.0,6.666666666666667,8.0,11.0,3.0,0.0,6.0,116.5,0.0,10.0,4.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,30.5,0.0,7.0,0.0,2.0,3.0,0.0,6.0,0.0,0.0,0.0,11.0,14.0,2.0,12.25,0.0,135.5
2019-06-30,1.0,12.0,3.0,1.0,1.0,0.0,30.0,204.5,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,7.2,0.0,3.5,0.0,4.5,0.0,15.5,0.0,0.0,1.0,0.0,5.0,4.0,6.25,41.166666666666664,12.0,91.25
2019-07-31,0.0,1.0,2.0,0.0,0.0,6.0,8.0,153.5,7.0,1.0,0.0,0.0,2.0,0.0,10.0,0.0,1.0,0.0,22.5,0.0,43.16666666666667,0.0,0.0,0.0,11.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,5.0,9.666666666666666,15.5,0.0,33.0
2019-08-31,1.0,0.0,1.0,3.0,0.0,0.0,13.0,113.5,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,5.0,0.0,18.0,0.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,5.0,0.0,0.0,7.0,22.0,0.0,9.0,0.0,1.0
2019-09-30,0.0,1.0,2.0,3.0,2.5,0.0,0.0,113.0,1.0,1.0,9.0,7.0,2.0,0.0,3.0,3.0,1.0,1.0,10.5,0.0,9.333333333333334,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,51.0,0.0,0.0
2019-10-31,0.0,1.0,2.0,0.0,0.0,0.0,0.0,109.16666666666667,7.0,4.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,8.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,4.0,1.0,13.5,0.0,0.0,68.5
2019-11-30,0.0,11.0,3.0,3.0,0.0,24.0,3.0,150.0,1.0,10.0,1.0,5.5,0.0,0.0,1.0,0.0,3.0,0.0,12.0,0.0,2.0,0.0,1.75,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,12.0,10.0,23.0
2019-12-31,0.0,2.0,0.0,4.0,0.0,6.0,0.0,148.10714285714286,9.0,0.0,0.0,3.5,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.25,2.0,2.0,0.0,2.0,0.0,13.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,32.0,1.0
2020-01-31,2.0,5.666666666666666,2.0,3.0,0.0,11.0,4.0,211.83333333333334,0.0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,0.5,0.0,19.166666666666668,0.0,4.5,0.0,17.5,1.0,7.0,8.0,23.0,1.0,4.0,2.0,5.0,32.66666666666667,5.0,0.0,5.0,4.0,8.0
2020-02-29,2.0,7.0,0.0,0.0,0.0,7.0,5.0,87.33333333333334,0.0,15.0,2.0,26.0,0.0,0.0,1.0,0.0,1.0,1.0,37.0,0.0,40.5,0.0,3.0,0.0,6.0,0.0,12.0,5.0,2.0,0.0,2.0,10.0,5.0,0.0,4.0,0.0,5.0
2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,4.0,55.5,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,14.75,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0
2020-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
