AdminStrata,Abyan,Aden,Al Bayda,Al Dhale'e,Al Hudaydah,Al Jawf,Al Maharah,Al Mahwit,Amanat Al Asimah,Amran,Dhamar,Hadramaut,Hajjah,Ibb,Lahj,Marib,Raymah,Sa'ada,Sana'a,Shabwah,Taizz
2019-10-09,116.78076459343791,160.3830339292507,87.70187392614561,102.8285457639063,93.67345553358751,84.42554677068847,100.89592702178564,78.66750868921022,57.26944155867249,70.01531827600684,79.21788897832812,103.359228177196,84.09766475182087,92.7044133592848,135.79480763523188,77.05985486612731,90.00208525285461,74.83736444351968,62.603846392400975,98.26711230106281,116.0904462030764
2019-10-10,117.219730941704,161.68900353277598,87.3735653267649,103.041083099907,93.6395236195795,84.2190763518218,101.105994944023,78.289580565935,57.1618201785799,69.81045022876701,79.08941465343241,103.6114860061223,84.2235031861476,92.7949642143747,136.74919376511698,76.8273305084746,89.8395818638887,74.95902341169851,62.279097451436606,98.08418403020559,116.57280342185
2019-10-11,117.8444047903344,162.08892670891018,87.67136947461772,103.7925636421788,94.25290049559143,84.52995669952222,101.24005503080559,78.6687087510646,57.46571843855679,70.07895569048983,79.46934676878185,104.17386993069258,84.56550523380642,93.26411228327383,137.5464848801317,77.24235609090451,90.1837835691809,75.4571024773748,62.620523485376786,98.35164095979823,116.9462335413569
2019-10-12,118.4690786389648,162.4888498850444,87.96917362247052,104.5440441844506,94.86627737160335,84.84083704722262,101.3741151175882,79.04783693619422,57.76961669853368,70.34746115221267,79.84927888413127,104.73625385526285,84.90750728146524,93.73326035217296,138.3437759951464,77.6573816733344,90.5279852744731,75.95518154305111,62.96194951931696,98.61909788939087,117.3196636608638
2019-10-13,119.0937524875952,162.8887730611786,88.26697777032334,105.2955247267224,95.47965424761526,85.15171739492303,101.5081752043708,79.42696512132383,58.07351495851057,70.6159666139355,80.2292109994807,105.29863777983311,85.24950932912405,94.20240842107209,139.1410671101611,78.07240725576429,90.8721869797653,76.4532606087274,63.30337555325714,98.88655481898351,117.6930937803707
2019-10-14,119.7184263362256,163.2886962373128,88.56478191817614,106.0470052689942,96.09303112362718,85.46259774262344,101.6422352911534,79.80609330645343,58.37741321848746,70.88447207565832,80.60914311483013,105.86102170440338,85.59151137678288,94.67155648997122,139.9383582251758,78.4874328381942,91.2163886850575,76.95133967440371,63.64480158719732,99.15401174857615,118.0665238998776
2019-10-15,120.343100184856,163.688619413447,88.86258606602895,106.798485811266,96.70640799963911,85.77347809032386,101.77629537793601,80.18522149158304,58.68131147846435,71.15297753738116,80.98907523017957,106.42340562897365,85.9335134244417,95.14070455887034,140.7356493401905,78.9024584206241,91.5605903903497,77.44941874008,63.9862276211375,99.4214686781688,118.4399540193845
2019-10-16,120.96777403348639,164.0885425895812,89.16039021388177,107.54996635353781,97.31978487565102,86.08435843802427,101.9103554647186,80.56434967671265,58.98520973844124,71.42148299910399,81.36900734552898,106.98578955354392,86.27551547210052,95.60985262776947,141.5329404552052,79.31748400305399,91.90479209564191,77.9474978057563,64.32765365507768,99.68892560776143,118.81338413889141
2019-10-17,121.5924478821168,164.4884657657154,89.45819436173457,108.3014468958096,97.93316175166294,86.39523878572467,102.0444155515012,80.94347786184227,59.28910799841813,71.68998846082681,81.74893946087842,107.5481734781142,86.61751751975935,96.0790006966686,142.3302315702199,79.73250958548388,92.2489938009341,78.4455768714326,64.66907968901785,99.95638253735407,119.1868142583983
2019-10-18,122.2171217307472,164.8883889418496,89.75599850958739,109.05292743808141,98.54653862767486,86.70611913342509,102.1784756382838,81.32260604697187,59.59300625839502,71.95849392254964,82.12887157622785,108.11055740268446,86.95951956741816,96.54814876556773,143.1275226852346,80.14753516791379,92.59319550622631,78.9436559371089,65.01050572295803,100.22383946694671,119.5602443779052
