AdminStrata,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Adamawa,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,Central,East,East,East,East,East,East,East,East,East,East,East,East,East,East,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Far-North,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,Littoral,North,North,North,North,North,North,North,North,North,North,North,North,North,North,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,North-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,South-West,West,West,West,West,West,West,West,West,West,West,West,West,West,West
Indicator,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Code,FCG,Fatalities,Lat,Lon,NDVI,NDVI Anomaly,Population,Price cereals and tubers,Rainfalls (mm),Ramadan,rCSI
2018-01-20,100.747458640622,64.8870795988996,13,,,6.84854237002071,13.139483661093431,0.477195,104.701025293323,1295480,,0.042,,,97.3834349793429,113.800323226476,14,,,4.663677774212565,11.822515850165402,0.6603654999999999,99.10871766567541,4672234,,1.284,,,78.91615979460221,111.789411462749,15,,,3.7971828883688867,14.22083036504301,0.6921599,99.695617749949,1108419,,1.963,,,100.0,86.8227134807109,16,,,11.080113976498957,14.532204325581569,0.2652058,94.1339951261468,4545866,,0.0,,,86.82137229623258,113.326010493474,17,,,4.257462441611278,10.11535985420615,0.6524401999999999,96.0249924096205,3845583,,3.0860000000000003,,,100.0,50.493669760132796,18,,,8.487080600476824,13.940344601551207,0.3321542,98.7791736553166,2825922,,0.0,,,104.18118466899,64.3543499641158,19,,,6.365679567736153,10.369355005546211,0.4971313,98.0304021990808,2221973,,0.496,,,75.7885906040268,87.1830086480165,21,,,5.200998269973184,9.29272843176402,0.6748705,98.111656122855,1837059,,2.778,,,107.75727757277599,96.36350887928509,22,,,5.4980258531877855,10.649170376993524,0.5176907999999999,100.164974050552,2066677,,1.4509999999999998,,
2018-01-21,,,13,,,6.84854237002071,13.139483661093431,,,1295480,,,,,,,14,,,4.663677774212565,11.822515850165402,,,4672234,,,,,,,15,,,3.7971828883688867,14.22083036504301,,,1108419,,,,,,,16,,,11.080113976498957,14.532204325581569,,,4545866,,,,,,,17,,,4.257462441611278,10.11535985420615,,,3845583,,,,,,,18,,,8.487080600476824,13.940344601551207,,,2825922,,,,,,,19,,,6.365679567736153,10.369355005546211,,,2221973,,,,,,,21,,,5.200998269973184,9.29272843176402,,,1837059,,,,,,,22,,,5.4980258531877855,10.649170376993524,,,2066677,,,,
2018-01-22,,,13,,,6.84854237002071,13.139483661093431,,,1295480,,,,,,,14,,,4.663677774212565,11.822515850165402,,,4672234,,,,,,,15,,,3.7971828883688867,14.22083036504301,,,1108419,,,,,,,16,,,11.080113976498957,14.532204325581569,,,4545866,,,,,,,17,,,4.257462441611278,10.11535985420615,,,3845583,,,,,,,18,,,8.487080600476824,13.940344601551207,,,2825922,,,,,,,19,,,6.365679567736153,10.369355005546211,,,2221973,,,,,,,21,,,5.200998269973184,9.29272843176402,,,1837059,,,,,,,22,,,5.4980258531877855,10.649170376993524,,,2066677,,,,
2018-01-23,,,13,,,6.84854237002071,13.139483661093431,,,1295480,,,,,,,14,,,4.663677774212565,11.822515850165402,,,4672234,,,,,,,15,,,3.7971828883688867,14.22083036504301,,,1108419,,,,,,,16,,,11.080113976498957,14.532204325581569,,,4545866,,,,,,,17,,,4.257462441611278,10.11535985420615,,,3845583,,,,,,,18,,,8.487080600476824,13.940344601551207,,,2825922,,,,,,,19,,,6.365679567736153,10.369355005546211,,,2221973,,,,,,,21,,,5.200998269973184,9.29272843176402,,,1837059,,,,,,,22,,,5.4980258531877855,10.649170376993524,,,2066677,,,,
2018-01-24,,,13,,,6.84854237002071,13.139483661093431,,,1295480,,,,,,,14,,,4.663677774212565,11.822515850165402,,,4672234,,,,,,,15,,,3.7971828883688867,14.22083036504301,,,1108419,,,,,,,16,,,11.080113976498957,14.532204325581569,,,4545866,,,,,,,17,,,4.257462441611278,10.11535985420615,,,3845583,,,,,,,18,,,8.487080600476824,13.940344601551207,,,2825922,,,,,,,19,,,6.365679567736153,10.369355005546211,,,2221973,,,,,,,21,,,5.200998269973184,9.29272843176402,,,1837059,,,,,,,22,,,5.4980258531877855,10.649170376993524,,,2066677,,,,
2018-01-25,,,13,,,6.84854237002071,13.139483661093431,,,1295480,,,,,,,14,,,4.663677774212565,11.822515850165402,,,4672234,,,,,,,15,,,3.7971828883688867,14.22083036504301,,,1108419,,,,,,,16,,,11.080113976498957,14.532204325581569,,,4545866,,,,,,,17,,,4.257462441611278,10.11535985420615,,,3845583,,,,,,,18,,,8.487080600476824,13.940344601551207,,,2825922,,,,,,,19,,,6.365679567736153,10.369355005546211,,,2221973,,,,,,,21,,,5.200998269973184,9.29272843176402,,,1837059,,,,,,,22,,,5.4980258531877855,10.649170376993524,,,2066677,,,,
2018-01-26,,,13,,,6.84854237002071,13.139483661093431,,,1295480,,,,,,,14,,,4.663677774212565,11.822515850165402,,,4672234,,,,,,,15,,,3.7971828883688867,14.22083036504301,,,1108419,,,,,,,16,,,11.080113976498957,14.532204325581569,,,4545866,,,,,,,17,,,4.257462441611278,10.11535985420615,,,3845583,,,,,,,18,,,8.487080600476824,13.940344601551207,,,2825922,,,,,,,19,,,6.365679567736153,10.369355005546211,,,2221973,,,,,,,21,,,5.200998269973184,9.29272843176402,,,1837059,,,,,,,22,,,5.4980258531877855,10.649170376993524,,,2066677,,,,
2018-01-27,,,13,,,6.84854237002071,13.139483661093431,,,1295480,,,,,,,14,,,4.663677774212565,11.822515850165402,,,4672234,,,,,,,15,,,3.7971828883688867,14.22083036504301,,,1108419,,,,,,,16,,,11.080113976498957,14.532204325581569,,,4545866,,,,,,,17,,,4.257462441611278,10.11535985420615,,,3845583,,,,,,,18,,,8.487080600476824,13.940344601551207,,,2825922,,,,,,,19,,,6.365679567736153,10.369355005546211,,,2221973,,,,,,,21,,,5.200998269973184,9.29272843176402,,,1837059,,,,,,,22,,,5.4980258531877855,10.649170376993524,,,2066677,,,,
2018-01-28,,,13,,,6.84854237002071,13.139483661093431,,,1295480,,,,,,,14,,,4.663677774212565,11.822515850165402,,,4672234,,,,,,,15,,,3.7971828883688867,14.22083036504301,,,1108419,,,,,,,16,,,11.080113976498957,14.532204325581569,,,4545866,,,,,,,17,,,4.257462441611278,10.11535985420615,,,3845583,,,,,,,18,,,8.487080600476824,13.940344601551207,,,2825922,,,,,,,19,,,6.365679567736153,10.369355005546211,,,2221973,,,,,,,21,,,5.200998269973184,9.29272843176402,,,1837059,,,,,,,22,,,5.4980258531877855,10.649170376993524,,,2066677,,,,
2018-01-29,,,13,,,6.84854237002071,13.139483661093431,,,1295480,,,,,,,14,,,4.663677774212565,11.822515850165402,,,4672234,,,,,,,15,,,3.7971828883688867,14.22083036504301,,,1108419,,,,,,,16,,,11.080113976498957,14.532204325581569,,,4545866,,,,,,,17,,,4.257462441611278,10.11535985420615,,,3845583,,,,,,,18,,,8.487080600476824,13.940344601551207,,,2825922,,,,,,,19,,,6.365679567736153,10.369355005546211,,,2221973,,,,,,,21,,,5.200998269973184,9.29272843176402,,,1837059,,,,,,,22,,,5.4980258531877855,10.649170376993524,,,2066677,,,,
