AdminStrata,Bamako,Bamako,Gao-Menaka,Gao-Menaka,Kayes,Kayes,Kidal,Kidal,Koulikoro,Koulikoro,Mopti,Mopti,Segou,Segou,Sikasso,Sikasso,Tombouctou-Taoudeni,Tombouctou-Taoudeni
Indicator,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly
2020-08-30,0.4207968683333333,95.87974535087105,0.17347843833333335,112.86893785788251,0.6514684583333332,103.06262092786565,0.11311716166666665,105.3715684920471,0.5731764216666667,102.44439630997812,0.37484102499999994,112.66011740268537,0.44650947999999996,104.93884712337847,0.6801253966666665,101.49071610997095,0.12706360166666666,106.01224436382913
2020-08-31,0.422895128,95.7759455889669,0.176098823,113.49303173183715,0.6566999189999998,103.08691546239332,0.11349031599999998,105.5314239074069,0.578869732,102.60724034108875,0.38040805699999997,112.93825647169761,0.4517334850000001,105.02930022133611,0.68277072,101.54166621041999,0.127905585,106.25169163568911
2020-09-01,0.4248535726666666,95.67386270894445,0.17865602666666666,114.10286511274148,0.6616153033333333,103.10575752967559,0.11386614966666665,105.69299601244454,0.5842436753333333,102.75763326726313,0.3857443773333333,113.20451221269394,0.4567440833333334,105.11854148809954,0.6852480096666667,101.58741086696244,0.12871599533333333,106.48001725896941
2020-09-02,0.4266722023333333,95.57349671080365,0.1811500493333333,114.69843800059554,0.6662146113333333,103.11914712971237,0.11424466266666666,105.85628480716001,0.5892982516666667,102.89557508850132,0.39084998600000004,113.45888462567432,0.461541275,105.20657092366879,0.6875572656666665,101.62795007959832,0.12949483266666667,106.69722123367004
2020-09-03,0.428351017,95.47484759454454,0.183580891,115.27975039539933,0.6704978429999999,103.12708426250376,0.11462585499999997,106.02129029155326,0.5940334610000001,103.02106580480323,0.3957248829999999,113.70137371063878,0.46612506000000004,105.29338852804383,0.6896984879999999,101.66328384832761,0.130242097,106.903303559791
2020-09-04,0.4298900166666667,95.37791536016708,0.18594855166666666,115.84680229715285,0.6744649983333333,103.12956892804972,0.11500972666666666,106.18801246562433,0.5984493033333335,103.13410541616895,0.40036906833333336,113.9319794675873,0.4704954383333334,105.3789943012247,0.6916716766666666,101.69341217315032,0.13095778833333332,107.0982642373323
2020-09-05,0.43128920133333337,95.28270000767131,0.18825303133333332,116.39959370585606,0.6781160773333332,103.12660112635022,0.11539627766666664,106.3564513293732,0.6025457786666668,103.23469392259838,0.4047825419999999,114.15070189651989,0.47465241,105.46338824321133,0.6934768316666667,101.71833505406646,0.13164190666666667,107.28210326629393
2020-09-06,0.43254857100000005,95.18920153705719,0.19049433,116.93812462150899,0.6814510799999999,103.11818085740532,0.11578550799999997,106.52660688279992,0.6063228869999999,103.32283132409161,0.4089653039999999,114.35754099743657,0.478595975,105.54657035400376,0.6951139529999999,101.73805249107603,0.132294452,107.4548206466759
2020-09-07,0.4336681256666667,95.09741994832474,0.1926724476666667,117.46239504411167,0.6844700063333332,103.10430812121497,0.11617741766666664,106.69847912590444,0.6097806283333332,103.3985176206486,0.4129173543333333,114.5524967703373,0.4823261333333334,105.62854063360201,0.6965830406666667,101.75256448417898,0.13291542433333334,107.6164163784782
2020-09-08,0.43464786533333327,95.00735524147393,0.1947873843333333,117.97240497366406,0.6871728563333332,103.08498291777921,0.11657200666666666,106.87206805868679,0.6129190026666668,103.46175281226934,0.416638693,114.73556921522211,0.485842885,105.70929908200607,0.6978840946666666,101.76187103337539,0.13350482366666666,107.76689046170084
2020-09-09,0.43548779,94.9190074165048,0.19683913999999997,118.46815441016615,0.6895596299999999,103.06020524709801,0.11696927499999998,107.04737368114694,0.6157380100000001,103.51253689895384,0.42012932000000003,114.90675833209099,0.48914623,105.7888456992159,0.6990171149999999,101.76597213866519,0.13406265,107.90624289634381
2020-09-10,0.4363046033333334,94.83493615166238,0.19885873099999998,118.9571551035055,0.6918676643333334,103.03576000123755,0.11737112833333332,107.22515665286704,0.618465652,103.56118625217799,0.4235306629999999,115.0720412264751,0.49239425899999995,105.86960299636256,0.7001083456666667,101.76912097980913,0.13460479299999997,108.04024644822292
2020-09-11,0.437066676,94.75736850278197,0.20079775033333333,119.43595629070977,0.6940631753333334,103.01693345926186,0.117784772,107.4088223370977,0.6210477936666667,103.61212739659081,0.4267530923333333,115.23269353632143,0.4955527213333333,105.95705242623008,0.7011504943333332,101.77445385057284,0.13511906733333331,108.17034372439875
2020-09-12,0.437774008,94.68630446986353,0.202656198,119.90455797177896,0.6961461630000001,103.00372562117099,0.118210206,107.59837073383893,0.6234844350000001,103.66536033219226,0.42979660799999997,115.38871526163,0.4986216169999999,106.05119398881843,0.7021435609999999,101.78197075095622,0.135605473,108.29653472487138
2020-09-13,0.43842659933333344,94.62174405290712,0.204434074,120.36296014671309,0.6981166273333334,102.9961364869649,0.11864743033333332,107.79380184309072,0.625775576,103.7208850589824,0.43266121,115.54010640240078,0.5016009459999999,106.15202768412763,0.7030875456666664,101.79167168095937,0.13606400999999999,108.41881944964074
2020-09-14,0.43902445,94.56368725191268,0.20613137833333334,120.81116281551212,0.6999745683333333,102.99416605664364,0.119096445,107.99511566485306,0.6279212166666667,103.7787015769612,0.43534689833333323,115.68686695863377,0.5044907083333332,106.25955351215768,0.7039824483333331,101.80355664058226,0.1364946783333333,108.53719789870685
2020-09-15,0.43956756,94.51213406688025,0.20774811099999999,121.24916597817615,0.7017199860000001,102.99781433020715,0.11955724999999999,108.20231219912596,0.6299213570000001,103.83880988612869,0.43785367299999994,115.82899693032897,0.5072909039999999,106.3737714729086,0.704828269,101.8176256298249,0.136897478,108.65167007206973
2020-09-16,0.4400559293333333,94.46708449780982,0.209284272,121.67696963470506,0.7033528803333334,103.00708130765545,0.12002984533333333,108.41539144590942,0.631775997,103.9012099864848,0.440181534,115.9664963174864,0.510001533,106.49468156638038,0.7056250076666666,101.83387864868723,0.13727240899999998,108.76223596972936
2020-09-17,0.440489558,94.42853854470135,0.2107398613333333,122.0945737850989,0.7048732513333335,103.02196698898857,0.120514231,108.63435340520344,0.6334851366666668,103.96590187802958,0.44233048133333325,116.09936512010607,0.5126225953333332,106.62228379257297,0.7063726643333332,101.85231569716933,0.13761947133333333,108.86889559168576
2020-09-18,0.44086844599999997,94.3964962075549,0.21211487899999998,122.50197842935769,0.706281099,103.04247137420649,0.12101040699999999,108.85919807700803,0.635048776,104.03288556076303,0.444300515,116.22760333818793,0.5151540909999999,106.75657815148647,0.7070712389999999,101.87293677527117,0.137938665,108.9716489379389
2020-09-19,0.4411925933333333,94.37095748637041,0.213409325,122.89918356748142,0.7075764233333335,103.06859446330918,0.12151837333333333,109.08992546132318,0.636466915,104.10216103468515,0.4460916349999999,116.35121097173202,0.5175960199999998,106.89756464312079,0.7077207316666667,101.89574188299275,0.13822999,109.07049600848879
2020-09-20,0.4414794612121212,94.35011491266098,0.21463650227272732,123.28948821935138,0.7088087281818182,103.1006265385543,0.12203489333333331,109.32460522032163,0.6378003486363638,104.17647824176446,0.44774652560606065,116.47305924820324,0.5199835496969695,107.04544621646976,0.7083511198484849,101.92195610412297,0.1385022403030303,109.16929450700216
2020-09-21,0.44170686430303036,94.33273586328953,0.21574764281818182,123.65583793833035,0.7099316525454545,103.13756818541393,0.12253972166666664,109.5536217092301,0.6389963482424244,104.25363718960912,0.4492204364848485,116.59178774110119,0.5222326234242423,107.19615818838768,0.7089347788787879,101.95057799116067,0.13874603357575757,109.26418367210432
2020-09-22,0.44187480260606066,94.31882033825609,0.21674274663636364,123.99823272441833,0.7109451964242425,103.17941940388805,0.12303285833333334,109.77697492804856,0.6400549138181818,104.33363787821915,0.4505133676363637,116.70739645042589,0.5243432411818181,107.34970055887462,0.7094717087575758,101.98160754410588,0.13896136981818183,109.35516350379527
2020-09-23,0.44198327612121224,94.30836833756062,0.2176218137272727,124.31667257761525,0.711849359818182,103.22618019397667,0.12351430333333333,109.99466487677705,0.6409760453636364,104.41648030759454,0.45162531906060605,116.81988537617735,0.5263154029696969,107.50607332793052,0.7099619094848484,102.01504476295857,0.139148249030303,109.44223400207501
2020-09-24,0.44203228484848484,94.3013798612032,0.2183848440909091,124.61115749792118,0.7126441427272728,103.27785055567983,0.12398405666666665,110.20669155541556,0.6417597428787879,104.50216447773528,0.45255629075757575,116.92925451835558,0.5281491087878787,107.6652764955554,0.7104053810606058,102.05088964771872,0.1393066712121212,109.52539516694355
2020-09-25,0.4420218287878788,94.29785490918377,0.21903183772727272,124.88168748533609,0.7133295451515153,103.33443048899746,0.12444211833333331,110.41305496396406,0.6424060063636363,104.59069038864139,0.45330628272727264,117.03550387696055,0.5298443586363636,107.8273100617493,0.7108021234848484,102.08914219838636,0.13943663636363635,109.60464699840085
2020-09-26,0.441951907939394,94.29779348150234,0.21956279463636363,125.12826253986,0.7139055670909091,103.39591999392961,0.12488848833333331,110.61375510242259,0.6429148358181818,104.68205804031284,0.45387529496969686,117.13863345199228,0.5314011525151515,107.99217402651213,0.7111521367575757,102.12980241496147,0.13953814448484844,109.67998949644698
2020-09-27,0.4418225223030303,94.30119557815894,0.21997771481818182,125.35088266149288,0.7143722085454546,103.46231907047627,0.12532316666666665,110.80879197079112,0.6432862312424241,104.77626743274966,0.4542633274848484,117.23864324345075,0.5328194904242424,108.15986838984395,0.7114554208787879,102.1728702974441,0.13961119557575757,109.75142266108188
2020-09-28,0.4416336718787878,94.30806119915351,0.2202765982727273,125.54954785023476,0.7147294695151516,103.53362771863743,0.12574615333333333,110.99816556906967,0.6435201926363637,104.87331856595183,0.4544703802727271,117.335533251336,0.5340993723636364,108.33039315174477,0.7117119758484848,102.21834584583421,0.13965578963636363,109.81894649230556
2020-09-29,0.4413853566666666,94.3183903444861,0.220459445,125.72425810608557,0.71497735,103.60984593841309,0.1261574483333333,111.18187589725822,0.64361672,104.97321143991938,0.4544964533333333,117.42930347564797,0.5352407983333334,108.50374831221458,0.7119218016666667,102.26622906013179,0.13967192666666667,109.88256099011802
2020-09-30,0.4410775766666667,94.3321830141567,0.22052625500000003,125.87501342904541,0.71511585,103.69097372980326,0.12655705166666664,111.3599229553568,0.6435758133333332,105.07594605465225,0.4543415466666666,117.51995391638671,0.5362437683333333,108.67993387125335,0.7120848983333333,102.31651994033685,0.13965960666666666,109.94226615451929
2020-10-01,0.44070379699999995,94.34717916055206,0.2204875076666667,126.00138789445076,0.7151487230000001,103.77675541408384,0.12693919933333334,111.52962392723586,0.6433958766666666,105.1806228615242,0.4540364563333333,117.60996144265886,0.5370957083333333,108.85739259215657,0.7121981786666667,102.3692866991753,0.13962166399999995,109.99719464058307
2020-10-02,0.4402640176666667,94.36337878367216,0.22034320300000002,126.10338150230163,0.7150759690000001,103.86719099125482,0.12730389133333334,111.69097881289547,0.64307691,105.28724186053516,0.4535811823333333,117.6993260544644,0.5377966183333334,109.03612447492416,0.7122616426666666,102.42452933664711,0.13955809866666663,110.04734644830937
2020-10-03,0.4397582386666667,94.38078188351703,0.22009334100000003,126.18099425259803,0.714897588,103.96228046131621,0.12765112766666667,111.84398761233554,0.6426189133333333,105.39580305168518,0.4529757246666667,117.78804775180336,0.5383464983333334,109.21612951955613,0.7122752903333331,102.48224785275232,0.13946891066666664,110.09272157769814
2020-10-04,0.43918646,94.39938846008664,0.2197379216666667,126.23422614533992,0.71461358,104.06202382426801,0.12798090833333334,111.98865032555614,0.6420218866666667,105.50630643497423,0.45222008333333336,117.8761265346757,0.5387453483333332,109.39740772605253,0.7122391216666665,102.54244224749087,0.1393541,110.13332002874947
2020-10-05,0.4385486816666667,94.41919851338103,0.219276945,126.26307718052733,0.7142239450000001,104.16642108011024,0.12829323333333334,112.12496695255726,0.64128583,105.6187520104023,0.4513142583333334,117.96356240308145,0.5389931683333333,109.57995909441333,0.7121531366666665,102.60511252086283,0.13921366666666665,110.16914180146328
2020-10-06,0.4378449036666667,94.44021204340018,0.218710411,126.26754735816026,0.7137286829999999,104.27547222884284,0.12858810266666665,112.25293749333885,0.6404107433333334,105.73313977796944,0.45025824966666667,118.05035535702063,0.5390899583333333,109.76378362463852,0.7120173353333332,102.67025867286812,0.13904761066666668,110.20018689583962
2020-10-07,0.43707512600000004,94.46242905014407,0.21803831966666667,126.24763667823872,0.7131277939999999,104.38917727046588,0.12886551633333332,112.37256194790098,0.6393966266666666,105.8494697376756,0.4490520573333334,118.13650539649322,0.5390357183333332,109.94888131672809,0.7118317176666664,102.73788070350682,0.138855932,110.22645531187844
2020-10-08,0.4362393486666667,94.48584953361275,0.217260671,126.20334514076266,0.7124212780000001,104.50753620497932,0.12912547433333335,112.48384031624359,0.63824348,105.9677418895208,0.4476956813333333,118.22201252149921,0.5388304483333333,110.13525217068205,0.7115962836666665,102.80797861277887,0.13863863066666668,110.24794704957978
2020-10-09,0.43533757166666665,94.51047349380616,0.216377465,126.13467274573216,0.711609135,104.6305490323832,0.12936797666666663,112.58677259836671,0.6369513033333333,106.08795623350504,0.4461891216666667,118.30687673203857,0.5384741483333334,110.32289618650043,0.711311033333333,102.8805524006843,0.13839570666666665,110.26466210894365
2020-10-10,0.434369795,94.53630093072437,0.2153887016666667,126.04161949314717,0.7106913650000001,104.75821575267746,0.12959302333333333,112.68135879427034,0.6355200966666666,106.21011276962831,0.4445323783333333,118.3910980281114,0.5379668183333333,110.5118133641832,0.7109759666666665,102.95560206722308,0.13812716,110.27660048997001
2020-10-11,0.43336009233333334,94.56148830544566,0.214349001,125.92743470502046,0.7096715453333334,104.884105792525,0.12979135833333333,112.76326327422184,0.6339851343333333,106.32969420850786,0.4428146773333334,118.4727193677382,0.5373190723333333,110.6955313985378,0.7105774983333331,103.02937867719375,0.13784472033333334,110.2809083536913
2020-10-12,0.43230846366666664,94.58603561797013,0.21325836300000003,125.79211838135208,0.7085496760000002,105.00821915192583,0.12996298166666667,112.83248603822125,0.6323464163333333,106.44670055014375,0.44103601866666675,118.551740750919,0.5365309103333333,110.87405028956421,0.7101156283333333,103.10188223059627,0.13754838766666666,110.27758570010745
2020-10-13,0.43121490900000004,94.60994286829774,0.21211678766666664,125.63567052214198,0.707325757,105.13055583087996,0.13010789333333334,112.8890270862685,0.6306039426666668,106.56113179453591,0.4391964023333334,118.62816217765376,0.5356023323333333,111.04737003726245,0.7095903566666667,103.17311272743066,0.13723816200000002,110.26663252921857
2020-10-14,0.43007942833333335,94.63321005642845,0.21092427500000002,125.4580911273902,0.7059997883333333,105.25111582938732,0.13022609333333335,112.93288641836367,0.6287577133333334,106.67298794168438,0.43729582833333336,118.70198364794254,0.5345333383333333,111.21549064163254,0.7090016833333332,103.24307016769693,0.13691404333333335,110.24804884102454
2020-10-15,0.42890202166666663,94.65583718236232,0.209680825,125.25938019709672,0.7045717699999999,105.369899147448,0.13031758166666668,112.9640640345067,0.6268077283333334,106.78226899158919,0.4353342966666667,118.77320516178533,0.5333239283333333,111.3784121026744,0.7083496083333334,103.31175455139507,0.13657603166666668,110.22183463552544
2020-10-16,0.427682689,94.67782424609933,0.20838643766666662,125.03953773126153,0.7030417019999999,105.48690578506194,0.13038235833333334,112.9825599346976,0.6247539876666667,106.88897494425026,0.4333118073333334,118.84182671918207,0.5319741023333333,111.53613442038811,0.7076341316666667,103.37916587852507,0.13622412700000003,110.18798991272124
2020-10-17,0.42642143033333324,94.69917124763947,0.20704111299999997,124.79856372988466,0.7014095843333333,105.60213574222917,0.13042042333333334,112.9883741189364,0.6225964913333334,106.99310579966765,0.4312283603333334,118.90784832013281,0.5304838603333333,111.68865759477363,0.7068552533333335,103.44530414908695,0.1358583293333333,110.14651467261197
2020-10-18,0.42511824566666667,94.71987818698273,0.205644851,124.5364581929661,0.6996754169999999,105.71558901894967,0.13043177666666667,112.98150658722307,0.6203352393333333,107.09466155784135,0.4290839556666667,118.97126996463757,0.5288532023333333,111.83598162583098,0.7060129733333333,103.51016936308066,0.13547863866666665,110.09740891519758
2020-10-19,0.42377313499999997,94.73994506412916,0.20419765166666665,124.2532211205058,0.6978392,105.82726561522348,0.13041641833333334,112.96195733955761,0.6179702316666668,107.19364221877134,0.4268785933333334,119.03209165269632,0.5270821283333332,111.97810651356016,0.7051072916666669,103.57376152050628,0.13508505499999998,110.0406726404781
2020-10-20,0.42238609833333335,94.75937187907873,0.20269951499999997,123.94885251250383,0.6959009333333335,105.93716553105054,0.13037434833333333,112.92972637594006,0.6155014683333333,107.29004778245763,0.42461227333333335,119.09031338430903,0.5251706383333333,112.11503225796119,0.7041382083333333,103.63608062136377,0.1346775783333333,109.97630584845356
2020-10-21,0.42090650615151515,94.77758416593947,0.20119405778787874,123.63723499407985,0.6937550026060607,106.04197569269253,0.13032289484848486,112.89278075423864,0.6128670272121213,107.38591915966596,0.4222806724545455,119.14310925962472,0.5230905015757575,112.24673196758414,0.7030227105151516,103.69515326518169,0.13425991839393936,109.90539137378597
2020-10-22,0.4193343584545454,94.7945819247114,0.19968128003030303,123.31836856523378,0.691401407818182,106.14169610014942,0.1302620578787879,112.85112047445338,0.6100669083030302,107.48125635039627,0.41988379069696974,119.19047927864338,0.5208417180606061,112.37320564242906,0.7017607982121213,103.7509794519601,0.13383207518181817,109.82792921647538
2020-10-23,0.4176696552424242,94.81036515539452,0.19816118172727273,122.99225322596568,0.6888401489696971,106.23632675342127,0.13019183742424245,112.80474553658426,0.6071011116060606,107.57605935464859,0.4174216280606061,119.23242344136504,0.5184242877878787,112.49445328249595,0.7003524714242425,103.80355918169899,0.1333940486969697,109.74391937652176
2020-10-24,0.4159123965151516,94.82493385798882,0.19663376287878792,122.65888897627556,0.6860712260606063,106.32586765250804,0.1301122334848485,112.7536559406313,0.6039696371212121,107.67032817242288,0.4148941845454546,119.26894174778964,0.5158382107575757,112.6104748877848,0.6987977301515153,103.85289245439836,0.13294583893939393,109.65336185392513
2020-10-25,0.4140625822727273,94.83828803249433,0.19509902348484853,122.31827581616338,0.6830946390909091,106.4103187974097,0.13002324606060608,112.6978516865945,0.6006724848484849,107.76406280371923,0.4123014601515152,119.30003419791721,0.513083486969697,112.72127045829562,0.6970965743939393,103.89897927005816,0.1324874459090909,109.55625664868548
2020-10-26,0.41212021251515146,94.850427678911,0.19355696354545454,121.97041374562916,0.6799103880606061,106.48968018812631,0.12992487515151516,112.63733277447386,0.597209654787879,107.85726324853755,0.40964345487878795,119.32570079174776,0.5101601164242424,112.8268399940284,0.6952490041515152,103.94181962867849,0.1320188696060606,109.45260376080282
2020-10-27,0.41008528724242427,94.86135279723887,0.1920075830606061,121.61530276467289,0.676518472969697,106.56395182465782,0.12981712075757576,112.57209920426935,0.5935811469393941,107.94992950687788,0.40692016872727277,119.34594152928126,0.5070680991212121,112.92718349498314,0.6932550194242425,103.98141353025925,0.13154011003030303,109.34240319027712
2020-10-28,0.40795780645454544,94.87106338747792,0.19045088203030305,121.2529428732946,0.6729188938181817,106.63313370700426,0.1296999828787879,112.50215097598101,0.5897869613030304,108.04206157874022,0.40413160169696977,119.36075641051775,0.503807435060606,113.02230096115984,0.6911146202121211,104.01776097480051,0.1310511671818182,109.22565493710843
2020-10-29,0.4057377701515151,94.87955944962813,0.18888686045454547,120.88333407149426,0.6691116506060605,106.69722583516565,0.1295734615151515,112.42748808960881,0.585827097878788,108.13365946412456,0.40127775378787883,119.3701454354572,0.5003781242424242,113.11219239255851,0.6888278065151514,104.05086196230224,0.13055204106060608,109.10235900129672
2020-10-30,0.4034251783333333,94.88684098368955,0.18731551833333335,120.50647635927186,0.6650967433333332,106.75622820914192,0.12943755666666668,112.34811054515276,0.5817015566666667,108.2247231630309,0.3983586250000001,119.37410860409962,0.49678016666666663,113.19685778917915,0.6863945783333334,104.08071649276445,0.13004273166666666,108.97251538284198
2020-10-31,0.40103221599999994,94.89269894563564,0.185745238,120.12624538457231,0.6608996539999998,106.80977380057888,0.129296684,112.26615414730966,0.5774425040000001,108.3155370155774,0.39539001900000004,119.37320404235821,0.493046285,113.27644075879574,0.6838298349999999,104.10698353381821,0.12952729400000002,108.83848260576765
2020-11-01,0.39859810533333334,94.89403441588641,0.18421524566666667,119.75271604621187,0.6565949826666665,106.85299199976335,0.12915547233333333,112.18409881342282,0.573142276,108.40200349573453,0.39244975233333335,119.36795543067304,0.4892762956666666,113.34953529901318,0.681165047,104.12621378038013,0.12902083633333333,108.70498814174252
2020-11-02,0.39612284633333333,94.8908473944418,0.18272554133333335,119.38588834419055,0.6521827293333333,106.88588280669532,0.12901392166666667,112.10194454349221,0.5688008726666668,108.4841226035023,0.389537825,119.358362769044,0.4854701986666666,113.41614140983147,0.6784002143333332,104.13840723245025,0.12852335866666667,108.57203199076662
2020-11-03,0.39360643900000003,94.88313788130189,0.18127612500000004,119.02576227850832,0.647662894,106.90844622137482,0.128872032,112.01969133751783,0.564418294,108.56189433888066,0.38665423700000007,119.34442605747117,0.48162799399999995,113.47625909125064,0.6755353369999999,104.14356389002856,0.128034861,108.43961415283997
2020-11-04,0.3910488833333333,94.87090587646662,0.17986699666666667,118.6723378491652,0.6430354766666667,106.9206822438018,0.12872980333333334,111.93733919549969,0.55999454,108.63531870186966,0.38379898833333337,119.32614529595455,0.47774968166666654,113.52988834327066,0.6725704150000001,104.14168375311506,0.12755534333333335,108.30773462796252
2020-11-05,0.38845017933333337,94.85415137993598,0.17849815633333332,118.3256150561612,0.6383004773333333,106.92259087397632,0.12858723566666666,111.85488811743777,0.5555296106666666,108.70439569246928,0.380972079,119.3035204844941,0.47383526166666656,113.57702916589155,0.6695054483333334,104.13276682170971,0.12708480566666666,108.1763934161343
