C,gamma,l,standardization,loss
0.33527873802454006,0.2165529742340568,198,True,14.583385348133865
0.7495409973225258,0.5123150668779293,118,False,16.871788351090707
0.28027831164617245,0.15543787589836253,8,True,11.303907937564405
0.6200716078780466,0.0974884103754598,182,True,12.9179948932397
0.0015813615651298074,0.8894214828510347,186,True,13.597666455601084
0.42435143854354834,0.19705617744784418,62,True,17.86099232078926
0.06207469387248998,0.3329369059239828,5,False,17.112245046295865
0.14587446602497378,0.8454443645146981,102,True,16.3012160144242
0.19548021511178126,0.9851048566510222,142,True,15.701249680205018
0.2106763349182527,0.9601281168340712,4,True,9.793044321730832
0.4769039882197444,0.7608153722214349,75,True,16.4990960500764
0.2359065743067983,0.5536686890584082,38,True,18.628204194648248
0.35709138246937727,0.9556927833101365,4,True,10.780397184343864
0.40361424953675457,0.8147944634215861,58,True,17.703179866332274
0.2842733073649118,0.4347755669606378,59,True,17.43855780474146
0.07762866092688797,0.03144976609330651,76,True,16.23249046858786
0.20351324837331292,0.7013052069588321,96,True,16.176768125182917
0.5487421034862284,0.07295778663119026,48,True,15.2523595602897
0.16822175208722104,0.2565969747649078,57,True,17.171607529550638
0.11225049463655339,0.6382622506781654,112,True,16.740161453041107
0.2691173731380005,0.4039194148136015,134,True,15.985012396940297
0.3272419303254518,0.13688732403622342,53,True,23.542276321446966
0.4801576186174127,0.3035643057403934,33,False,17.80000070054794
0.23057315701580305,0.36213123801609653,45,True,17.680465280112887
0.4391518332144661,0.48983320724994334,98,True,15.788472022845804
0.3825435080552376,0.9177332560363723,26,True,20.548170791015703
0.6529436511035482,0.23392612088342832,135,False,16.16644317241121
0.03276386901035788,0.5832332459712395,120,True,16.69024723710597
0.572037392680753,0.10915814221197809,95,True,15.179723169137395
0.13100900445853297,0.17849160546484538,28,True,15.436505424558325
0.3123603915455527,0.2829916102519005,47,False,18.504789775326532
0.6980002057759549,0.46117038556618073,188,True,13.650385421346533
