C,gamma,l,standardization,loss
0.09178728871941966,0.007462221125405233,189,True,22.976627816263598
0.8304498655857296,0.7524662923596154,158,False,28.87597077931349
0.4266703301928008,0.6293392349232743,163,True,30.48736380137609
0.22674410106274656,0.8929151833417875,174,True,29.774908209613216
0.2078782525435227,0.5395914024153698,3,True,29.312148909918324
0.3746395238431734,0.5703179310537716,33,True,19.658572455714037
0.5820065433743449,0.3314844751012527,83,False,25.391639495886167
0.4615954291190743,0.27574028331675254,67,True,23.978778772040716
0.6480789766261298,0.3762078782448133,104,True,27.60414025277542
0.37378118814583483,0.5740880710917222,7,True,15.04512859328701
0.692122578461091,0.48832404680813263,33,True,25.26636581262854
0.3758233175524719,0.3459647524275974,92,False,25.705617606509268
0.6250044650586557,0.45015777331668383,143,True,30.68123179342635
0.7173401953698741,0.5729032341181726,147,True,31.14478915991438
0.5312986872406984,0.5083142911919359,70,True,25.19447459289184
0.5613988479659786,0.42958056174955356,5,True,14.412177176306095
0.7882407251107405,0.07644613464705013,155,False,28.765270217516356
0.49252294531909285,0.40914220943349067,11,True,17.67745212359651
0.676694552096472,0.23895372366168485,111,True,28.26842228629195
0.5481577122588184,0.41265824722499833,5,True,13.67768298332436
0.5522758422301213,0.4039691394466634,5,True,13.718753765871801
0.5579401469413544,0.47308983684239847,5,True,15.905781751289444
0.58865660473364,0.3155947228373429,7,True,13.518056649739856
0.8185016891920689,0.3168816069936801,5,True,12.002387241030315
0.9199832681518619,0.3139588280493006,5,True,11.822912412404648
0.9250734522158326,0.30461682559080583,167,True,34.59057459195308
0.8234352283875901,0.22475758009908325,137,True,32.05798919703565
0.8794743733525968,0.32750423823735586,5,True,12.038102670436123
0.8941879400151298,0.17663808288658378,86,True,24.450711612458235
0.8775562352585661,0.3296039668134081,57,True,24.11672869038189
0.9563821175682827,0.26259849336305346,7,True,13.172550735990432
0.9712812325627798,0.26292363181345285,72,True,24.7308866800505
0.9498451217632251,0.13575310849337927,73,True,21.247646243731186
0.7660251299887764,0.2804618596287495,9,True,15.839303659603658
0.9143670563737953,0.20760479948202923,90,True,25.73515639617581
0.8159478518424784,0.3700056659811337,46,True,24.134685053887875
0.9932977503758882,0.15241509479919152,161,True,35.82945080701998
0.844227065726526,0.1903894336035326,40,True,36.34664533176725
0.8792872898884264,0.037552047302978286,153,True,24.142775025999185
0.726294286983286,0.2539693000645069,108,False,26.81842064392326
0.8082514810350738,0.353113009007374,63,True,24.522037531902708
0.9740780007707158,0.10965026988792384,17,True,19.016943595210765
0.8498854562728984,0.29054237334422267,170,True,34.18978059499615
0.9426603553568116,0.22680357456752837,69,True,23.949923246474054
0.9041709317915204,0.1595936064895783,77,True,22.79179226775374
0.7694327138036642,0.32660515234511034,97,False,26.15721785968198
0.8643751781576803,0.38545178420701925,78,True,26.15733731127972
0.927890683107119,0.20960172718098707,6,True,12.127571214798337
0.8012048591806665,0.20502418613826473,182,True,34.44229443632225
0.9226535731432157,0.30660396365390225,55,True,23.896866798063822
0.7668396333950446,0.170450558127107,136,False,28.550194567533207
0.7188513262838606,0.1290306445943589,191,True,34.476573155649284
0.9823762945750731,0.0627531963260532,81,True,16.755214301301336
0.9337093683397582,0.46771449463415526,48,True,23.840539232601717
0.741995275710734,0.10219083588994884,96,True,22.896611618518122
0.8397247030406704,0.23724118090048474,19,True,42.05200068466335
0.864953347217009,0.37104602548168986,177,False,28.92734841484466
0.8888796202988798,0.3416563212607429,10,True,17.327595644827415
0.6657121644650492,0.2900592859008811,99,True,27.257416344581216
0.999779286115394,0.21843352931896454,120,True,30.663837889573752
0.9098506190173283,0.18937409770025856,6,True,12.438882852143086
0.7871391328837879,0.24916614372311885,82,True,25.65322296978698
0.7024260521003365,0.019559265280461313,107,False,26.672296351033065
0.9394934455231005,0.3581287591134972,22,True,45.1386334795066
0.823510234927048,0.42779322272243314,41,True,22.857188840436834
0.6446660651136866,0.39514202684667493,6,True,12.93976359960267
0.9627888580652424,0.13935435039192828,183,True,36.898885157778814
0.875160070217653,0.27679329826235666,51,True,23.706006753728804
0.754133250654325,0.44429098670774114,38,False,22.40280455297108
0.7991703057304005,0.09903930366687166,142,True,30.288408963481157
0.6858661728491386,0.5001083541385123,66,True,25.129472553943412
0.8517197692703045,0.30955502185556116,102,True,28.170235351500228
0.6222896543698108,0.12566011626881213,37,True,29.89628322435018
0.9825712866580456,0.1902260919586068,27,True,33.626433292864064
0.9966591675345808,0.34206885820820154,26,False,22.31301307140905
0.9275089526139024,0.06559121379207133,88,True,18.726226848362412
