Country,Admin 1,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
Nigeria,Adamawa,Mubi,Bread,Retail,2016,09,300,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2016,10,300,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2016,11,300,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2016,12,300,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2017,01,300,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2017,02,309,Unit,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2017,03,300,Unit,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Bread,Retail,2017,04,300,Unit,NGN,FEWS NET
Nigeria,Adamawa,Mubi,Bread,Retail,2017,05,308,Unit,NGN,FEWS NET
Nigeria,Adamawa,Mubi,Bread,Retail,2017,06,300,Unit,NGN,FEWS NET (weekly); Nigeria
Nigeria,Adamawa,Mubi,Bread,Retail,2017,07,300,Unit,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Bread,Retail,2017,08,300,Unit,NGN,FEWS NET
Nigeria,Adamawa,Mubi,Bread,Retail,2017,09,,Unit,NGN,
Nigeria,Adamawa,Mubi,Bread,Retail,2017,10,,Unit,NGN,
Nigeria,Adamawa,Mubi,Bread,Retail,2017,11,,Unit,NGN,
Nigeria,Adamawa,Mubi,Bread,Retail,2017,12,,Unit,NGN,
Nigeria,Adamawa,Mubi,Bread,Retail,2018,01,,Unit,NGN,
Nigeria,Adamawa,Mubi,Bread,Retail,2018,02,375,Unit,NGN,Fewsnet
Nigeria,Adamawa,Mubi,Bread,Retail,2018,03,375,Unit,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Bread,Retail,2018,04,375,Unit,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Bread,Retail,2018,05,375,Unit,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Bread,Retail,2018,06,,Unit,NGN,
Nigeria,Adamawa,Mubi,Bread,Retail,2018,07,375,Unit,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Bread,Retail,2018,08,375,Unit,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Bread,Retail,2018,09,375,Unit,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Bread,Retail,2018,10,375,Unit,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Bread,Retail,2018,11,375,Unit,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Bread,Retail,2018,12,375,Unit,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Bread,Retail,2019,01,,Unit,NGN,
Nigeria,Adamawa,Mubi,Bread,Retail,2019,02,375,Unit,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Bread,Retail,2019,03,375,Unit,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Bread,Retail,2019,04,375,Unit,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Bread,Retail,2019,05,,Unit,NGN,
Nigeria,Adamawa,Mubi,Bread,Retail,2019,06,,Unit,NGN,
Nigeria,Adamawa,Mubi,Bread,Retail,2019,07,,Unit,NGN,
Nigeria,Adamawa,Mubi,Bread,Retail,2019,08,375,Unit,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Bread,Retail,2019,09,375,Unit,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Bread,Retail,2019,10,375,Unit,NGN,FEWSNET 
Nigeria,Adamawa,Mubi,Bread,Retail,2019,11,375,Unit,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Bread,Retail,2019,12,375,Unit,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2015,01,7000,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2015,02,7000,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2015,03,7200,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2015,04,7500,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2015,05,7500,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2015,06,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2015,07,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2015,08,6140,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2015,09,6192,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2015,10,6047.5,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2015,11,6053.3333,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2015,12,6380,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2016,01,6260,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2016,02,6530,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2016,03,6500,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2016,04,7100,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2016,05,7700,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2016,06,9400,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2016,07,9400,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2016,08,8680,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2016,09,10660,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2016,10,12245,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2016,11,11680,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2016,12,15650,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2017,01,752.3325,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2017,02,815,100 L,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2017,03,4700,100 L,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2017,04,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2017,05,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2017,06,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2017,07,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2017,08,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2017,09,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2017,10,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2017,11,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2017,12,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2018,01,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Wholesale,2018,02,365.8333,100 L,NGN,Fewsnet
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2017,04,351,100 L,NGN,FEWS NET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2017,05,412,100 L,NGN,FEWS NET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2017,06,432,100 L,NGN,FEWS NET (weekly); Nigeria
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2017,07,533,100 L,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2017,08,524,100 L,NGN,FEWS NET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2017,09,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2017,10,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2017,11,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2017,12,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2018,01,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2018,02,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2018,03,542.5,100 L,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2018,04,558.3333,100 L,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2018,05,544.6667,100 L,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2018,06,,100 L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2018,07,569.6635,100 L,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2018,08,581.9964,100 L,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2018,09,567.497,100 L,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2018,10,572.6632,L,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2018,11,572.496,L,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2018,12,562.4975,L,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2019,01,,L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2019,02,544.1665,L,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2019,03,540.831,L,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2019,04,504.9985,L,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2019,05,,L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2019,06,,L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2019,07,,L,NGN,
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2019,08,486.664,L,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2019,09,483.33,L,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2019,10,483.33,L,NGN,FEWSNET 
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2019,11,483.33,L,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Oil (palm),Retail,2019,12,483.33,L,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2015,01,9500,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2015,02,9500,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2015,03,8600,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2015,04,8050,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2015,05,8275,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2015,06,,50 KG,NGN,
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2015,07,,50 KG,NGN,
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2015,08,8000,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2015,09,8000,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2015,10,7755,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2015,11,7210,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2015,12,7880,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2016,01,9195,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2016,02,10650,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2016,03,10800,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2016,04,11460,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2016,05,12120,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2016,06,14752,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2016,07,16000,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2016,08,16960,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2016,09,17350,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2016,10,18000,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2016,11,18000,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2016,12,17700,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2017,01,17400,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2017,02,17225,50 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2017,03,15460,50 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2017,04,14510,50 KG,NGN,FEWS NET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2017,05,16200,50 KG,NGN,FEWS NET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2017,06,16150,50 KG,NGN,FEWS NET (weekly); Nigeria
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2017,07,16000,50 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2017,08,14500,50 KG,NGN,FEWS NET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2017,09,,50 KG,NGN,
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2017,10,,50 KG,NGN,
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2017,11,,50 KG,NGN,
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2017,12,,50 KG,NGN,
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2018,01,,50 KG,NGN,
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2018,02,15170,50 KG,NGN,Fewsnet
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2018,03,15140,50 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2018,04,15250,50 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2018,05,15424,50 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2018,06,,50 KG,NGN,
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2018,07,16205,50 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2018,08,15960,50 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2018,09,16160,50 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2018,10,16020,50 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2018,11,15540,50 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2018,12,15050,50 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2019,01,,50 KG,NGN,
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2019,02,14300,50 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2019,03,14240,50 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2019,04,14025,50 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2019,05,,50 KG,NGN,
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2019,06,,50 KG,NGN,
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2019,07,,50 KG,NGN,
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2019,08,13000,50 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2019,09,14075,50 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2019,10,16050,50 KG,NGN,FEWSNET 
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2019,11,15525,50 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Wholesale,2019,12,14125,50 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Retail,2019,02,300,KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Retail,2019,03,300,KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Retail,2019,04,300,KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Retail,2019,05,,KG,NGN,
Nigeria,Adamawa,Mubi,Rice (imported),Retail,2019,06,,KG,NGN,
Nigeria,Adamawa,Mubi,Rice (imported),Retail,2019,07,,KG,NGN,
Nigeria,Adamawa,Mubi,Rice (imported),Retail,2019,08,300,KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Retail,2019,09,307.464,KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Rice (imported),Retail,2019,10,316.66,KG,NGN,FEWSNET 
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2015,01,4000,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2015,02,4000,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2015,03,4020,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2015,04,4050,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2015,05,4150,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2015,06,,100 KG,NGN,
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2015,07,,100 KG,NGN,
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2015,08,3945,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2015,09,4825,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2015,10,4800,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2015,11,5600,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2015,12,5448,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2016,01,6060,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2016,02,6690,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2016,03,6680,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2016,04,7910,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2016,05,9670,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2016,06,11300,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2016,07,13275,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2016,08,15464,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2016,09,17650,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2016,10,13725,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2016,11,11980,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2016,12,13150,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2017,01,13900,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2017,02,15315,100 KG,NGN,FEWS NET; Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2017,03,10805,100 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2017,04,14285,100 KG,NGN,FEWS NET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2017,05,14916,100 KG,NGN,FEWS NET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2017,06,14100,100 KG,NGN,FEWS NET (weekly); Nigeria
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2017,07,15225,100 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2017,08,16000,100 KG,NGN,FEWS NET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2017,09,,100 KG,NGN,
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2017,10,,100 KG,NGN,
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2017,11,,100 KG,NGN,
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2017,12,,100 KG,NGN,
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2018,01,,100 KG,NGN,
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2018,02,10180,100 KG,NGN,Fewsnet
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2018,03,9970,100 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2018,04,10970,100 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2018,05,11632,100 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2018,06,,100 KG,NGN,
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2018,07,11550,100 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2018,08,11156,100 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2018,09,11015,100 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2018,10,10852,100 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2018,11,9345,100 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2018,12,7225,100 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2019,01,,100 KG,NGN,
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2019,02,6890,100 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2019,03,7975,100 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2019,04,7200,100 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2019,05,,100 KG,NGN,
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2019,06,,100 KG,NGN,
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2019,07,,100 KG,NGN,
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2019,08,6820,100 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2019,09,8355,100 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2019,10,9600,100 KG,NGN,FEWSNET 
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2019,11,9475,100 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Wholesale,2019,12,8100,100 KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Retail,2019,02,65.21,KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Retail,2019,03,68.63,KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Retail,2019,04,68.44,KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Retail,2019,05,,KG,NGN,
Nigeria,Adamawa,Mubi,Maize (white),Retail,2019,06,,KG,NGN,
Nigeria,Adamawa,Mubi,Maize (white),Retail,2019,07,,KG,NGN,
Nigeria,Adamawa,Mubi,Maize (white),Retail,2019,08,57.983,KG,NGN,FEWSNET
Nigeria,Adamawa,Mubi,Maize (white),Retail,2019,09,65.98,KG,NGN,FEWSNET
