n,loss
308,14.673890680221783
40,23.409457628314964
196,13.747291675260554
113,10.725824225339922
98,11.536555151322174
359,17.1964290454458
164,8.147578645074432
323,15.447211794271103
2,22.068049741897422
39,24.157529360419314
337,16.005044492534356
325,15.541699475461916
209,12.636122100213884
301,14.45133099739784
195,13.7783896325387
36,26.535934454705558
349,16.587966875377337
99,11.484206422796428
70,12.13113741395785
67,12.347985670145265
220,12.176817591385332
279,14.900219440318201
265,14.85852227907908
335,15.932902632901461
14,40.50516498904518
333,15.863198227804958
270,14.91732274221763
24,35.1581544498012
96,11.66224278596854
106,11.136147285788354
223,12.21294355496571
163,7.930971464933847
235,12.978169915539999
81,12.149367720979889
57,14.253201213730314
295,14.482571562163292
332,15.828820175967095
302,14.470703640205388
148,6.720646899601768
211,12.487569899021002
7,35.925670137844605
193,13.795691585902986
170,9.650871911630075
146,6.8294724872735735
133,8.451271641342457
19,38.71756435299397
304,14.524877854766947
254,14.386327670461588
165,8.37554723827227
152,6.689984203426161
107,11.089008881883364
352,16.76394573905831
121,9.973600076539768
58,13.945382830750562
16,40.02806500584034
22,36.61339945997167
299,14.437383892194669
130,8.873579637095057
44,20.566249938980214
298,14.44057477256107
103,11.287494361802791
343,16.259614162559448
46,19.283715235879885
60,13.40266595179383
152,6.689984203426161
321,15.343408762857583
102,11.33725777925567
187,13.439016521973707
257,14.54852368665662
51,16.601705117002187
88,12.063210439130444
15,40.321721430153815
65,12.528044616412744
151,6.674370030601278
48,18.12895242060585
232,12.70279195154073
82,12.165853189467802
231,12.618558651774771
160,7.387978132474619
292,14.562294725160312
290,14.630771576743575
166,8.612431727543878
185,13.20140098549343
83,12.177989875039694
311,14.814602399673939
253,14.33014658232459
334,15.898195902083609
115,10.552421168011444
151,6.674370030601278
