n,loss
153,24.883131567151636
286,35.85730625326004
296,36.523960656958494
218,41.076153136096366
257,38.6726575849774
159,24.911110728328143
159,24.911110728328143
236,40.651737197585966
2,27.205947141525694
314,37.40649476216626
251,39.28720497372735
153,24.883131567151636
153,24.883131567151636
3,29.335496493673627
277,36.25380110673614
346,33.96293948009199
153,24.883131567151636
153,24.883131567151636
305,37.42107736847185
153,24.883131567151636
297,36.620295779077054
84,39.78028137769429
153,24.883131567151636
153,24.883131567151636
355,33.26787996460873
122,30.576160473002165
8,39.23963393668824
153,24.883131567151636
360,32.62976673788634
153,24.883131567151636
169,26.299446167169066
6,36.23139656551093
153,24.883131567151636
10,41.13031569029962
120,30.89612330653628
313,37.4898219575173
322,36.330988400264225
178,28.857143164735287
240,40.42184503350461
285,35.844114924444774
57,44.52511973126742
319,36.77445156608408
252,39.17772200918123
112,32.49822572955842
350,33.712930163611595
206,39.407529780017335
349,33.77993164465769
114,32.05793098928952
207,39.620712143298555
190,33.560321220481185
99,36.42318584646642
157,24.83628135148867
74,41.46193718476336
241,40.33629945567997
156,24.823378650430417
156,24.823378650430417
157,24.83628135148867
227,40.98598252996826
157,24.83628135148867
157,24.83628135148867
292,36.17765954105573
132,28.880630085030873
133,28.678147884382756
158,24.866957564842593
264,37.982563235103555
76,41.064576382325306
157,24.83628135148867
157,24.83628135148867
147,25.51119482867401
228,40.941149849091026
335,34.86019091075207
157,24.83628135148867
230,40.85374315012021
156,24.823378650430417
82,40.027614193480936
333,35.04028426093057
156,24.823378650430417
339,34.50540385867279
126,29.941785409814504
259,38.489910898207874
156,24.823378650430417
83,39.90370189549513
317,37.05890902412377
58,44.24595921582128
156,24.823378650430417
155,24.826501469845265
97,37.09815594234721
254,38.96749242076276
23,46.40451679845069
61,43.5537764818504
49,47.002372759986265
79,40.49623164050433
18,44.40771234140524
300,36.92103485756444
4,31.433778242515093
118,31.260118666621462
245,39.923165497563055
14,42.923059324833666
154,24.845921881558663
30,50.702878240495636
156,24.823378650430417
249,39.5011232393305
156,24.823378650430417
196,36.257169834457315
156,24.823378650430417
213,40.66054586512037
156,24.823378650430417
276,36.3644327279415
156,24.823378650430417
306,37.49616413705072
311,37.59551674017066
73,41.6497972521398
244,40.03214724383719
123,30.418013104717797
27,49.22564062071735
270,37.18795315264637
185,31.392724745437466
231,40.81758441082
243,40.138122224164356
321,36.47744751776988
289,35.97785586784446
24,47.06624177128219
50,46.73790614233598
11,41.62543312062577
298,36.720465444971154
69,42.24679726257528
172,27.063005862169565
308,37.594352079191225
219,41.113565907227816
197,36.66523667910649
166,25.690912461508308
182,30.228823878198583
340,34.416048920102405
226,41.03087484325014
85,39.668119392836154
