AdminStrata,Abyan,Aden,Al Bayda,Al Dhale'e,Al Hudaydah,Al Jawf,Al Maharah,Al Mahwit,Amanat Al Asimah,Amran,Dhamar,Hadramaut,Hajjah,Ibb,Lahj,Marib,Raymah,Sa'ada,Sana'a,Shabwah,Socotra,Taizz
2016-09-18,106.6669764129358,104.21174486608959,131.52948142112822,116.07307925077478,117.354483652858,102.14443397107661,100.284901217185,119.92948127993121,128.4823812913026,117.76095257839961,122.09819133427,101.3979320657402,122.00679772750361,111.568202433646,104.72460470226059,107.3108243168654,114.171394412659,118.48799519270419,123.5934506086666,105.88159774633739,101.698353828976,110.9213487687626
2016-09-19,106.3495944928484,104.27179229920779,131.20994322523012,115.87945468204138,117.2762530192415,102.1331296601933,100.2938522886995,119.22608206177411,128.0361227369603,117.2326843222838,121.70674842096051,101.3997882374026,121.26273956735331,111.287184047049,104.4086410819923,107.1791779994957,113.445353360876,118.2159311291406,123.0269892701388,105.81698750103169,101.30116093313251,109.9764446378958
2016-09-20,106.032212572761,104.33183973232599,130.89040502933202,115.68583011330799,117.198022385625,102.12182534931,100.302803360214,118.522682843617,127.589864182618,116.70441606616801,121.315305507651,101.401644409065,120.518681407203,111.006165660452,104.092677461724,107.047531682126,112.719312309093,117.943867065577,122.460527931611,105.75237725572599,100.903968037289,109.03154050702899
2016-09-21,105.8864829770589,104.35917557330428,130.4577293251875,115.47808046057919,117.0931661028817,102.1146192164054,100.3071808804545,118.22281169206731,127.12929318238301,116.4237127548306,121.0227826704764,101.4027272024415,120.1787050790317,110.866742374825,103.96738760763199,106.94917063706731,112.4870351780981,117.74375818439759,122.0470136520093,105.71055300956739,100.57975181764527,108.82241004861869
2016-09-22,105.7407533813568,104.3865114142826,130.025053621043,115.27033080785039,116.9883098201384,102.1074130835008,100.311558400695,117.9229405405176,126.668722182148,116.14300944349321,120.7302598333018,101.40380999581801,119.8387287508604,110.72731908919799,103.84209775354,106.8508095920086,112.2547580471032,117.5436493032182,121.6334993724076,105.6687287634088,100.25553559800154,108.61327959020839
2016-09-23,105.59502378565469,104.41384725526089,129.5923779168985,115.06258115512159,116.8834535373951,102.1002069505962,100.3159359209355,117.6230693889679,126.208151181913,115.86230613215581,120.4377369961272,101.4048927891945,119.49875242268911,110.587895803571,103.716807899448,106.7524485469499,112.0224809161083,117.3435404220388,121.2199850928059,105.6269045172502,99.93131937835781,108.40414913179809
2016-09-24,105.4492941899526,104.44118309623919,129.159702212754,114.85483150239278,116.7785972546518,102.0930008176916,100.320313441176,117.3231982374182,125.747580181678,115.5816028208184,120.1452141589526,101.405975582571,119.1587760945178,110.448472517944,103.591518045356,106.6540875018912,111.79020378511339,117.1434315408594,120.8064708132042,105.5850802710916,99.60710315871408,108.19501867338779
2016-09-25,105.3035645942505,104.46851893721748,128.7270265086095,114.64708184966399,116.6737409719085,102.085794684787,100.32469096141651,117.0233270858685,125.28700918144301,115.30089950948101,119.852691321778,101.40705837594751,118.8187997663465,110.309049232317,103.46622819126401,106.5557264568325,111.55792665411849,116.94332265968,120.3929565336025,105.54325602493299,99.28288693907035,107.9858882149775
2016-09-26,105.1578349985484,104.49585477819579,128.294350804465,114.4393321969352,116.5688846891652,102.07858855188239,100.329068481657,116.7234559343188,124.826438181208,115.02019619814361,119.56016848460341,101.40814116932401,118.4788234381752,110.16962594668999,103.340938337172,106.45736541177381,111.3256495231236,116.7432137785006,119.9794422540008,105.50143177877439,98.95867071942664,107.7767577565672
2016-09-27,105.01210540284629,104.52319061917409,127.8616751003205,114.23158254420639,116.4640284064219,102.07138241897779,100.3334460018975,116.4235847827691,124.365867180973,114.7394928868062,119.26764564742881,101.40922396270051,118.1388471100039,110.03020266106299,103.21564848308,106.3590043667151,111.0933723921287,116.5431048973212,119.5659279743991,105.45960753261579,98.6344544997829,107.5676272981569
2016-09-28,104.8663758071442,104.55052646015238,127.428999396176,114.0238328914776,116.3591721236786,102.06417628607319,100.337823522138,116.1237136312194,123.905296180738,114.4587895754688,118.9751228102542,101.410306756077,117.7988707818326,109.890779375436,103.090358628988,106.2606433216564,110.8610952611338,116.3429960161418,119.1524136947974,105.4177832864572,98.31023828013917,107.3584968397466
2016-09-29,104.7206462114421,104.5778623011307,126.9963236920315,113.81608323874879,116.2543158409353,102.05697015316859,100.3422010423785,115.8238424796697,123.44472518050301,114.17808626413141,118.6825999730796,101.41138954945352,117.4588944536613,109.751356089809,102.96506877489601,106.1622822765977,110.6288181301389,116.14288713496241,118.7388994151957,105.3759590402986,97.98602206049544,107.1493663813363
2016-09-30,104.57491661574,104.60519814210899,126.563647987887,113.60833358602,116.149459558192,102.04976402026399,100.346578562619,115.52397132812,122.984154180268,113.897382952794,118.390077135905,101.41247234283001,117.11891812549,109.61193280418199,102.83977892080401,106.063921231539,110.396540999144,115.942778253783,118.325385135594,105.33413479414,97.66180584085171,106.94023592292601
2016-10-01,104.46265885445729,104.6312022073568,126.0836831874684,113.4065411270595,116.0095342905811,102.04567584193559,100.349867528924,115.2763953985323,122.50403920338351,113.6477746851417,118.0930074463995,101.41231396390612,116.8559296688337,109.5172954086619,102.74633624642341,105.9786727798332,110.2169368369961,115.7455326473938,117.9415129741148,105.2963330727423,97.31818614075557,106.8718838350439
2016-10-02,104.3504010931746,104.6572062726046,125.6037183870498,113.204748668099,115.86960902297021,102.04158766360719,100.353156495229,115.0288194689446,122.023924226499,113.3981664174894,117.795937756894,101.41215558498222,116.5929412121774,109.42265801314178,102.65289357204281,105.8934243281274,110.0373326748482,115.5482870410046,117.5576408126356,105.2585313513446,96.97456644065943,106.8035317471618
2016-10-03,104.23814333189189,104.68321033785239,125.1237535866312,113.0029562091385,115.7296837553593,102.0374994852788,100.35644546153401,114.7812435393569,121.5438092496145,113.1485581498371,117.4988680673885,101.41199720605832,116.3299527555211,109.32802061762169,102.5594508976622,105.8081758764216,109.85772851270029,115.3510414346154,117.17376865115641,105.2207296299469,96.63094674056329,106.73517965927971
2016-10-04,104.1258855706092,104.70921440310019,124.6437887862126,112.801163750178,115.5897584877484,102.0334113069504,100.359734427839,114.5336676097692,121.06369427273,112.89894988218481,117.201798377883,101.41183882713442,116.0669642988648,109.2333832221016,102.4660082232816,105.72292742471579,109.6781243505524,115.1537958282262,116.7898964896772,105.1829279085492,96.28732704046715,106.6668275713976
2016-10-05,104.0136278093265,104.735218468348,124.163823985794,112.5993712912175,115.44983322013749,102.029323128622,100.363023394144,114.2860916801815,120.58357929584551,112.6493416145325,116.9047286883775,101.41168044821052,115.8039758422085,109.1387458265815,102.37256554890101,105.63767897301,109.4985201884045,114.956550221837,116.406024328198,105.1451261871515,95.94370734037099,106.5984754835155
2016-10-06,103.90137004804379,104.7612225335958,123.6838591853754,112.397578832257,115.3099079525266,102.0252349502936,100.366312360449,114.0385157505938,120.103464318961,112.3997333468802,116.607658998872,101.4115220692866,115.5409873855522,109.04410843106139,102.27912287452041,105.5524305213042,109.3189160262566,114.7593046154478,116.0221521667188,105.10732446575379,95.60008764027485,106.5301233956334
2016-10-07,103.7891122867611,104.7872265988436,123.2038943849568,112.1957863732965,115.1699826849157,102.02114677196519,100.36960132675401,113.7909398210061,119.6233493420765,112.1501250792279,116.31058930936649,101.4113636903627,115.2779989288959,108.9494710355413,102.18568020013981,105.4671820695984,109.1393118641087,114.5620590090586,115.6382800052396,105.06952274435609,95.25646794017871,106.46177130775129
2016-10-08,103.67685452547839,104.81323066409139,122.7239295845382,111.993993914336,115.03005741730479,102.0170585936368,100.372890293059,113.5433638914184,119.143234365192,111.9005168115756,116.01351961986099,101.4112053114388,115.01501047223961,108.8548336400212,102.0922375257592,105.3819336178926,108.9597077019608,114.3648134026694,115.2544078437604,105.0317210229584,94.91284824008257,106.3934192198692
2016-10-09,103.5645967641957,104.8392347293392,122.2439647841196,111.7922014553755,114.8901321496939,102.0129704153084,100.376179259364,113.2957879618307,118.6631193883075,111.65090854392331,115.7164499303555,101.4110469325149,114.75202201558331,108.76019624450109,101.9987948513786,105.29668516618679,108.7801035398129,114.1675677962802,114.8705356822812,104.9939193015607,94.56922853998643,106.3250671319871
2016-10-10,103.45233900291299,104.865238794587,121.763999983701,111.59040899641501,114.75020688208299,102.00888223698,100.379468225669,113.048212032243,118.183004411423,111.401300276271,115.41938024084999,101.41088855359101,114.489033558927,108.665558848981,101.90535217699801,105.211436714481,108.600499377665,113.970322189891,114.486663520802,104.956117580163,94.22560883989028,106.256715044105
2016-10-11,103.3782206647652,104.8917647137728,121.3434144176006,111.4332057732452,114.58678283450409,102.0087614863861,100.3785239963742,112.87937925001481,117.76477505739359,111.2173361939305,115.15821312345179,101.40657210373331,114.3039230579927,108.6123800867349,101.84051524538381,105.1509588997476,108.4522614650536,113.8131387404344,114.1925281034663,104.9276780768757,93.89977870295178,106.26124573143589
