batch_size,dropout,n_epochs,n_input,n_nodes,optimizer,shuffle,loss
37,0.8629595169302489,93,90,199,rmsprop,False,0.13977825978979058
55,0.804803456815081,43,66,211,rmsprop,False,0.07821726913242133
23,0.5952540011582027,74,61,507,rmsprop,False,0.12304244343430906
1,0.5200335141325526,95,48,865,rmsprop,True,0.9103301091873905
7,0.7556376324620739,2,73,896,rmsprop,False,0.1965740336217354
40,0.38803244836197304,37,57,345,rmsprop,False,0.09833758891381934
30,0.4642959804527958,52,54,724,rmsprop,False,0.13615336919903123
39,0.9211693346278873,43,78,82,rmsprop,False,0.17559285921634812
55,0.7829874825832926,41,66,452,rmsprop,False,0.07791567616420236
24,0.9710523896096783,82,44,317,rmsprop,False,0.13160408759677095
54,0.6774035636158424,41,55,362,rmsprop,False,0.08056888637971307
9,0.5878369327708974,33,84,46,rmsprop,False,0.14518716164740816
55,0.8769783338783527,46,66,276,rmsprop,False,0.08176053425128615
6,0.7951834007664296,98,31,452,rmsprop,False,0.1072925282009769
16,0.8479389875453449,36,34,130,rmsprop,False,0.1053648053036571
7,0.7241584307046153,53,70,332,adam,False,0.18118972007393125
15,0.6175595488435932,28,72,20,rmsprop,False,0.16130898651414244
43,0.5699831541554239,26,20,540,adam,False,0.1501134790506567
61,0.9473761220420195,83,49,847,rmsprop,False,0.09842648088791595
18,0.9014706690834491,92,117,483,adam,True,0.5815981873133339
13,0.5594191013863945,71,118,419,rmsprop,False,0.06982833299829008
13,0.7805697978989811,19,118,686,rmsprop,False,0.06393284542949774
13,0.6693738529889232,35,82,419,rmsprop,False,0.12136854618026975
47,0.4653246816387948,19,118,686,rmsprop,False,0.20460873807628385
13,0.8164386840679776,19,80,315,rmsprop,True,0.7777737145741935
13,0.6259618355161043,71,118,203,rmsprop,False,0.07636395657480352
28,0.695180148266546,1,74,457,rmsprop,False,0.24021585355076064
51,0.5495287733762518,90,99,402,rmsprop,False,0.10416731622130863
4,0.7477646260639408,7,118,584,rmsprop,False,0.12844899047126124
41,0.6534183462636611,40,95,732,rmsprop,True,1.3486472370503555
20,0.40888287619050195,20,17,856,rmsprop,False,0.11220851859235448
13,0.5117182700180343,61,36,413,rmsprop,False,0.10745009058847117
3,0.5639916770827679,21,64,140,rmsprop,False,0.11422203904440509
5,0.8376643617286752,87,37,280,rmsprop,True,0.9175797124184377
59,0.7748953256268303,56,8,500,rmsprop,False,0.11065173448602232
22,0.7306849207093529,64,106,537,rmsprop,False,0.06969330775904507
22,0.7322155780878179,97,106,753,rmsprop,False,0.21301807526578118
63,0.6231538090532278,42,25,94,rmsprop,False,0.1322339056136082
22,0.46242707992325766,99,58,407,rmsprop,True,1.1922446747376798
42,0.49330607238409063,64,12,554,rmsprop,False,0.10314008436399602
19,0.6955481255796849,84,98,167,rmsprop,False,0.0960380491555476
62,0.5215174806095879,86,14,154,rmsprop,False,0.11441612906101295
32,0.31196164723149045,70,101,229,rmsprop,False,0.08272989447573721
45,0.3649233878974608,25,111,909,rmsprop,True,1.3851284503370274
46,0.541023454604802,15,76,447,rmsprop,False,0.3285306679520712
33,0.9551942165639936,80,15,137,rmsprop,False,0.2113065160339002
38,0.8954920536870312,11,79,268,rmsprop,False,0.3371939119249311
12,0.608794167392923,78,100,899,rmsprop,False,0.08289838722432272
57,0.583080068780807,89,102,537,rmsprop,False,0.3298072798705145
44,0.637141505697358,38,97,83,rmsprop,True,1.3676204204499887
11,0.8594934764585566,29,106,977,rmsprop,False,0.14525646051226904
60,0.6684039975615511,64,103,858,rmsprop,False,0.4336697650081482
52,0.7618990170929485,39,10,301,rmsprop,False,0.11862667847030517
49,0.8237214647798159,71,87,198,rmsprop,False,0.12185541503164277
31,0.7052198830878026,62,96,329,rmsprop,True,1.359560718960948
36,0.4347803649061138,4,59,686,rmsprop,False,0.11748744165912142
