Conv1,Conv2,Dense,Dropout,LSTM,batch_size,lags,3 Months Anomaly (%) Rainfall,1 Month Anomaly (%) Rainfall,Cereals and tubers,Exchange rate (USD/LCU),FCS,Fatality,NDVI Anomaly,Rainfall (mm),rCSI,Lat,Lon,Population,Ramadan,epoch,val_loss,train_loss
11,4,15,0.15260876882083999,16,8,56,56,56,56,56,56,56,56,56,56,56,56,56,56,54,0.01273306639244159,0.002266055805280377
22,3,25,0.19772179835172587,99,256,46,46,46,46,46,46,46,46,46,46,46,46,46,46,70,0.011120365001261234,0.00454904425172179
4,2,41,0.26294940556911023,88,128,81,81,81,81,81,81,81,81,81,81,81,81,81,81,122,0.011229471303522587,0.0029146322963276394
27,3,3,0.05688866697571966,76,512,91,91,91,91,91,91,91,91,91,91,91,91,91,91,204,0.012079363688826561,0.007362952349611964
44,3,79,0.0033959951428933176,54,16,86,86,86,86,86,86,86,86,86,86,86,86,86,86,432,0.007240736763924361,0.0001286375914983231
38,2,36,0.004117513005415081,71,8,86,86,86,86,86,86,86,86,86,86,86,86,86,86,51,0.010882188441852729,0.0005765556997459341
8,4,27,0.14959219383155842,73,16,86,86,86,86,86,86,86,86,86,86,86,86,86,86,144,0.007660532866915067,0.001528481955599961
44,1,21,0.024181825200940213,69,32,66,66,66,66,66,66,66,66,66,66,66,66,66,66,224,0.009178991584728161,0.0011037596188686496
54,2,44,0.09124137836030063,6,128,96,96,96,96,96,96,96,96,96,96,96,96,96,96,128,0.012519406154751778,0.002356341617950608
34,3,77,0.05469821298657889,68,256,16,16,16,16,16,16,16,16,16,16,16,16,16,16,62,0.009608675725758076,0.0024544508035045745
18,4,79,0.1367029321864144,94,512,61,61,61,61,61,61,61,61,61,61,61,61,61,61,130,0.012103727087378502,0.003067087282293609
28,3,79,0.4403088037765596,5,64,26,26,26,26,26,26,26,26,26,26,26,26,26,26,63,0.008863557130098343,0.0034488974688335872
10,1,8,0.1105834148017199,44,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,57,0.007690072587380806,0.002802297062058962
21,3,98,0.018774371154124336,54,32,76,76,76,76,76,76,76,76,76,76,76,76,76,76,63,0.01324937144915263,0.000630445478529465
20,2,42,0.21268716606510651,39,16,36,36,36,36,36,36,36,36,36,36,36,36,36,36,52,0.008765442638347547,0.0018431718237008209
44,3,28,0.058702396884853986,65,64,71,71,71,71,71,71,71,71,71,71,71,71,71,71,99,0.012002629227936268,0.0019084411889206672
17,4,16,0.3647336732852493,54,8,86,86,86,86,86,86,86,86,86,86,86,86,86,86,118,0.009550659963861109,0.005259811269840406
35,3,17,0.17142454304243107,75,16,31,31,31,31,31,31,31,31,31,31,31,31,31,31,53,0.008522899107386668,0.0027881656116408894
25,1,73,0.24830030391979863,22,512,21,21,21,21,21,21,21,21,21,21,21,21,21,21,94,0.010831008665263653,0.004867065677212345
16,3,85,0.03823371946784604,59,128,6,6,6,6,6,6,6,6,6,6,6,6,6,6,69,0.00698244059458375,0.0021271302407417257
16,3,86,0.09585498445315455,95,128,6,6,6,6,6,6,6,6,6,6,6,6,6,6,78,0.008074202574789524,0.001888792261316276
58,2,75,0.13651466592183215,90,128,36,36,36,36,36,36,36,36,36,36,36,36,36,36,55,0.010883175767958164,0.001841749834690105
6,4,67,0.3028056670639615,59,128,6,6,6,6,6,6,6,6,6,6,6,6,6,6,102,0.006522085051983595,0.0030431139938723486
6,4,6,0.30194940796298364,24,128,41,41,41,41,41,41,41,41,41,41,41,41,41,41,83,0.01049099676311016,0.00937203848897888
45,4,26,0.47011076794127277,50,128,6,6,6,6,6,6,6,6,6,6,6,6,6,6,93,0.006599275395274162,0.0044926185443348535
26,4,22,0.3961893171914804,32,32,66,66,66,66,66,66,66,66,66,66,66,66,66,66,104,0.010185141861438752,0.0048261905880340565
61,4,87,0.2845036871742062,49,128,6,6,6,6,6,6,6,6,6,6,6,6,6,6,62,0.006483274046331644,0.00218192262032458
61,4,87,0.3423580732940115,91,64,81,81,81,81,81,81,81,81,81,81,81,81,81,81,154,0.010069872252643108,0.0017146996075839357
40,4,20,0.2786480387783841,21,128,6,6,6,6,6,6,6,6,6,6,6,6,6,6,64,0.0077469260431826115,0.004808684489088463
59,4,67,0.29999825900720883,49,128,6,6,6,6,6,6,6,6,6,6,6,6,6,6,61,0.007682839874178171,0.0024728073897930954
12,4,91,0.38452828907646175,98,128,6,6,6,6,6,6,6,6,6,6,6,6,6,6,68,0.0072046616114676,0.002996240004997801
60,4,67,0.22792059513630927,49,128,56,56,56,56,56,56,56,56,56,56,56,56,56,56,84,0.011579074896872044,0.0020485759836168646
37,4,84,0.2699046049268172,8,128,11,11,11,11,11,11,11,11,11,11,11,11,11,11,64,0.009708360768854618,0.0025861166452742974
47,4,1,0.31722218844273203,67,8,91,91,91,91,91,91,91,91,91,91,91,91,91,91,85,0.015092289975533883,0.01612125236946994
62,4,78,0.24293665915286317,89,128,36,36,36,36,36,36,36,36,36,36,36,36,36,36,57,0.0082880649715662,0.0023941097426546333
39,4,7,0.18875534793175636,31,128,76,76,76,76,76,76,76,76,76,76,76,76,76,76,106,0.025902068242430687,0.02904946074737766
61,1,81,0.41400192554190446,47,512,46,46,46,46,46,46,46,46,46,46,46,46,46,46,89,0.008386599831283092,0.005859142516088178
6,4,47,0.3163769596794417,30,256,16,16,16,16,16,16,16,16,16,16,16,16,16,16,75,0.008672019466757774,0.004546872788898819
5,4,55,0.21560568047757478,42,32,26,26,26,26,26,26,26,26,26,26,26,26,26,26,59,0.014378905420502026,0.0015906365696620537
52,2,97,0.4491936765786807,3,128,71,71,71,71,71,71,71,71,71,71,71,71,71,71,93,0.013347949832677841,0.004062244252882142
32,4,48,0.3754457724834883,2,8,96,96,96,96,96,96,96,96,96,96,96,96,96,96,53,0.020076973363757133,0.004844639660967957
1,1,12,0.4987750999201669,87,128,31,31,31,31,31,31,31,31,31,31,31,31,31,31,68,0.01174162607640028,0.011559016335495683
50,4,18,0.34507513880250035,20,64,61,61,61,61,61,61,61,61,61,61,61,61,61,61,102,0.011922759003937244,0.00444809759833983
42,4,23,0.29133819082446516,63,16,21,21,21,21,21,21,21,21,21,21,21,21,21,21,53,0.01033181119710207,0.0035008776418787115
53,2,70,0.25731394525626233,83,256,6,6,6,6,6,6,6,6,6,6,6,6,6,6,73,0.00780299911275506,0.00347524864827045
33,1,35,0.2010342958873349,80,512,36,36,36,36,36,36,36,36,36,36,36,36,36,36,82,0.008597995154559612,0.005808938276252629
14,4,56,0.3231139394043801,9,32,51,51,51,51,51,51,51,51,51,51,51,51,51,51,59,0.01090923665712277,0.0024567132862755143
21,3,38,0.27660810593585994,23,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,53,0.007149580121040344,0.002510591424503797
29,4,51,0.41885026334694525,38,128,41,41,41,41,41,41,41,41,41,41,41,41,41,41,68,0.010372272692620754,0.0035164602656374898
31,3,14,0.23298012964743728,46,8,81,81,81,81,81,81,81,81,81,81,81,81,81,81,53,0.014088929630815983,0.007562654818132244
43,2,96,0.30824873110754963,59,64,66,66,66,66,66,66,66,66,66,66,66,66,66,66,119,0.009078919887542725,0.0014761982016947145
3,4,59,0.336986266910314,85,128,56,56,56,56,56,56,56,56,56,56,56,56,56,56,81,0.011376408860087395,0.002684550245592747
41,3,24,0.1851743881618918,45,512,91,91,91,91,91,91,91,91,91,91,91,91,91,91,129,0.015371261164546013,0.01239346056125867
49,4,37,0.40426214096370783,62,256,36,36,36,36,36,36,36,36,36,36,36,36,36,36,83,0.009111437946557999,0.004605744557968751
57,3,66,0.3571355972635325,33,128,46,46,46,46,46,46,46,46,46,46,46,46,46,46,62,0.011386613361537457,0.0035436384126264165
9,2,13,0.2853181325775222,12,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,61,0.007056792452931404,0.0043272090806589425
23,4,68,0.43027387930165695,13,32,26,26,26,26,26,26,26,26,26,26,26,26,26,26,55,0.008192983238647382,0.0028132652665996726
48,1,87,0.25406051705566113,1,128,11,11,11,11,11,11,11,11,11,11,11,11,11,11,158,0.006784897763282061,0.005424836998418817
