AdminStrata,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Cascades,Cascades,Cascades,Centre,Centre,Centre,Centre-Est,Centre-Est,Centre-Est,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Sud,Centre-Sud,Centre-Sud,Est,Est,Est,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Nord,Nord,Nord,Plateau-Central,Plateau-Central,Plateau-Central,Sahel,Sahel,Sahel,Sud-Ouest,Sud-Ouest,Sud-Ouest
Indicator,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm)
2020-07-03,94.14480027646853,92.40895820266653,158.8176,108.08888995972168,101.40683860640516,243.86180000000002,82.88079381175365,78.89069646425249,121.4787,74.36802029212205,75.58382973552266,133.6536,81.87343370566275,79.16389961569162,99.2302,94.42857567026122,89.73136103463175,173.1607,81.78054202325393,76.90799391438456,152.7315,78.35233761466579,78.42717530657363,139.0756,105.90845190468804,101.75213288090582,225.61950000000002,90.5174402814919,90.1610901169103,109.5398,79.38786335140104,76.39073914407777,118.0315,81.72390295168191,79.55274628653991,59.9244,101.54652340291182,96.29883272054414,229.5887
2020-07-04,94.61555096109136,92.54239232803998,165.8746,108.40711708273149,101.58914774447625,246.06330000000003,83.07964766995782,78.89515985208388,125.5797,74.5319337274474,75.4733639666218,134.8845,82.11231180737543,79.17522105853413,102.70829999999998,94.93168771345606,89.91208126952382,177.3746,82.17076366742837,77.02537992210672,154.9029,78.76467218042191,78.46144214458931,141.2174,106.20578678502761,101.90961196291816,228.7486,90.66968718764262,90.11497849516643,114.6312,79.6462733902164,76.39416888274663,121.39859999999999,81.70372903039747,79.39714245864421,62.773,101.99337997308315,96.44951864859843,231.96139999999997
2020-07-05,95.081276358817,92.70802440886973,172.9316,108.66833294453048,101.76231689113631,248.26480000000004,83.24164298677748,78.90910615046516,129.6807,74.68275168895661,75.35692419469218,136.11540000000002,82.35040002791848,79.21789779695203,106.18639999999999,95.39151075080709,90.09982081732993,181.5885,82.5184735701464,77.13853849941358,157.07430000000002,79.20082518199482,78.51408799342552,143.3592,106.44700918233471,102.05423667397132,231.8777,90.83216765139105,90.10588530743533,119.7226,79.88367654920896,76.41050773051431,124.7657,81.70677582972628,79.27524297721243,65.6216,102.3830317500697,96.596962430368,234.33409999999998
2020-07-06,95.56088366401134,92.90799878220865,179.8051,108.84679530656747,101.90651601105482,248.06,83.38648950306558,78.94023454029487,133.798,74.78454359558816,75.2229910342456,136.8513,82.58741880427655,79.28573449981339,109.66879999999999,95.79039416741531,90.28043030331261,184.95069999999998,82.8085872194174,77.24287440947253,159.0023,79.6118808147968,78.55721767780788,144.97369999999998,106.63972559563969,102.18180273692077,233.93420000000003,91.01413303798621,90.13953392333211,124.8772,80.10579949367244,76.4426211582075,128.1522,81.72088728283599,79.17662604474845,68.421,102.68923448311102,96.72316416690647,234.9792
2020-07-07,96.05437287667439,93.14231544805678,186.67860000000002,108.94250416884249,102.02174510423177,247.85520000000002,83.51418721882214,78.98854502157292,137.9153,74.83730944734205,75.07156448528198,137.5872,82.82336813644963,79.37873116711819,113.15119999999999,96.12833796328074,90.45390972747188,188.31289999999998,83.04110461524144,77.33838765228357,160.9303,79.99783907882784,78.5908311977364,146.58819999999997,106.78393602494255,102.29231015176659,235.9907,91.21558334742815,90.21592434285674,130.0318,80.31264222360691,76.49050916582613,131.5387,81.74606338972664,79.10129166125232,71.22040000000001,102.91198817220707,96.82812385821386,235.62429999999998
2020-07-08,96.56174399680617,93.41097440641408,193.5521,108.9554595313555,102.1080041706672,247.65040000000002,83.62473613404715,79.0540375942994,142.0326,74.84104924421828,74.9026445478014,138.3231,83.05824802443772,79.49688779886644,116.63359999999999,96.40534213840337,90.62025908980772,191.6751,83.21602575761845,77.42507822784671,162.8583,80.35869997408794,78.61492855321106,148.2027,106.87964047024327,102.3857589185087,238.04720000000003,91.43651857971683,90.33505656600927,135.1864,80.50420473901234,76.55417175337026,134.9252,81.7823041503982,79.049239826724,74.0198,103.05129281735785,96.9118415042902,236.26939999999996
2020-07-09,97.0829970244067,93.71397565728059,200.4256,108.88566139410655,102.16529321036107,247.4456,83.71813624874062,79.13671225847426,146.1499,74.79576298621684,74.71623122180381,139.05900000000003,83.29205846824084,79.64020439505815,120.11599999999999,96.6214066927832,90.77947839032014,195.0373,83.33335064654848,77.50294613616191,164.7863,80.69446350057713,78.62950974423188,149.81719999999996,106.92683893154184,102.46214903714717,240.1037,91.6769387348523,90.49693059278967,140.341,80.68048703988872,76.63360892083982,138.3117,81.8296095648507,79.02047054116352,76.8192,103.10714841856338,96.9743171051354,236.91449999999998
2020-07-10,97.6181319594759,94.05131920065628,207.2991,108.73310975709559,102.1936122233134,247.24080000000004,83.79438756290253,79.23656901409754,150.2672,74.70145067333773,74.51232450728924,139.7949,83.52479946785895,79.80868095569329,123.59839999999998,96.77653162642021,90.93156762900915,198.3995,83.39307928203152,77.5719913772292,166.71430000000004,81.00512965829536,78.63457477079885,151.43169999999998,106.9255314088383,102.52148050768197,242.16020000000003,91.9368438128345,90.70154642319797,145.4956,80.84148912623606,76.72882066823487,141.69819999999999,81.8879796330841,79.01498380457087,79.6186,103.07955497582364,97.01555066074954,237.5596
2020-07-11,98.2119230813241,94.42320284972769,215.558,108.53674068274192,102.19623996521575,248.336,83.95600169575975,79.38686662022054,160.0958,74.64355586095084,74.3341223201181,146.7014,83.837143874189,80.03752338950429,131.3567,96.99867807451824,91.1186311577824,208.9334,83.52900202876877,77.68681425102977,177.4841,81.32916542702563,78.66663989165467,157.83899999999997,106.91899210721105,102.57384043820407,246.50390000000002,92.27187644810253,90.95878153487944,152.4243,81.08456542833164,76.87916559206529,150.9148,82.02090255887165,79.07546780628407,86.08960000000002,103.03350193078505,97.04531642135562,240.12959999999998
2020-07-12,98.86437038995129,94.82962660449482,223.8169,108.29655417104557,102.17317643606813,249.43120000000002,84.20297864731234,79.5876050768433,169.9244,74.62207854905613,74.18162466029041,153.6079,84.22909168723098,80.32673169649112,139.11499999999998,97.28784603707729,91.3406689766399,219.4673,83.74111888676028,77.84741475756367,188.25390000000002,81.66657080676791,78.72570510679934,164.2463,106.9072210266601,102.61922882871345,250.8476,92.68203664065643,91.26863592783414,159.35299999999998,81.40971594617542,77.08464369233108,160.13139999999999,82.22837834221336,79.2019225463031,92.56060000000001,102.96898928344758,97.06361438695366,242.69959999999998
