SvyDate,Date,Dmgrph,DmgrphCode,Mean_crrnt,Pop,PopNmbr
2019-4-12_2019-7-10,2019-07-10,EAST,900961,21.27525,1108419,235818
2019-4-12_2019-7-10,2019-07-10,FAR-NORTH,900962,12.1813,4545866,553745
2019-4-12_2019-7-10,2019-07-10,LITTORAL,900963,17.46956,3845583,671806
2019-4-12_2019-7-10,2019-07-10,NORTH,900964,9.03503,2825922,255322
2019-4-12_2019-7-10,2019-07-10,SOUTH,900967,18.07007,797019,144021
2019-4-12_2019-7-10,2019-07-10,WEST,900966,33.025259999999996,2066677,682525
2019-6-12_2019-7-11,2019-07-11,NORTH-WEST,900965,58.40565999999999,2221973,1297757
2019-6-12_2019-7-11,2019-07-11,SOUTH-WEST,900968,50.51675999999999,1837059,928022
2019-4-13_2019-7-11,2019-07-11,ADAMAWA,900959,24.96774,1295480,323452
2019-4-13_2019-7-11,2019-07-11,CENTRAL,900960,19.723180000000006,4672234,921513
2019-4-13_2019-7-11,2019-07-11,EAST,900961,22.73854,1108419,252038
2019-4-13_2019-7-11,2019-07-11,FAR-NORTH,900962,12.68865,4545866,576809
2019-4-13_2019-7-11,2019-07-11,LITTORAL,900963,17.223379999999995,3845583,662339
2019-4-13_2019-7-11,2019-07-11,NORTH,900964,8.79187,2825922,248451
2019-4-13_2019-7-11,2019-07-11,SOUTH,900967,19.41282,797019,154723
2019-4-13_2019-7-11,2019-07-11,WEST,900966,32.38671,2066677,669328
2019-6-13_2019-7-12,2019-07-12,NORTH-WEST,900965,58.557030000000005,2221973,1301121
2019-6-13_2019-7-12,2019-07-12,SOUTH-WEST,900968,50.11987,1837059,920731
2019-4-14_2019-7-12,2019-07-12,ADAMAWA,900959,24.309050000000006,1295480,314918
2019-4-14_2019-7-12,2019-07-12,CENTRAL,900960,20.195120000000003,4672234,943563
2019-4-14_2019-7-12,2019-07-12,EAST,900961,22.121760000000002,1108419,245201
2019-4-14_2019-7-12,2019-07-12,FAR-NORTH,900962,13.30401,4545866,604782
2019-4-14_2019-7-12,2019-07-12,LITTORAL,900963,16.45065,3845583,632623
2019-4-14_2019-7-12,2019-07-12,NORTH,900964,8.65215,2825922,244503
2019-4-14_2019-7-12,2019-07-12,SOUTH,900967,19.01408,797019,151545
2019-4-14_2019-7-12,2019-07-12,WEST,900966,31.43695,2066677,649700
2019-6-14_2019-7-13,2019-07-13,NORTH-WEST,900965,59.07200000000002,2221973,1312563
2019-6-14_2019-7-13,2019-07-13,SOUTH-WEST,900968,47.93084000000001,1837059,880517
2019-4-15_2019-7-13,2019-07-13,ADAMAWA,900959,23.94802,1295480,310241
2019-4-15_2019-7-13,2019-07-13,CENTRAL,900960,20.0,4672234,934446
2019-4-15_2019-7-13,2019-07-13,EAST,900961,21.7675,1108419,241275
2019-4-15_2019-7-13,2019-07-13,FAR-NORTH,900962,14.553239999999999,4545866,661570
2019-4-15_2019-7-13,2019-07-13,LITTORAL,900963,16.23217,3845583,624221
2019-4-15_2019-7-13,2019-07-13,NORTH,900964,8.591469999999997,2825922,242788
2019-4-15_2019-7-13,2019-07-13,SOUTH,900967,18.663590000000006,797019,148752
2019-4-15_2019-7-13,2019-07-13,WEST,900966,33.20333999999999,2066677,686205
2019-6-15_2019-7-14,2019-07-14,NORTH-WEST,900965,57.99349,2221973,1288599
2019-6-15_2019-7-14,2019-07-14,SOUTH-WEST,900968,47.97851,1837059,881393
2019-4-16_2019-7-14,2019-07-14,ADAMAWA,900959,24.429770000000005,1295480,316482
2019-4-16_2019-7-14,2019-07-14,CENTRAL,900960,20.84507,4672234,973930
2019-4-16_2019-7-14,2019-07-14,EAST,900961,21.14055,1108419,234325
2019-4-16_2019-7-14,2019-07-14,FAR-NORTH,900962,14.36873,4545866,653183
2019-4-16_2019-7-14,2019-07-14,LITTORAL,900963,17.200190000000006,3845583,661447
2019-4-16_2019-7-14,2019-07-14,NORTH,900964,8.458,2825922,239016
2019-4-16_2019-7-14,2019-07-14,SOUTH,900967,18.19203,797019,144993
2019-4-16_2019-7-14,2019-07-14,WEST,900966,32.62178000000001,2066677,674186
2019-6-16_2019-7-15,2019-07-15,NORTH-WEST,900965,57.01334,2221973,1266821
2019-6-16_2019-7-15,2019-07-15,SOUTH-WEST,900968,45.43651000000001,1837059,834695
2019-4-17_2019-7-15,2019-07-15,ADAMAWA,900959,23.58053,1295480,305481
2019-4-17_2019-7-15,2019-07-15,CENTRAL,900960,21.38249,4672234,999039
2019-4-17_2019-7-15,2019-07-15,EAST,900961,20.54871,1108419,227765
2019-4-17_2019-7-15,2019-07-15,FAR-NORTH,900962,15.168829999999998,4545866,689554
2019-4-17_2019-7-15,2019-07-15,LITTORAL,900963,16.79888,3845583,646014
2019-4-17_2019-7-15,2019-07-15,NORTH,900964,8.08581,2825922,228498
2019-4-17_2019-7-15,2019-07-15,SOUTH,900967,17.599129999999995,797019,140268
2019-4-17_2019-7-15,2019-07-15,WEST,900966,33.493849999999995,2066677,692209
2019-6-17_2019-7-16,2019-07-16,NORTH-WEST,900965,54.7903,2221973,1217425
2019-6-17_2019-7-16,2019-07-16,SOUTH-WEST,900968,43.92686,1837059,806962
2019-4-18_2019-7-16,2019-07-16,ADAMAWA,900959,23.17768,1295480,300262
2019-4-18_2019-7-16,2019-07-16,CENTRAL,900960,20.97649,4672234,980070
2019-4-18_2019-7-16,2019-07-16,EAST,900961,20.32115,1108419,225243
2019-4-18_2019-7-16,2019-07-16,FAR-NORTH,900962,14.822339999999999,4545866,673803
2019-4-18_2019-7-16,2019-07-16,LITTORAL,900963,16.415870000000005,3845583,631285
2019-4-18_2019-7-16,2019-07-16,NORTH,900964,8.54839,2825922,241570
2019-4-18_2019-7-16,2019-07-16,SOUTH,900967,16.77887,797019,133730
2019-4-18_2019-7-16,2019-07-16,WEST,900966,31.955079999999995,2066677,660408
2019-6-18_2019-7-17,2019-07-17,NORTH-WEST,900965,55.12718,2221973,1224911
2019-6-18_2019-7-17,2019-07-17,SOUTH-WEST,900968,43.28015,1837059,795081
2019-4-19_2019-7-17,2019-07-17,ADAMAWA,900959,22.41189,1295480,290341
2019-4-19_2019-7-17,2019-07-17,CENTRAL,900960,20.58563,4672234,961808
2019-4-19_2019-7-17,2019-07-17,EAST,900961,20.02182,1108419,221925
2019-4-19_2019-7-17,2019-07-17,FAR-NORTH,900962,14.585410000000001,4545866,663033
2019-4-19_2019-7-17,2019-07-17,LITTORAL,900963,16.04993,3845583,617213
2019-4-19_2019-7-17,2019-07-17,NORTH,900964,8.40381,2825922,237485
2019-4-19_2019-7-17,2019-07-17,SOUTH,900967,16.5475,797019,131886
2019-4-19_2019-7-17,2019-07-17,WEST,900966,31.56833,2066677,652415
2019-6-19_2019-7-18,2019-07-18,NORTH-WEST,900965,54.49094,2221973,1210773
2019-6-19_2019-7-18,2019-07-18,SOUTH-WEST,900968,46.22396000000001,1837059,849161
2019-4-20_2019-7-18,2019-07-18,ADAMAWA,900959,22.02381,1295480,285314
2019-4-20_2019-7-18,2019-07-18,CENTRAL,900960,20.29746,4672234,948344
2019-4-20_2019-7-18,2019-07-18,EAST,900961,22.556790000000003,1108419,250023
2019-4-20_2019-7-18,2019-07-18,FAR-NORTH,900962,14.285709999999998,4545866,649409
2019-4-20_2019-7-18,2019-07-18,LITTORAL,900963,15.754920000000002,3845583,605868
2019-4-20_2019-7-18,2019-07-18,NORTH,900964,8.298540000000001,2825922,234510
2019-4-20_2019-7-18,2019-07-18,SOUTH,900967,16.32242,797019,130092
2019-4-20_2019-7-18,2019-07-18,WEST,900966,32.26758,2066677,666866
2019-6-20_2019-7-19,2019-07-19,NORTH-WEST,900965,54.10403,2221973,1202176
2019-6-20_2019-7-19,2019-07-19,SOUTH-WEST,900968,48.56326,1837059,892135
2019-4-21_2019-7-19,2019-07-19,ADAMAWA,900959,21.53439,1295480,278973
2019-4-21_2019-7-19,2019-07-19,CENTRAL,900960,19.52862,4672234,912422
2019-4-21_2019-7-19,2019-07-19,EAST,900961,22.1473,1108419,245484
2019-4-21_2019-7-19,2019-07-19,FAR-NORTH,900962,14.04521,4545866,638476
2019-4-21_2019-7-19,2019-07-19,LITTORAL,900963,15.450639999999998,3845583,594167
2019-4-21_2019-7-19,2019-07-19,NORTH,900964,8.18322,2825922,231251
2019-4-21_2019-7-19,2019-07-19,SOUTH,900967,15.96059,797019,127208
2019-4-21_2019-7-19,2019-07-19,WEST,900966,33.88547,2066677,700303
2019-6-21_2019-7-20,2019-07-20,NORTH-WEST,900965,53.030710000000006,2221973,1178328
2019-6-21_2019-7-20,2019-07-20,SOUTH-WEST,900968,48.48915,1837059,890774
